Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	15.631372	8.808496	56.0	5.0	9.314143	15.504886	161.53053	2.8486495	15.631372	2378.9744	0.5947436	-0.0022618703	0.11165094	0.3610803	-0.4641156	0.005445161	0.1496044	0.49746767	-0.53030777	-1.704693e-08	-0.015873073	-5.44548e-07	0.083099015	152.98029	-20.78151	382.44638	-16.346558	0	0	5.0	0.9189385	0.016120581	4000	2.708714246749878
1	19.492683	12.525727	73.0	5.0	12.76205	21.19236	147.30235	2.5121665	19.492683	4997.9727	0.62474656	1.0799545	0.31119487	2.2548544	-0.43608746	0.8205026	0.80698985	4.239055	-3.091851	-9.202957e-08	-0.016570535	5.083084e-07	0.18177907	232.5558	-78.27736	624.8341	-71.51361	0	0	7.0	0.91719383	0.016985474	8000	4.924933910369873
2	26.878378	16.288324	86.0	5.0	19.377644	29.102201	161.19476	2.9286957	26.878378	7869.589	0.6557991	5.0745707	0.54057115	6.9298615	1.974084	3.9933076	0.17303902	4.3962555	3.036384	5.2452087e-09	-0.01468015	-7.2479246e-08	0.16943125	263.48163	-97.48564	923.3705	-150.919	0	0	9.0	0.9150398	0.014827146	12000	7.7985594272613525
3	38.259617	23.575165	128.0	7.0	39.86805	45.710575	163.1072	2.4882483	38.259617	12020.468	0.75127923	10.744126	0.47942412	11.972232	8.378613	10.544246	0.6150363	12.353031	7.5151114	6.172061e-08	-0.018704053	8.583069e-08	0.24228124	355.32254	-90.23416	1682.1512	-287.93713	0	0	79.0	0.9124017	0.0068901093	16000	10.465619564056396
4	49.6875	24.791428	111.0	9.0	56.70331	47.204056	154.14703	2.534287	49.6875	16560.084	0.8280042	15.459877	1.1714541	17.406979	9.076113	17.54184	0.6218746	18.69207	13.6125555	3.051758e-08	-0.016660389	-9.460449e-07	0.2879866	334.2652	-57.20941	1534.3789	-172.30444	0	0	79.0	0.9001847	0.0066327956	20000	12.984059572219849
5	67.22034	28.848562	140.0	17.0	83.73565	48.88774	269.86633	3.1698198	67.22034	21512.266	0.8963444	18.97028	0.938704	20.3223	13.822279	21.711475	0.19129029	22.129452	20.850739	1.4901161e-08	-0.012805513	2.9945375e-07	0.16569398	447.5378	-79.57309	1792.3877	-159.50269	0	0	79.0	0.89430404	0.0063612256	24000	15.731946468353271
6	76.90385	29.145695	194.0	19.0	105.631966	41.649162	187.19115	4.2660036	76.90385	27005.555	0.9644841	20.468441	4.1391907	23.493372	-0.79689586	24.890125	0.22381184	25.257833	23.333775	0.0	-0.0066282656	1.4591217e-07	0.07699453	437.10614	-68.20264	2011.2588	-197.02954	0	0	79.0	0.89479554	0.004425956	28000	18.367347717285156
7	99.05	43.073746	206.0	11.0	107.86869	41.131054	213.49922	5.9907484	99.05	31349.219	0.9796631	24.51017	3.4266624	25.951508	-8.078623	27.840343	0.1145145	28.080732	27.228907	5.1259995e-08	-0.0049048266	-9.1838837e-07	0.024489347	685.19116	-82.601746	1341.7969	-89.9801	0	0	79.0	0.8897154	0.0035830492	32000	20.83103656768799
8	116.20588	39.571068	210.0	66.0	108.907295	33.10122	176.7628	40.3509	116.20588	35091.38	0.97476053	27.347784	3.2566965	28.545494	-11.906381	29.82306	0.057470802	29.926947	29.561865	3.1232833e-08	-0.0068827765	1.1539459e-07	0.04888743	702.56726	-74.64899	909.2048	-58.18152	0	0	79.0	0.89900887	0.0042371596	36000	23.289959192276
9	135.6207	56.82242	310.0	61.0	113.41139	28.714466	199.66495	54.101486	135.6207	38398.676	0.9599669	30.132204	2.5677474	30.912277	4.0534835	31.377472	0.054393943	31.459969	31.120434	-8.46386e-09	-0.002798952	-7.05719e-08	-0.031597994	885.3064	-87.614624	698.70264	-34.76367	0	0	79.0	0.9019735	0.002860917	40000	25.746672868728638
10	131.13333	48.429146	240.0	31.0	114.314316	36.51889	180.47893	35.37144	131.13333	41924.656	0.9528331	32.5938	3.010499	33.355446	-3.0614007	32.5965	0.05908547	32.67934	32.310467	-2.6941299e-08	-0.0056865206	-1.9168854e-07	0.044490226	733.45	-54.596375	740.2411	-41.13623	0	0	79.0	0.9102241	0.0042580985	44000	28.284507751464844
11	152.24	60.762672	306.0	62.0	116.85556	25.92367	160.37906	55.47016	152.24	44951.617	0.936492	35.09158	0.95045036	35.23614	14.673581	33.92017	0.05298327	33.997257	33.419872	-7.629395e-09	-0.0026757377	6.771088e-08	-0.003333624	920.634	-69.79645	554.1782	-18.332031	0	0	79.0	0.92623377	0.0023082937	48000	30.71461009979248
12	207.0	55.027267	340.0	138.0	122.592834	39.631836	207.89366	74.165924	207.0	47300.04	0.9096161	37.027866	1.6004997	37.340893	18.600513	34.822304	0.08525895	34.91611	34.231556	-2.4795533e-08	-0.0031770933	-7.152558e-08	0.028385544	1090.4092	-102.35162	443.6008	-4.3101807	0	0	79.0	0.9302441	0.0032540841	52000	33.159762382507324
13	230.11765	124.40724	501.0	58.0	119.79121	27.174189	163.20395	64.12228	230.11765	49367.79	0.88156766	39.74142	0.0991125	39.77854	38.662987	35.30514	0.053454425	35.378315	35.005547	-8.702278e-09	-0.0059339283	-5.531311e-08	0.003968924	1363.6262	-119.32178	281.98837	-0.08453369	0	0	79.0	0.9516503	0.0038204866	56000	35.67310690879822
14	614.3333	230.04541	1000.0	266.0	128.67659	42.109043	218.46284	97.90656	614.3333	50221.383	0.837023	42.267868	0.07632809	42.30594	41.5224	35.26037	0.059873696	35.347603	34.872604	-2.1481515e-07	-0.0037216528	4.248619e-07	-0.002387383	2303.5146	-286.21375	500.49588	-52.771637	0	0	79.0	0.96544373	0.004533765	60000	38.117533445358276
15	1000.0	0.0	1000.0	1000.0	100.54718	3.982846	106.26296	95.37417	1000.0	50623.57	0.7909933	45.75196	0.049693584	45.781574	45.294205	33.68245	0.2230262	33.87094	29.984236	-9.0408327e-07	-0.0056769634	6.2549117e-07	-0.010736645	2505.321	-311.79004	552.5819	-134.97433	0	0	79.0	0.9547286	0.005870245	64000	40.5686981678009
16	1000.0	0.0	1000.0	1000.0	95.51428	11.891354	109.28535	76.707756	1000.0	51005.63	0.7500828	49.058823	0.021394398	49.074944	48.877457	28.603945	8.58392	31.949802	-30.814209	-3.168583e-07	-0.0030012492	-2.975464e-07	-0.0058060875	2209.1116	-243.37488	492.55756	-116.685455	0	0	79.0	0.95158505	0.0049054767	68000	43.01165962219238
17	758.6	298.90305	1000.0	327.0	174.97379	90.49325	330.04712	57.94346	758.6	51923.535	0.72116023	51.78841	0.024667298	51.806015	51.66464	24.29182	9.7862215	30.242367	-27.514395	-5.9366226e-08	-0.0021256714	0.0	-0.012813832	1772.5094	-163.68445	428.75568	-73.21393	0	0	79.0	0.96200776	0.005288966	72000	45.48171806335449
18	929.75	121.67657	1000.0	719.0	124.52748	42.317196	195.923	91.66659	929.75	52511.336	0.69093865	53.920547	0.23966293	53.97656	50.537106	26.897383	3.1231716	29.476606	-7.0344005	-2.4473667e-07	-0.0036889657	1.8310547e-07	0.003426447	1709.0208	-159.03845	301.83618	-90.12526	0	0	6.0	0.9519912	0.015034035	76000	47.658527135849
19	1000.0	0.0	1000.0	1000.0	73.146515	13.980374	92.2595	57.361088	1000.0	52803.92	0.660049	56.003242	0.031004978	56.034225	55.797504	22.342289	5.143386	28.269445	-11.014524	-5.710125e-07	-0.0023466593	-4.7683717e-08	-0.0025573997	1647.4723	-156.27234	275.16803	-208.47867	0	0	79.0	0.9519563	0.004668121	80000	50.12396049499512
20	1000.0	0.0	1000.0	1000.0	79.73363	6.0305343	86.48773	71.61575	1000.0	53122.855	0.63241494	58.031223	0.030438414	58.049187	57.701763	11.98313	3.6040654	21.719666	-1.0833195	5.946159e-07	-0.0019693684	4.386902e-08	-0.005901027	1499.2855	-139.13196	63.6274	-40.803173	0	0	79.0	0.96928215	0.0038603449	84000	52.71208906173706
