timesteps,return
3.000000000000000000e+01,3.000000000000000000e+01
5.000000000000000000e+01,2.000000000000000000e+01
7.000000000000000000e+01,2.000000000000000000e+01
9.200000000000000000e+01,2.200000000000000000e+01
1.180000000000000000e+02,2.600000000000000000e+01
1.520000000000000000e+02,3.400000000000000000e+01
1.860000000000000000e+02,3.400000000000000000e+01
1.990000000000000000e+02,1.300000000000000000e+01
2.480000000000000000e+02,4.900000000000000000e+01
2.640000000000000000e+02,1.600000000000000000e+01
2.860000000000000000e+02,2.200000000000000000e+01
3.210000000000000000e+02,3.500000000000000000e+01
3.540000000000000000e+02,3.300000000000000000e+01
3.710000000000000000e+02,1.700000000000000000e+01
4.040000000000000000e+02,3.300000000000000000e+01
4.160000000000000000e+02,1.200000000000000000e+01
4.330000000000000000e+02,1.700000000000000000e+01
4.490000000000000000e+02,1.600000000000000000e+01
4.710000000000000000e+02,2.200000000000000000e+01
5.010000000000000000e+02,3.000000000000000000e+01
5.210000000000000000e+02,2.000000000000000000e+01
5.370000000000000000e+02,1.600000000000000000e+01
5.990000000000000000e+02,6.200000000000000000e+01
6.090000000000000000e+02,1.000000000000000000e+01
6.350000000000000000e+02,2.600000000000000000e+01
6.510000000000000000e+02,1.600000000000000000e+01
6.650000000000000000e+02,1.400000000000000000e+01
6.750000000000000000e+02,1.000000000000000000e+01
6.860000000000000000e+02,1.100000000000000000e+01
7.040000000000000000e+02,1.800000000000000000e+01
7.220000000000000000e+02,1.800000000000000000e+01
7.420000000000000000e+02,2.000000000000000000e+01
7.820000000000000000e+02,4.000000000000000000e+01
7.970000000000000000e+02,1.500000000000000000e+01
8.100000000000000000e+02,1.300000000000000000e+01
8.410000000000000000e+02,3.100000000000000000e+01
8.680000000000000000e+02,2.700000000000000000e+01
8.770000000000000000e+02,9.000000000000000000e+00
8.940000000000000000e+02,1.700000000000000000e+01
9.200000000000000000e+02,2.600000000000000000e+01
9.420000000000000000e+02,2.200000000000000000e+01
9.560000000000000000e+02,1.400000000000000000e+01
9.800000000000000000e+02,2.400000000000000000e+01
9.880000000000000000e+02,8.000000000000000000e+00
1.014000000000000000e+03,2.600000000000000000e+01
1.030000000000000000e+03,1.600000000000000000e+01
1.043000000000000000e+03,1.300000000000000000e+01
1.073000000000000000e+03,3.000000000000000000e+01
1.114000000000000000e+03,4.100000000000000000e+01
1.159000000000000000e+03,4.500000000000000000e+01
1.208000000000000000e+03,4.900000000000000000e+01
1.217000000000000000e+03,9.000000000000000000e+00
1.228000000000000000e+03,1.100000000000000000e+01
1.244000000000000000e+03,1.600000000000000000e+01
1.265000000000000000e+03,2.100000000000000000e+01
1.285000000000000000e+03,2.000000000000000000e+01
1.306000000000000000e+03,2.100000000000000000e+01
1.325000000000000000e+03,1.900000000000000000e+01
1.351000000000000000e+03,2.600000000000000000e+01
1.367000000000000000e+03,1.600000000000000000e+01
1.383000000000000000e+03,1.600000000000000000e+01
1.393000000000000000e+03,1.000000000000000000e+01
1.409000000000000000e+03,1.600000000000000000e+01
1.425000000000000000e+03,1.600000000000000000e+01
1.445000000000000000e+03,2.000000000000000000e+01
1.458000000000000000e+03,1.300000000000000000e+01
1.471000000000000000e+03,1.300000000000000000e+01
1.481000000000000000e+03,1.000000000000000000e+01
1.494000000000000000e+03,1.300000000000000000e+01
1.504000000000000000e+03,1.000000000000000000e+01
1.520000000000000000e+03,1.600000000000000000e+01
1.533000000000000000e+03,1.300000000000000000e+01
1.551000000000000000e+03,1.800000000000000000e+01
1.566000000000000000e+03,1.500000000000000000e+01
1.579000000000000000e+03,1.300000000000000000e+01
1.598000000000000000e+03,1.900000000000000000e+01
1.623000000000000000e+03,2.500000000000000000e+01
1.659000000000000000e+03,3.600000000000000000e+01
1.682000000000000000e+03,2.300000000000000000e+01
1.734000000000000000e+03,5.200000000000000000e+01
1.752000000000000000e+03,1.800000000000000000e+01
1.763000000000000000e+03,1.100000000000000000e+01
1.779000000000000000e+03,1.600000000000000000e+01
1.790000000000000000e+03,1.100000000000000000e+01
1.799000000000000000e+03,9.000000000000000000e+00
1.846000000000000000e+03,4.700000000000000000e+01
1.873000000000000000e+03,2.700000000000000000e+01
1.925000000000000000e+03,5.200000000000000000e+01
1.937000000000000000e+03,1.200000000000000000e+01
1.984000000000000000e+03,4.700000000000000000e+01
2.008000000000000000e+03,2.400000000000000000e+01
2.020000000000000000e+03,1.200000000000000000e+01
2.032000000000000000e+03,1.200000000000000000e+01
2.055000000000000000e+03,2.300000000000000000e+01
2.080000000000000000e+03,2.500000000000000000e+01
2.105000000000000000e+03,2.500000000000000000e+01
2.132000000000000000e+03,2.700000000000000000e+01
2.163000000000000000e+03,3.100000000000000000e+01
2.176000000000000000e+03,1.300000000000000000e+01
2.204000000000000000e+03,2.800000000000000000e+01
2.216000000000000000e+03,1.200000000000000000e+01
2.225000000000000000e+03,9.000000000000000000e+00
2.259000000000000000e+03,3.400000000000000000e+01
2.272000000000000000e+03,1.300000000000000000e+01
2.283000000000000000e+03,1.100000000000000000e+01
2.307000000000000000e+03,2.400000000000000000e+01
2.318000000000000000e+03,1.100000000000000000e+01
2.335000000000000000e+03,1.700000000000000000e+01
2.348000000000000000e+03,1.300000000000000000e+01
2.362000000000000000e+03,1.400000000000000000e+01
2.377000000000000000e+03,1.500000000000000000e+01
2.395000000000000000e+03,1.800000000000000000e+01
2.407000000000000000e+03,1.200000000000000000e+01
2.422000000000000000e+03,1.500000000000000000e+01
2.438000000000000000e+03,1.600000000000000000e+01
2.486000000000000000e+03,4.800000000000000000e+01
2.512000000000000000e+03,2.600000000000000000e+01
2.528000000000000000e+03,1.600000000000000000e+01
2.544000000000000000e+03,1.600000000000000000e+01
2.558000000000000000e+03,1.400000000000000000e+01
2.571000000000000000e+03,1.300000000000000000e+01
2.608000000000000000e+03,3.700000000000000000e+01
2.625000000000000000e+03,1.700000000000000000e+01
2.642000000000000000e+03,1.700000000000000000e+01
2.672000000000000000e+03,3.000000000000000000e+01
2.680000000000000000e+03,8.000000000000000000e+00
2.692000000000000000e+03,1.200000000000000000e+01
2.705000000000000000e+03,1.300000000000000000e+01
2.725000000000000000e+03,2.000000000000000000e+01
2.739000000000000000e+03,1.400000000000000000e+01
2.771000000000000000e+03,3.200000000000000000e+01
