tag,timesteps,episodic_return
baseline,30,30.0
baseline,50,20.0
baseline,70,20.0
baseline,92,22.0
baseline,118,26.0
baseline,152,34.0
baseline,186,34.0
baseline,199,13.0
baseline,248,49.0
baseline,264,16.0
baseline,286,22.0
baseline,321,35.0
baseline,354,33.0
baseline,371,17.0
baseline,404,33.0
baseline,416,12.0
baseline,433,17.0
baseline,449,16.0
baseline,471,22.0
baseline,501,30.0
baseline,557,56.0
baseline,569,12.0
baseline,588,19.0
baseline,601,13.0
baseline,616,15.0
baseline,674,58.0
baseline,698,24.0
baseline,745,47.0
baseline,771,26.0
baseline,790,19.0
baseline,808,18.0
baseline,833,25.0
baseline,843,10.0
baseline,876,33.0
baseline,893,17.0
baseline,917,24.0
baseline,931,14.0
baseline,954,23.0
baseline,976,22.0
baseline,1013,37.0
baseline,1068,55.0
baseline,1086,18.0
baseline,1112,26.0
baseline,1150,38.0
baseline,1194,44.0
baseline,1204,10.0
baseline,1226,22.0
baseline,1253,27.0
baseline,1272,19.0
baseline,1284,12.0
baseline,1298,14.0
baseline,1328,30.0
baseline,1359,31.0
baseline,1392,33.0
baseline,1453,61.0
baseline,1480,27.0
baseline,1496,16.0
baseline,1506,10.0
baseline,1540,34.0
baseline,1558,18.0
baseline,1578,20.0
baseline,1630,52.0
baseline,1643,13.0
baseline,1683,40.0
baseline,1713,30.0
baseline,1807,94.0
baseline,1859,52.0
baseline,1893,34.0
baseline,1920,27.0
baseline,1932,12.0
baseline,1950,18.0
baseline,1971,21.0
baseline,2035,64.0
baseline,2075,40.0
baseline,2095,20.0
baseline,2118,23.0
baseline,2172,54.0
baseline,2222,50.0
baseline,2276,54.0
baseline,2304,28.0
baseline,2368,64.0
baseline,2414,46.0
baseline,2431,17.0
baseline,2489,58.0
baseline,2531,42.0
baseline,2550,19.0
baseline,2565,15.0
baseline,2602,37.0
baseline,2677,75.0
baseline,2704,27.0
baseline,2749,45.0
baseline,2788,39.0
baseline,2803,15.0
baseline,2818,15.0
baseline,2887,69.0
baseline,2901,14.0
baseline,2932,31.0
baseline,2959,27.0
baseline,2983,24.0
baseline,3007,24.0
baseline,3021,14.0
baseline,3040,19.0
baseline,3058,18.0
baseline,3082,24.0
baseline,3116,34.0
baseline,3249,133.0
baseline,3261,12.0
baseline,3277,16.0
baseline,3326,49.0
baseline,3338,12.0
baseline,3382,44.0
baseline,3409,27.0
baseline,3434,25.0
baseline,3465,31.0
baseline,3494,29.0
baseline,3510,16.0
baseline,3548,38.0
baseline,3564,16.0
baseline,3628,64.0
baseline,3644,16.0
baseline,3704,60.0
baseline,3776,72.0
baseline,3791,15.0
baseline,3879,88.0
baseline,3907,28.0
baseline,3983,76.0
baseline,4027,44.0
baseline,4056,29.0
baseline,4115,59.0
baseline,4162,47.0
baseline,4175,13.0
baseline,4203,28.0
baseline,4287,84.0
baseline,4352,65.0
baseline,4366,14.0
baseline,4479,113.0
baseline,4544,65.0
baseline,4565,21.0
baseline,4684,119.0
baseline,4740,56.0
baseline,4815,75.0
baseline,4829,14.0
baseline,4925,96.0
baseline,4971,46.0
baseline,5036,65.0
baseline,5064,28.0
baseline,5077,13.0
baseline,5127,50.0
baseline,5249,122.0
baseline,5320,71.0
baseline,5336,16.0
baseline,5444,108.0
baseline,5462,18.0
baseline,5519,57.0
baseline,5726,207.0
baseline,5747,21.0
baseline,5820,73.0
baseline,5886,66.0
baseline,5928,42.0
baseline,6038,110.0
baseline,6068,30.0
baseline,6163,95.0
baseline,6178,15.0
baseline,6278,100.0
baseline,6297,19.0
baseline,6308,11.0
baseline,6323,15.0
baseline,6337,14.0
baseline,6442,105.0
baseline,6538,96.0
baseline,6556,18.0
baseline,6584,28.0
baseline,6723,139.0
baseline,6789,66.0
baseline,6889,100.0
baseline,6957,68.0
baseline,7040,83.0
baseline,7050,10.0
baseline,7154,104.0
baseline,7266,112.0
baseline,7327,61.0
baseline,7394,67.0
baseline,7451,57.0
baseline,7508,57.0
baseline,7602,94.0
baseline,7689,87.0
baseline,7792,103.0
baseline,7887,95.0
baseline,8074,187.0
baseline,8189,115.0
baseline,8304,115.0
baseline,8394,90.0
baseline,8471,77.0
baseline,8563,92.0
baseline,8659,96.0
baseline,8753,94.0
baseline,8851,98.0
baseline,8942,91.0
baseline,9027,85.0
baseline,9118,91.0
baseline,9217,99.0
baseline,9311,94.0
baseline,9401,90.0
baseline,9494,93.0
baseline,9590,96.0
baseline,9681,91.0
baseline,9775,94.0
baseline,9870,95.0
baseline,9966,96.0
baseline,10061,95.0
baseline,10153,92.0
baseline,10167,14.0
baseline,10258,91.0
baseline,10354,96.0
baseline,10448,94.0
baseline,10547,99.0
baseline,10649,102.0
baseline,10741,92.0
baseline,10842,101.0
baseline,10938,96.0
baseline,10964,26.0
baseline,11055,91.0
baseline,11155,100.0
baseline,11252,97.0
baseline,11343,91.0
baseline,11436,93.0
baseline,11532,96.0
baseline,11648,116.0
baseline,11771,123.0
baseline,11877,106.0
baseline,11991,114.0
baseline,12101,110.0
baseline,12199,98.0
baseline,12305,106.0
baseline,12412,107.0
baseline,12424,12.0
baseline,12526,102.0
baseline,12544,18.0
baseline,12650,106.0
baseline,12745,95.0
baseline,12844,99.0
baseline,12944,100.0
baseline,13044,100.0
baseline,13142,98.0
baseline,13235,93.0
baseline,13345,110.0
baseline,13458,113.0
baseline,13564,106.0
baseline,13662,98.0
baseline,13759,97.0
