environment,timestep,episode_return,episode_length
Standard,33,33.0,33
Standard,58,25.0,25
Standard,69,11.0,11
Standard,82,13.0,13
Standard,96,14.0,14
Standard,141,45.0,45
Standard,159,18.0,18
Standard,175,16.0,16
Standard,191,16.0,16
Standard,202,11.0,11
Standard,213,11.0,11
Standard,225,12.0,12
Standard,240,15.0,15
Standard,252,12.0,12
Standard,274,22.0,22
Standard,289,15.0,15
Standard,305,16.0,16
Standard,348,43.0,43
Standard,384,36.0,36
Standard,434,50.0,50
Standard,458,24.0,24
Standard,470,12.0,12
Standard,491,21.0,21
Standard,507,16.0,16
Standard,518,11.0,11
Standard,537,19.0,19
Standard,559,22.0,22
Standard,580,21.0,21
Standard,613,33.0,33
Standard,650,37.0,37
Standard,665,15.0,15
Standard,695,30.0,30
Standard,715,20.0,20
Standard,731,16.0,16
Standard,749,18.0,18
Standard,759,10.0,10
Standard,784,25.0,25
Standard,812,28.0,28
Standard,835,23.0,23
Standard,889,54.0,54
Standard,920,31.0,31
Standard,945,25.0,25
Standard,1002,57.0,57
Standard,1044,42.0,42
Standard,1079,35.0,35
Standard,1112,33.0,33
Standard,1128,16.0,16
Standard,1182,54.0,54
Standard,1214,32.0,32
Standard,1265,51.0,51
Standard,1369,104.0,104
Standard,1404,35.0,35
Standard,1424,20.0,20
Standard,1472,48.0,48
Standard,1510,38.0,38
Standard,1573,63.0,63
Standard,1596,23.0,23
Standard,1627,31.0,31
Standard,1674,47.0,47
Standard,1721,47.0,47
Standard,1780,59.0,59
Standard,1832,52.0,52
Standard,1931,99.0,99
Standard,1982,51.0,51
Standard,2024,42.0,42
Standard,2081,57.0,57
Standard,2115,34.0,34
Standard,2142,27.0,27
Standard,2279,137.0,137
Standard,2335,56.0,56
Standard,2349,14.0,14
Standard,2464,115.0,115
Standard,2495,31.0,31
Standard,2525,30.0,30
Standard,2651,126.0,126
Standard,2667,16.0,16
Standard,2770,103.0,103
Standard,2815,45.0,45
Standard,2952,137.0,137
Standard,3015,63.0,63
Standard,3109,94.0,94
Standard,3256,147.0,147
Standard,3278,22.0,22
Standard,3424,146.0,146
Standard,3512,88.0,88
Standard,3576,64.0,64
Standard,3772,196.0,196
Standard,3877,105.0,105
Standard,3927,50.0,50
Standard,4041,114.0,114
Standard,4202,161.0,161
Standard,4354,152.0,152
Standard,4432,78.0,78
Standard,4675,243.0,243
Standard,4848,173.0,173
Standard,4957,109.0,109
Standard,5184,227.0,227
