environment,epoch,episode_return,episode_length
Standard,0.01611328125,33.0,33
Standard,0.0283203125,25.0,25
Standard,0.03369140625,11.0,11
Standard,0.0400390625,13.0,13
Standard,0.046875,14.0,14
Standard,0.06884765625,45.0,45
Standard,0.07763671875,18.0,18
Standard,0.083984375,13.0,13
Standard,0.09521484375,23.0,23
Standard,0.10009765625,10.0,10
Standard,0.11572265625,32.0,32
Standard,0.123046875,15.0,15
Standard,0.1337890625,22.0,22
Standard,0.1396484375,12.0,12
Standard,0.14501953125,11.0,11
Standard,0.15087890625,12.0,12
Standard,0.16552734375,30.0,30
Standard,0.18212890625,34.0,34
Standard,0.189453125,15.0,15
Standard,0.21435546875,51.0,51
Standard,0.22021484375,12.0,12
Standard,0.23095703125,22.0,22
Standard,0.2373046875,13.0,13
Standard,0.2587890625,44.0,44
Standard,0.26416015625,11.0,11
Standard,0.2734375,19.0,19
Standard,0.28369140625,21.0,21
Standard,0.29638671875,26.0,26
Standard,0.3076171875,23.0,23
Standard,0.3232421875,32.0,32
Standard,0.33056640625,15.0,15
Standard,0.3369140625,13.0,13
Standard,0.3427734375,12.0,12
Standard,0.3505859375,16.0,16
Standard,0.3994140625,100.0,100
Standard,0.40576171875,13.0,13
Standard,0.4189453125,27.0,27
Standard,0.427734375,18.0,18
Standard,0.4443359375,34.0,34
Standard,0.44970703125,11.0,11
Standard,0.458984375,19.0,19
Standard,0.47314453125,29.0,29
Standard,0.4931640625,41.0,41
Standard,0.50634765625,27.0,27
Standard,0.51318359375,14.0,14
Standard,0.52294921875,20.0,20
Standard,0.52978515625,14.0,14
Standard,0.53564453125,12.0,12
Standard,0.5439453125,17.0,17
Standard,0.55224609375,17.0,17
Standard,0.56494140625,26.0,26
Standard,0.5771484375,25.0,25
Standard,0.583984375,14.0,14
Standard,0.5927734375,18.0,18
Standard,0.59716796875,9.0,9
Standard,0.60546875,17.0,17
Standard,0.623046875,36.0,36
Standard,0.63232421875,19.0,19
Standard,0.64111328125,18.0,18
Standard,0.64794921875,14.0,14
Standard,0.66357421875,32.0,32
Standard,0.69775390625,70.0,70
Standard,0.70947265625,24.0,24
Standard,0.7177734375,17.0,17
Standard,0.724609375,14.0,14
Standard,0.7333984375,18.0,18
Standard,0.7470703125,28.0,28
Standard,0.75390625,14.0,14
Standard,0.76025390625,13.0,13
Standard,0.77880859375,38.0,38
Standard,0.78564453125,14.0,14
Standard,0.79296875,15.0,15
Standard,0.80322265625,21.0,21
Standard,0.81494140625,24.0,24
Standard,0.83056640625,32.0,32
Standard,0.84130859375,22.0,22
Standard,0.84619140625,10.0,10
Standard,0.85400390625,16.0,16
Standard,0.8701171875,33.0,33
Standard,0.87646484375,13.0,13
Standard,0.888671875,25.0,25
Standard,0.89599609375,15.0,15
Standard,0.9033203125,15.0,15
Standard,0.91015625,14.0,14
Standard,0.9150390625,10.0,10
Standard,0.927734375,26.0,26
Standard,0.93310546875,11.0,11
Standard,0.9453125,25.0,25
Standard,0.96044921875,31.0,31
Standard,0.9677734375,15.0,15
Standard,0.9794921875,24.0,24
Standard,0.98974609375,21.0,21
Standard,0.99755859375,16.0,16
Standard,1.02197265625,50.0,50
Standard,1.04150390625,40.0,40
Standard,1.04931640625,16.0,16
Standard,1.0830078125,69.0,69
Standard,1.09912109375,33.0,33
Standard,1.12060546875,44.0,44
Standard,1.1416015625,43.0,43
Standard,1.14697265625,11.0,11
Standard,1.15625,19.0,19
Standard,1.1728515625,34.0,34
Standard,1.17822265625,11.0,11
Standard,1.1884765625,21.0,21
Standard,1.19580078125,15.0,15
Standard,1.20751953125,24.0,24
Standard,1.220703125,27.0,27
Standard,1.23095703125,21.0,21
Standard,1.23681640625,12.0,12
Standard,1.25,27.0,27
Standard,1.26123046875,23.0,23
Standard,1.27587890625,30.0,30
Standard,1.29443359375,38.0,38
Standard,1.30029296875,12.0,12
Standard,1.30712890625,14.0,14
Standard,1.3193359375,25.0,25
Standard,1.32666015625,15.0,15
Standard,1.34033203125,28.0,28
Standard,1.34619140625,12.0,12
Standard,1.36083984375,30.0,30
Standard,1.3681640625,15.0,15
Standard,1.3837890625,32.0,32
Standard,1.3994140625,32.0,32
Standard,1.40478515625,11.0,11
Standard,1.421875,35.0,35
Standard,1.44873046875,55.0,55
Standard,1.466796875,37.0,37
Standard,1.4921875,52.0,52
Standard,1.50537109375,27.0,27
Standard,1.51318359375,16.0,16
Standard,1.51806640625,10.0,10
Standard,1.537109375,39.0,39
Standard,1.544921875,16.0,16
Standard,1.55859375,28.0,28
Standard,1.5751953125,34.0,34
Standard,1.603515625,58.0,58
Standard,1.62109375,36.0,36
Standard,1.63427734375,27.0,27
Standard,1.66552734375,64.0,64
Standard,1.6787109375,27.0,27
Standard,1.6865234375,16.0,16
Standard,1.69384765625,15.0,15
Standard,1.701171875,15.0,15
Standard,1.7080078125,14.0,14
Standard,1.71826171875,21.0,21
Standard,1.73095703125,26.0,26
Standard,1.7431640625,25.0,25
Standard,1.75048828125,15.0,15
Standard,1.76708984375,34.0,34
Standard,1.77880859375,24.0,24
Standard,1.7919921875,27.0,27
Standard,1.796875,10.0,10
Standard,1.81103515625,29.0,29
Standard,1.81787109375,14.0,14
Standard,1.82568359375,16.0,16
Standard,1.83154296875,12.0,12
Standard,1.84228515625,22.0,22
Standard,1.84814453125,12.0,12
Standard,1.86083984375,26.0,26
Standard,1.87744140625,34.0,34
Standard,1.88427734375,14.0,14
Standard,1.89453125,21.0,21
Standard,1.9091796875,30.0,30
Standard,1.91748046875,17.0,17
Standard,1.93310546875,32.0,32
Standard,1.94384765625,22.0,22
Standard,1.9482421875,9.0,9
Standard,1.9697265625,44.0,44
Standard,1.98046875,22.0,22
Standard,1.98681640625,13.0,13
Standard,2.0029296875,33.0,33
Standard,2.01220703125,19.0,19
Standard,2.0439453125,65.0,65
Standard,2.05810546875,29.0,29
Standard,2.08544921875,56.0,56
Standard,2.111328125,53.0,53
Standard,2.12158203125,21.0,21
Standard,2.12939453125,16.0,16
Standard,2.1611328125,65.0,65
Standard,2.17236328125,23.0,23
Standard,2.203125,63.0,63
Standard,2.23583984375,67.0,67
Standard,2.2509765625,31.0,31
Standard,2.2841796875,68.0,68
Standard,2.30029296875,33.0,33
Standard,2.318359375,37.0,37
Standard,2.34619140625,57.0,57
Standard,2.357421875,23.0,23
Standard,2.3623046875,10.0,10
Standard,2.3701171875,16.0,16
Standard,2.3818359375,24.0,24
Standard,2.40380859375,45.0,45
Standard,2.42431640625,42.0,42
Standard,2.43212890625,16.0,16
Standard,2.45068359375,38.0,38
Standard,2.4755859375,51.0,51
Standard,2.52880859375,109.0,109
Standard,2.53515625,13.0,13
Standard,2.55810546875,47.0,47
Standard,2.595703125,77.0,77
Standard,2.60791015625,25.0,25
Standard,2.62158203125,28.0,28
Standard,2.63916015625,36.0,36
Standard,2.654296875,31.0,31
Standard,2.66845703125,29.0,29
Standard,2.693359375,51.0,51
Standard,2.7001953125,14.0,14
Standard,2.712890625,26.0,26
Standard,2.74560546875,67.0,67
Standard,2.75439453125,18.0,18
Standard,2.76806640625,28.0,28
Standard,2.7822265625,29.0,29
Standard,2.79345703125,23.0,23
Standard,2.80517578125,24.0,24
Standard,2.8134765625,17.0,17
Standard,2.841796875,58.0,58
Standard,2.86572265625,49.0,49
Standard,2.873046875,15.0,15
Standard,2.884765625,24.0,24
Standard,2.89013671875,11.0,11
Standard,2.90478515625,30.0,30
Standard,2.93017578125,52.0,52
Standard,2.97216796875,86.0,86
Standard,2.98046875,17.0,17
Standard,2.98974609375,19.0,19
Standard,3.00537109375,32.0,32
Standard,3.060546875,113.0,113
Standard,3.07421875,28.0,28
Standard,3.09619140625,45.0,45
Standard,3.14404296875,98.0,98
Standard,3.17138671875,56.0,56
Standard,3.19189453125,42.0,42
Standard,3.22705078125,72.0,72
Standard,3.2412109375,29.0,29
Standard,3.28466796875,89.0,89
Standard,3.31591796875,64.0,64
Standard,3.328125,25.0,25
Standard,3.3388671875,22.0,22
Standard,3.36669921875,57.0,57
Standard,3.396484375,61.0,61
Standard,3.4228515625,54.0,54
Standard,3.43701171875,29.0,29
Standard,3.5107421875,151.0,151
Standard,3.54052734375,61.0,61
Standard,3.5751953125,71.0,71
Standard,3.59814453125,47.0,47
Standard,3.61328125,31.0,31
Standard,3.65380859375,83.0,83
Standard,3.66552734375,24.0,24
Standard,3.68359375,37.0,37
Standard,3.7060546875,46.0,46
Standard,3.7275390625,44.0,44
Standard,3.75634765625,59.0,59
Standard,3.7685546875,25.0,25
Standard,3.779296875,22.0,22
Standard,3.80078125,44.0,44
Standard,3.830078125,60.0,60
Standard,3.8505859375,42.0,42
Standard,3.89501953125,91.0,91
Standard,3.9453125,103.0,103
Standard,3.95654296875,23.0,23
Standard,3.99072265625,70.0,70
Standard,3.99951171875,18.0,18
Standard,4.02685546875,56.0,56
Standard,4.048828125,45.0,45
Standard,4.0986328125,102.0,102
Standard,4.1630859375,132.0,132
Standard,4.2119140625,100.0,100
Standard,4.2490234375,76.0,76
Standard,4.27880859375,61.0,61
Standard,4.3046875,53.0,53
Standard,4.36474609375,123.0,123
Standard,4.38818359375,48.0,48
Standard,4.4189453125,63.0,63
Standard,4.47802734375,121.0,121
Standard,4.49462890625,34.0,34
Standard,4.54345703125,100.0,100
Standard,4.59765625,111.0,111
Standard,4.6708984375,150.0,150
Standard,4.68994140625,39.0,39
Standard,4.74267578125,108.0,108
Standard,4.7841796875,85.0,85
Standard,4.84423828125,123.0,123
Standard,4.91162109375,138.0,138
Standard,4.95166015625,82.0,82
Standard,4.97900390625,56.0,56
Standard,5.0517578125,149.0,149
Standard,5.201171875,306.0,306
Standard,5.2998046875,202.0,202
Standard,5.44775390625,303.0,303
Standard,5.5126953125,133.0,133
Standard,5.55859375,94.0,94
Standard,5.69091796875,271.0,271
Standard,5.73779296875,96.0,96
Standard,5.82470703125,178.0,178
Standard,5.90234375,159.0,159
Standard,6.10205078125,409.0,409
Standard,6.1376953125,73.0,73
Standard,6.31982421875,373.0,373
Standard,6.42919921875,224.0,224
Standard,6.45849609375,60.0,60
Standard,6.57763671875,244.0,244
Standard,6.69091796875,232.0,232
Standard,6.775390625,173.0,173
Standard,6.86181640625,177.0,177
Standard,6.95068359375,182.0,182
Standard,7.02783203125,158.0,158
Standard,7.166015625,283.0,283
Standard,7.3779296875,434.0,434
Standard,7.48193359375,213.0,213
Standard,7.5517578125,143.0,143
Standard,7.60888671875,117.0,117
Standard,7.7373046875,263.0,263
Standard,7.8095703125,148.0,148
Standard,7.9375,262.0,262
Standard,8.13818359375,411.0,411
Standard,8.2666015625,263.0,263
Standard,8.42724609375,329.0,329
Standard,8.583984375,321.0,321
Standard,8.73583984375,311.0,311
Standard,8.85400390625,242.0,242
Standard,8.9482421875,193.0,193
Standard,9.1083984375,328.0,328
Standard,9.3525390625,500.0,500
Standard,9.5966796875,500.0,500
Standard,9.75830078125,331.0,331
Standard,10.00244140625,500.0,500
Standard,10.09619140625,192.0,192
Standard,10.34033203125,500.0,500
Standard,10.58447265625,500.0,500
Standard,10.82861328125,500.0,500
Standard,11.07275390625,500.0,500
Standard,11.31689453125,500.0,500
Standard,11.56103515625,500.0,500
Standard,11.80517578125,500.0,500
Standard,12.0087890625,417.0,417
Standard,12.18701171875,365.0,365
Standard,12.43115234375,500.0,500
Standard,12.48779296875,116.0,116
Standard,12.73193359375,500.0,500
Standard,12.97607421875,500.0,500
Standard,13.22021484375,500.0,500
Standard,13.46435546875,500.0,500
Standard,13.70849609375,500.0,500
Standard,13.95263671875,500.0,500
Standard,14.19677734375,500.0,500
Standard,14.44091796875,500.0,500
Standard,14.68505859375,500.0,500
Standard,14.92919921875,500.0,500
