environment,epoch,timesteps,mean_return,mean_episode_length
Standard,0,1024,41.43964781111111,5.6722222222222225
Standard,1,2048,48.61975655345913,6.452830188679245
Standard,2,3072,50.413354908496736,6.640522875816994
Standard,3,4096,59.27563548148149,7.592592592592593
Standard,4,5120,62.553545553846156,7.938461538461539
Standard,5,6144,65.34618761290322,8.241935483870968
Standard,6,7168,75.68085378899082,9.339449541284404
Standard,7,8192,75.44715777272727,9.318181818181818
Standard,8,9216,81.77590240776699,10.0
Standard,9,10240,90.57303308602151,10.946236559139784
Custom,0,1024,11.023911111111111,5.6722222222222225
Custom,1,2048,12.995741463855422,6.180722891566265
Custom,2,3072,14.062744291925465,6.3602484472049685
Custom,3,4096,16.510161812499998,7.111111111111111
Custom,4,5120,17.928916164179107,7.559701492537314
Custom,5,6144,21.256841770491807,8.48360655737705
Custom,6,7168,22.396402592920357,9.070796460176991
Custom,7,8192,23.62809522330097,9.941747572815533
Custom,8,9216,26.05563227368421,10.715789473684211
Custom,9,10240,26.06672364893617,10.914893617021276
