algorithm,timesteps,mean_return,std_return
PPO,0.0,-3.6817078893786217,0.0
PPO,5000.0,0.4204843248768384,0.0
PPO,10000.0,-0.38121816095111605,0.0
PPO,15000.0,0.5090891312691974,0.0
PPO,20000.0,-0.07514748996685006,0.0
PPO,25000.0,11.216035118144358,0.0
PPO,30000.0,8.760149632174869,0.0
PPO,35000.0,15.25116255507917,0.0
PPO,40000.0,10.53046808611001,0.0
PPO,45000.0,8.473289089604402,0.0
PPO,50000.0,15.615029567909586,0.0
PPO,55000.0,13.318861518367024,0.0
PPO,60000.0,-0.474788057315938,0.0
PPO,65000.0,13.162918642938347,0.0
PPO,70000.0,19.866784503578888,0.0
PPO,75000.0,19.609738248092533,0.0
PPO,80000.0,19.207144186528087,0.0
PPO,85000.0,20.087850493373807,0.0
PPO,90000.0,11.963263945098298,0.0
PPO,95000.0,22.626481388361206,0.0
PPO,100000.0,14.313925674920007,0.0
PPO,105000.0,21.967664277073972,0.0
PPO,110000.0,21.160600794821807,0.0
PPO,115000.0,25.612615163638353,0.0
PPO,120000.0,23.094061071075053,0.0
PPO,125000.0,21.107998695598546,0.0
PPO,130000.0,33.003827499105036,0.0
PPO,135000.0,24.62141837754482,0.0
PPO,140000.0,19.316528933784546,0.0
PPO,145000.0,16.3488419774294,0.0
PPO,150000.0,25.637341371449857,0.0
PPO,155000.0,25.187094887539374,0.0
PPO,160000.0,21.96454937410242,0.0
PPO,165000.0,20.161072783547244,0.0
PPO,170000.0,28.894603866446843,0.0
PPO,175000.0,18.64552537518636,0.0
PPO,180000.0,23.711473365423107,0.0
PPO,185000.0,29.9306238658215,0.0
PPO,190000.0,34.51680113392316,0.0
PPO,195000.0,20.41975152176729,0.0
PPO,200000.0,24.93639142862894,0.0
PPO+CBF,0.0,-1.3504877653994392,0.0
PPO+CBF,5000.0,11.81209765475298,0.0
PPO+CBF,10000.0,7.982885468372898,0.0
PPO+CBF,15000.0,14.553527036939755,0.0
PPO+CBF,20000.0,2.9495804060645714,0.0
PPO+CBF,25000.0,14.567993042727084,0.0
PPO+CBF,30000.0,17.161317083476344,0.0
PPO+CBF,35000.0,26.121129129840003,0.0
PPO+CBF,40000.0,-0.1050891640231677,0.0
PPO+CBF,45000.0,22.966106558011695,0.0
PPO+CBF,50000.0,19.638287001932163,0.0
PPO+CBF,55000.0,24.967964219960812,0.0
PPO+CBF,60000.0,6.416046064776161,0.0
PPO+CBF,65000.0,20.629508831144044,0.0
PPO+CBF,70000.0,27.375246776878292,0.0
PPO+CBF,75000.0,19.599065071315533,0.0
PPO+CBF,80000.0,17.559599686992605,0.0
PPO+CBF,85000.0,17.238914210377413,0.0
PPO+CBF,90000.0,26.756307094823523,0.0
PPO+CBF,95000.0,22.883101825987627,0.0
PPO+CBF,100000.0,18.25931650308695,0.0
PPO+CBF,105000.0,18.637588581881314,0.0
PPO+CBF,110000.0,30.707897765897663,0.0
PPO+CBF,115000.0,23.5017061924218,0.0
PPO+CBF,120000.0,14.273256337412978,0.0
PPO+CBF,125000.0,20.005667394776093,0.0
PPO+CBF,130000.0,25.39715087227117,0.0
PPO+CBF,135000.0,23.049655787178974,0.0
PPO+CBF,140000.0,24.226646462457307,0.0
PPO+CBF,145000.0,22.036690178855583,0.0
PPO+CBF,150000.0,28.183653967366666,0.0
