Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-34.60147	5.6161075	-19.077333	-49.678852	91.670715	25.417929	162.76733	28.291351	50.0	7333.657	1.8334143	-0.12000688	0.7501422	1.0995774	-1.2063708	0.03621417	0.36011383	0.53234476	-0.54188865	-2.7656554e-08	-0.025802594	-1.6021728e-06	-0.21907191	288.7323	-68.9317	2405.7183	-195.8374	0	0	2.0	1.837877	0.012384718	4000	5.523531913757324
1	-34.00932	5.847542	-22.841671	-47.381084	93.1287	24.05653	166.23793	44.50828	50.0	14783.953	1.8479941	-2.4964485	0.53221875	-0.6964188	-3.7723756	2.613191	0.8269321	4.1989017	1.0224333	6.103516e-08	-0.035186853	-4.1198732e-07	-0.9993141	213.10019	-97.47884	2299.6558	-364.21472	0	0	4.0	1.8364353	0.01500617	8000	10.22586727142334
2	-37.464546	6.081953	-22.64851	-52.552666	102.22967	24.124638	158.0677	47.25928	50.0	22962.326	1.9135271	-7.18941	1.4258438	-2.636018	-9.509838	7.086995	3.1941893	10.503941	-1.2143782	7.2479246e-08	-0.03817496	1.4038086e-06	-1.7828491	145.05414	-56.53305	2239.6096	-289.52722	0	0	6.0	1.8340276	0.012529682	12000	15.714448690414429
3	-37.543926	6.8103285	-23.083271	-55.503445	102.5552	24.95196	156.50912	47.745	50.0	31166.742	1.9479214	-11.189685	1.8331316	-5.238505	-13.388891	11.668621	3.1861494	14.673266	2.057286	2.8610229e-08	-0.045561984	1.0681153e-07	-2.2784297	86.02786	-12.729805	1894.6743	-151.83618	0	0	9.0	1.8306413	0.01536223	16000	21.319530725479126
4	-36.98591	6.484109	-18.765797	-52.281826	117.80037	24.72759	175.97787	65.07755	50.0	40590.77	2.0295384	-13.090647	2.0804448	-4.150032	-15.108179	15.021695	3.1286278	17.151787	0.820803	-1.525879e-08	-0.052840758	2.8991699e-06	-2.261826	66.391266	-4.339039	2419.7134	-155.9563	0	0	19.0	1.8258121	0.013520296	20000	26.97299599647522
5	-39.075134	6.5245285	-21.854301	-55.283478	120.104385	26.721024	174.01935	59.448853	50.0	50199.12	2.09163	-13.668912	2.6001444	-3.2501616	-16.033752	17.099123	4.3440604	19.452267	-5.461529	3.6239623e-08	-0.040142827	1.8005371e-06	-1.256532	68.396545	-3.2955856	2345.501	-123.72046	0	0	17.0	1.8166358	0.0135701	24000	32.785290241241455
6	-39.76772	7.1187572	-25.590082	-59.918575	101.57782	19.937382	158.56413	54.566498	50.0	58325.348	2.083048	-13.573952	3.3882961	0.03622151	-16.788462	17.13773	6.6878867	21.420815	-7.7589307	5.3405763e-08	-0.045298774	-8.8500974e-07	-0.6861201	71.85907	-5.3255844	1312.9827	-55.145874	0	0	19.0	1.8087727	0.013517458	28000	38.18267774581909
7	-40.095226	7.8077593	-26.99809	-61.433376	97.769325	18.530306	142.10905	56.995018	50.0	66146.89	2.0670903	-14.743761	2.7968028	-2.2526145	-17.545124	18.434597	6.264199	22.72532	0.18851043	-1.1444092e-08	-0.038781483	-7.6293946e-07	-1.4160515	71.65445	-3.4719696	1117.8073	-41.68213	0	0	25.0	1.8012617	0.014014348	32000	43.33979392051697
8	-39.94212	7.3560314	-26.341516	-60.55208	101.10857	16.742601	135.98695	61.02751	50.0	74235.58	2.0620995	-15.643931	2.871173	1.6235105	-18.319391	20.267307	5.627555	23.870876	1.5401623	1.9073487e-09	-0.041256063	-8.544922e-07	-1.0815241	67.47566	-2.183792	1141.0446	-41.50305	0	0	41.0	1.7919799	0.013090355	36000	49.00596642494202
9	-40.52124	6.617821	-21.770418	-52.54734	90.45215	12.435577	119.361244	64.32197	50.0	81471.75	2.0367937	-14.422739	4.2471695	2.947853	-18.565178	19.44416	7.7961297	25.032003	-3.5591385	1.1444092e-08	-0.032758877	1.6174316e-06	0.10924728	62.22734	-2.4883957	756.6106	-26.037354	0	0	14.0	1.7775238	0.015137394	40000	54.64754819869995
