Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-3.5311718	6.4289985	13.837129	-20.964241	16.173115	10.59286	64.445816	1.9095875	50.0	1293.8492	0.3234623	-0.008126291	0.69899017	1.5401667	-1.614536	0.027520124	0.74615204	1.4436477	-1.3715432	-2.336502e-08	-0.014641063	-1.373291e-07	0.07418051	15.845749	-2.8893108	95.78974	-24.6419	0	0	2.0	1.837877	0.03528312	4000	3.995840072631836
1	2.1068218	6.499422	18.782957	-13.835811	24.26498	31.089128	265.20328	4.0406437	49.358025	3259.3267	0.40741584	-1.2829051	0.49367294	0.8902409	-2.416361	2.1315522	1.8438475	4.5196548	-3.1206234	-9.6559525e-09	-0.0066916663	6.866455e-08	-0.008308844	19.17766	-6.4819956	382.23544	-48.990204	0	0	3.0	1.8360857	0.024907975	8000	7.758850812911987
2	4.5108333	5.8022246	17.34904	-7.9328585	24.616468	13.934413	79.82035	3.4831972	49.925	5231.695	0.43597457	0.87691724	0.6111472	2.239986	-1.2058831	6.5572834	2.7659261	9.4004	-5.0222793	-3.361702e-08	-0.008528377	-2.8991698e-07	0.07862372	11.38135	-1.9693985	140.28636	-16.941261	0	0	4.0	1.8336878	0.021481227	12000	11.636547088623047
3	8.661092	5.971285	24.107616	-3.4473307	36.532722	21.064568	141.52203	7.8990664	49.4875	8189.993	0.51187456	2.2147417	0.82298684	3.8787267	-1.5019989	9.711039	2.2934587	12.063301	-6.536619	-5.00679e-08	-0.009279867	2.632141e-07	0.21892636	18.142332	-4.613701	300.5328	-34.00345	0	0	4.0	1.8306049	0.018882167	16000	15.689071893692017
4	11.5887165	5.564677	21.584879	-5.043762	42.67033	17.783682	92.186455	8.713326	50.0	11603.619	0.58018094	3.8827665	1.3109056	6.123215	-2.424425	13.122323	3.2713525	15.6989765	-6.8727756	1.4781952e-08	-0.006040132	3.890991e-07	0.15286274	16.64744	-2.7322521	231.07248	-20.016922	0	0	6.0	1.8275156	0.01369284	20000	19.87584638595581
5	11.184842	5.334026	25.164104	-1.7400769	56.184704	17.467587	108.73218	18.03954	50.0	16098.3955	0.6707665	4.908926	1.8912807	8.132777	-2.7892065	14.616203	5.3868256	18.196795	-12.475795	7.629395e-09	-0.016659591	-1.5258789e-07	0.19278327	12.962115	-1.1193457	377.0265	-51.89331	0	0	79.0	1.8234031	0.0065976875	24000	24.73872661590576
6	15.073865	6.4032927	28.51766	-2.5049267	65.30702	21.530447	128.36543	21.33304	50.0	21322.957	0.76153415	5.5077605	1.8647728	8.728552	-2.8417087	18.802212	4.710292	21.359488	-17.31597	-1.9073487e-09	-0.017330647	1.1138916e-06	0.19273055	22.456478	-3.9200287	519.0024	-51.778168	0	0	79.0	1.7788275	0.0072554285	28000	29.77936625480652
7	16.667608	5.663906	27.725185	6.4316225	71.19524	23.014149	137.84415	22.38474	50.0	27018.576	0.8443305	6.8834686	2.4753168	11.439769	-2.7462664	21.7352	4.759792	24.24509	-11.177986	5.722046e-09	-0.015448643	2.4414064e-07	0.21980317	17.63052	-1.7633848	592.713	-52.93274	0	0	79.0	1.737227	0.007043893	32000	34.927037477493286
8	17.44973	4.8162208	29.685085	5.953768	78.10018	20.844753	124.929405	23.573471	50.0	33266.59	0.92407197	7.6037197	3.0466866	13.044495	-2.5523708	23.473242	6.022672	26.876669	-13.563535	-1.1444092e-08	-0.013780922	3.5095215e-07	0.2065673	15.265286	-1.3631763	656.4635	-59.969727	0	0	79.0	1.6997823	0.006723881	36000	39.98480820655823
9	18.84277	5.0221553	29.91717	5.855009	84.99244	21.74504	169.0956	22.101255	49.9625	40066.562	1.001664	8.239694	3.0768642	13.9321575	-7.738116	25.997528	5.9941754	29.4488	-16.06619	1.4305115e-09	-0.013537422	-1.1062622e-07	0.21524605	15.494066	-1.5580034	760.8445	-69.147705	0	0	79.0	1.6637255	0.005847832	40000	45.25026226043701
10	19.643154	4.6744275	29.038147	7.3413205	92.445206	24.532795	148.62135	37.54702	50.0	47462.18	1.0786859	8.555096	3.9013157	15.378163	-3.909548	27.88323	5.8082776	31.925243	-1.2949383	1.3351441e-08	-0.0131828245	7.019043e-07	0.1356084	17.21551	-1.6518021	901.3502	-72.27283	0	0	79.0	1.6216629	0.005951636	44000	50.7468786239624
11	21.358883	5.294085	31.293995	8.383975	91.04793	22.619919	140.82268	39.884384	50.0	54746.01	1.1405419	9.541513	3.540471	15.983131	-0.122274406	29.97875	6.875222	34.44685	0.71143866	1.9073486e-08	-0.005349598	6.103516e-08	0.18804896	17.054642	-1.4297609	787.1195	-61.8219	0	0	4.0	1.5822875	0.008708739	48000	55.913286209106445
12	20.976212	4.911849	31.56103	10.507764	96.324615	26.464039	169.05333	44.438713	49.95	62453.04	1.20102	9.856817	4.219862	17.273708	-4.6716447	31.448519	8.024072	36.66357	-17.887327	4.7683715e-09	-0.011503661	9.765625e-07	0.085205294	15.794084	-0.7411175	931.874	-73.64148	0	0	79.0	1.5800536	0.0059145587	52000	61.53690481185913
13	21.994274	4.723875	33.461018	11.164679	108.03601	25.4511	165.44304	53.478027	50.0	71095.92	1.26957	9.944717	3.9593854	17.542856	-0.283768	33.53714	7.296488	38.79861	0.596657	-1.2397766e-08	-0.013156918	-4.272461e-07	0.21179526	14.716758	-1.1111994	1120.6632	-86.680786	0	0	79.0	1.5497059	0.0053937463	56000	67.2733645439148
14	23.020947	4.4306536	33.264786	11.5191345	110.74886	24.580933	175.40031	56.31068	50.0	79955.83	1.3325971	10.490862	4.5667734	18.421165	-2.2481132	34.997337	9.6922245	41.23069	-19.665226	-2.6702882e-08	-0.016679356	3.051758e-08	0.17975712	12.573519	-1.1089325	1113.2185	-95.54724	0	0	79.0	1.5131025	0.007538002	60000	73.010568857193
