Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-6.156493	6.1766944	7.5408916	-18.244982	35.268234	43.06329	238.7223	2.9214468	48.317074	2915.3423	0.7288356	-0.043830827	0.73481447	1.6211014	-1.6738446	0.041929565	0.75140655	1.4863868	-1.3977103	-1.525879e-08	-0.014518473	1.2588501e-07	0.27169126	22.687855	-8.125983	928.73065	-76.47003	0	0	2.0	1.837877	0.03412995	4000	2.7484476566314697
1	-0.7246361	5.685675	11.064196	-13.332223	50.67467	55.350525	271.96838	3.2007756	47.22619	7182.401	0.8978001	-1.9741657	0.7374389	0.31554592	-3.4356446	2.0980215	4.1259046	7.3019423	-6.6364083	-2.6226044e-09	-0.007851646	6.67572e-07	0.240482	13.939856	-3.0394697	1859.4767	-168.68152	0	0	3.0	1.8360813	0.028752532	8000	4.963642358779907
2	1.1641917	6.041758	16.683384	-12.726124	52.269547	52.41405	237.93806	2.8607733	45.850574	11731.4795	0.9776233	-0.83949536	0.46449798	0.8674447	-1.9098676	6.390065	4.6791606	11.149309	-9.641784	-2.515316e-08	-0.010726783	8.5830686e-07	0.20547879	13.260066	-2.8786736	1816.6428	-159.3595	0	0	3.0	1.8337114	0.019578677	12000	7.212108850479126
3	3.8073692	4.845896	14.71959	-8.141555	71.00826	65.88317	268.18445	4.43878	44.88764	18053.578	1.1283486	0.51299745	0.57113236	2.1486883	-1.3068506	11.092313	4.075761	14.326276	-11.068641	-4.2915342e-09	-0.0055312803	2.2125244e-07	0.5834743	9.826591	-1.8971295	2498.1375	-162.79224	0	0	3.0	1.8312687	0.019221433	16000	9.446157217025757
4	5.0460606	4.70322	14.591784	-8.202618	107.88161	76.41932	292.39178	4.423952	39.186275	29058.06	1.452903	1.6763161	0.75241894	3.7656102	-1.0231212	15.375948	2.8961847	17.250767	-11.472886	4.887581e-08	-0.0015209042	2.5939943e-07	-0.19144703	9.04691	-1.4043765	5190.343	-336.55518	0	0	4.0	1.8287274	0.013562414	20000	11.712953090667725
5	4.0205655	5.118341	22.00805	-9.884882	84.226364	73.790054	284.808	7.222726	41.642105	37114.137	1.5464224	2.4414575	1.0646735	5.171673	-1.1855494	20.060242	1.6937412	20.694632	-10.882545	1.66893e-08	-0.020312846	1.1825561e-07	-0.3081793	9.157744	-0.7884979	3310.2976	-87.478516	0	0	79.0	1.8255136	0.006856129	24000	14.300228118896484
6	5.452868	5.0078335	18.785326	-8.959022	79.56419	73.1033	285.12244	1.1201077	42.468086	44593.797	1.5926356	1.9634753	1.0407219	4.6919026	-2.388299	21.757172	3.2860548	22.470459	-16.128658	3.5762786e-09	-0.02372151	-8.8500974e-07	-0.3296907	9.775631	-0.9732933	2987.512	-55.96338	0	0	79.0	1.7770431	0.007047775	28000	16.8422212600708
7	9.0175495	5.155593	19.474993	-7.605159	76.68897	63.831734	291.22745	2.4511807	44.85393	51420.367	1.6068865	2.9639752	1.2857841	5.905905	-0.9239785	23.15318	2.3179626	23.854975	-4.7860575	1.26361845e-08	-0.02244068	3.566742e-07	-0.33319524	11.953947	-2.0679903	2520.1038	-67.394775	0	0	79.0	1.7307168	0.0069268947	32000	19.48701500892639
8	9.648	4.8280315	20.697195	-1.3323684	56.557095	50.68116	199.06062	4.273988	47.166668	56176.2	1.56045	4.0990057	1.6718696	7.6988125	-2.9804554	24.038097	4.600166	25.17046	-18.181475	1.4781952e-08	-0.018314201	-3.051758e-08	-0.14158028	9.728072	-0.920537	1359.4623	-24.310791	0	0	79.0	1.6855776	0.006731199	36000	22.06820774078369
9	11.724693	4.4672613	23.516233	1.645174	41.51723	46.43998	236.47694	0.4935071	48.814816	59559.273	1.4889818	5.090588	1.809895	8.474749	-3.841477	23.684378	6.6274624	25.57502	-24.606823	1.0967255e-08	-0.016304065	1.411438e-07	-0.102484606	12.511873	-0.87317944	1015.67065	-28.860352	0	0	79.0	1.6485708	0.004884707	40000	24.600934267044067
10	11.632817	5.046024	25.57601	-0.22675928	43.64708	54.186924	291.14658	1.7203474	48.864197	63106.85	1.4342467	4.8352003	1.9144138	9.027346	-2.6038766	24.09684	4.330621	25.235882	-14.147057	1.525879e-08	-0.017913911	-1.9836426e-07	-0.076479346	11.936428	-0.7640238	1179.2643	-20.252075	0	0	79.0	1.6082857	0.004895565	44000	27.317143201828003
11	12.907526	5.0681014	25.738197	0.47059566	31.7551	30.732103	167.64815	1.6176438	49.11111	65690.77	1.3685578	5.4222636	1.6459444	9.065031	0.38328293	23.54877	4.121177	25.040049	-18.977203	8.5830685e-09	-0.015981684	3.051758e-08	-0.029480621	11.729363	-0.5358343	515.0967	-29.118683	0	0	79.0	1.5650338	0.006226901	48000	29.89340329170227
12	13.524277	4.389128	25.088615	5.2065244	37.351776	50.34061	218.34258	1.4352446	48.59756	68759.664	1.3223013	5.689209	1.8047721	9.5346985	-0.7372553	21.628256	4.193022	24.380373	-14.733586	-9.536744e-10	-0.01726625	-4.5776368e-08	0.12973346	11.79831	-0.6971903	1096.8654	-24.513306	0	0	79.0	1.5288494	0.0064881938	52000	32.489224910736084
