Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,19.82,11.1097975,72.0,9.0,0.4872595,1.0052668,7.3655896,0.08435845,19.82,24.43005,0.02443005,-0.015453235,0.18626067,0.39356104,-0.4659439,0.0055037527,0.15157561,0.3346607,-0.40484682,-3.671646e-08,-0.007222516,-3.5107135e-08,0.0008301317,234.79253,-22.022873,1.4923595,-0.68503845,0,0,8.0,0.6853946,0.012958503,1000,1.253976821899414,0,0.0
1,25.461538,13.828337,59.0,9.0,0.42009553,0.28999668,1.1977489,0.044269733,25.461538,40.850185,0.020425092,0.7539448,0.5463208,2.0037901,-0.6664573,0.34133068,0.32452208,1.7066379,-1.3228683,8.440018e-08,-0.015144509,2.9802322e-10,0.0011703428,311.08856,-84.05922,0.16872513,-0.0934408,0,0,79.0,0.6917248,0.0065243994,2000,2.358882188796997,0,0.0
2,24.641026,11.698098,58.0,8.0,0.35056058,0.2856771,1.1074946,0.032319907,24.641026,54.66622,0.018222073,4.170368,0.3166135,5.520467,3.0995502,0.3517293,0.2385347,1.5807486,-0.4196905,1.2397766e-08,-0.010558233,1.013279e-09,0.002893396,192.43654,-75.10121,0.11438518,-0.048929222,0,0,14.0,0.6839005,0.012850508,3000,3.2031493186950684,0,0.0
3,41.416668,25.678974,135.0,14.0,0.8729245,0.9730769,3.7630527,0.094780326,41.416668,75.67747,0.018919367,8.923371,1.1169167,11.571945,3.2990308,0.21660987,0.2083699,1.0517825,-0.6855685,-3.409386e-08,-0.015169667,-3.2782554e-09,0.0052112257,473.39545,-139.29895,0.8169133,-0.3447217,0,0,79.0,0.65975976,0.005126622,4000,4.129706382751465,0,0.0
4,74.69231,52.553833,202.0,12.0,1.8970737,1.8555853,7.31369,0.19505236,74.69231,100.61347,0.020122694,14.858672,1.2931688,17.007656,6.6911845,0.75312924,0.27450266,1.4752452,0.120707236,-1.7166137e-08,-0.012413914,7.033348e-09,0.004086729,1024.3707,-214.27155,0.98730135,-0.17761332,0,0,79.0,0.65268713,0.003757399,5000,5.2358057498931885,0,0.0
5,60.75,36.40141,144.0,16.0,1.7926886,2.2846968,7.643281,0.06928282,60.75,129.3892,0.021564867,20.3586,0.90723586,21.598028,14.332225,1.1370488,0.34172982,2.1065743,0.080316514,-5.686283e-08,-0.013817437,-5.4240226e-09,0.010441662,471.95947,-50.960846,2.8684967,-1.3625162,0,0,79.0,0.6401294,0.003601586,6000,6.311062097549439,0,0.0
6,86.181816,26.450014,125.0,34.0,2.8904963,1.8866723,5.5204973,0.1823324,86.181816,162.43317,0.023204738,21.498438,3.6106963,23.538628,-10.075169,1.4301679,0.8358722,3.7024019,-0.919743,4.673004e-08,-0.009275676,1.257658e-08,0.00513444,490.06354,-57.640717,1.5701653,-0.43160892,0,0,79.0,0.6217066,0.0033642007,7000,7.347774028778076,0,0.0
7,89.454544,20.25009,118.0,61.0,3.7775373,2.0839872,6.9311686,0.35231152,89.454544,204.11015,0.02551377,24.220102,3.6829302,25.415003,-6.6994524,1.6210679,0.24346961,2.1333687,0.7643894,-3.9100648e-08,-0.010483494,-7.510185e-09,0.0036493572,426.48642,-35.898865,2.1322935,-0.31875467,0,0,79.0,0.6107262,0.007948435,8000,8.43074345588684,0,0.0
8,74.76923,38.87288,131.0,14.0,2.4370902,2.2464085,5.9662714,0.12973624,74.76923,235.90553,0.026211726,24.885244,4.199254,26.99123,-5.863495,2.0857613,0.21569075,2.485414,1.282214,2.861023e-09,-0.008630647,-1.37090685e-08,0.017656485,426.53806,-31.444916,1.7397685,-0.45215845,0,0,15.0,0.6090487,0.011852958,9000,9.33742094039917,0,0.0
9,135.85715,53.48813,225.0,83.0,5.3785434,2.0939791,7.7725406,2.9946249,135.85715,274.55716,0.027455715,27.207535,3.8907068,28.499763,-9.2063675,1.7419165,0.32443178,2.505526,0.71845114,-1.3113022e-08,-0.0067935544,3.3140182e-08,0.0050527207,940.0204,-106.38202,2.0034971,-0.34730446,0,0,19.0,0.6091716,0.012439691,10000,10.251885652542114,0,0.0
10,115.375,38.938854,175.0,57.0,7.83835,2.7563806,11.548155,3.3778574,115.375,338.3321,0.030757463,27.250252,6.949325,31.074957,-11.513607,2.3899293,0.12018288,2.6734421,2.0428414,-1.0490417e-08,-0.0100879725,-1.9073487e-09,0.0045678006,574.15765,-71.365814,4.713377,-2.1493707,0,0,79.0,0.5826762,0.004963299,11000,11.349547863006592,0,0.0
11,169.0,33.52014,203.0,115.0,8.775211,2.3452663,11.934063,5.733824,169.0,387.87503,0.03232292,30.978006,5.944344,33.185028,-13.098541,3.6926665,0.5253324,4.908467,1.8776832,1.3947487e-08,-0.0040668333,-4.2915342e-09,0.00251096,896.98413,-101.29431,2.889333,-0.5626414,0,0,79.0,0.5804519,0.0032262506,12000,12.379632234573364,0,0.0
12,229.75,99.98344,399.0,139.0,11.168303,3.381038,14.569688,6.521243,229.75,434.1177,0.03339367,33.445187,6.0504794,35.573486,-13.927566,3.251618,0.37988898,4.000916,1.5103179,-3.98159e-08,-0.007707385,5.2213668e-08,0.006544999,1358.7186,-157.99072,5.6176515,-1.0592465,0,0,79.0,0.5954211,0.0026886954,13000,13.5300931930542,0,0.0
13,285.66666,67.751175,375.0,211.0,9.488467,4.72323,16.054281,5.142114,285.66666,466.87973,0.033348553,37.400574,4.722605,38.38572,-16.969223,2.8147168,1.2753483,5.572896,0.24115947,-1.7166137e-08,-0.0073924917,-4.768372e-10,-0.00747736,1423.1746,-148.80566,5.02795,-1.7361603,0,0,79.0,0.5877467,0.0106627885,14000,14.476078987121582,0,0.0
14,194.75,63.27865,254.0,93.0,7.6720734,4.0546227,14.190551,3.7605975,194.75,506.03348,0.033735566,39.330803,5.770518,40.993324,-12.248841,2.9820364,0.32397318,3.5595784,1.2148182,2.360344e-08,-0.004167521,-3.5643577e-08,0.005009555,1000.4361,-82.23834,3.350326,-0.4170575,0,0,79.0,0.5982099,0.0026400853,15000,15.43487286567688,0,0.0
15,140.5,59.004944,247.0,60.0,8.681196,7.0175033,19.641493,1.4302198,140.5,561.5892,0.035099324,41.057,6.5714817,42.900265,-16.81567,2.6358523,0.40979552,3.4659824,1.402604,-5.4359436e-08,-0.010925432,-1.6212464e-08,0.003231902,656.6671,-27.914856,10.895163,-3.3416486,0,0,79.0,0.60380197,0.0048812176,16000,16.499878406524658,0,0.0
16,106.666664,61.06645,267.0,49.0,6.128119,4.5569186,14.226997,1.1178241,106.666664,617.9666,0.036350977,40.96649,8.7078,43.99914,-19.364426,3.7544782,1.5116177,6.9095707,-0.1162977,-4.2915342e-09,-0.0113005405,-3.8146974e-09,-0.0031676302,499.65125,-17.286041,5.776631,-1.6773705,0,0,79.0,0.5749021,0.0052616643,17000,17.374240398406982,0,0.0
17,183.0,98.65698,351.0,77.0,10.129532,5.850751,20.212996,2.4116638,183.0,673.54004,0.03741889,44.276585,0.26963833,44.381348,42.33114,2.4890723,0.73754877,4.0507283,1.0508009,-3.9100648e-08,-0.0081301285,-1.2159347e-08,-0.000927555,907.7257,-37.709473,6.017401,-1.5648346,0,0,74.0,0.5860588,0.013014233,18000,18.25855159759521,0,0.0
18,129.57143,54.012848,231.0,67.0,8.255297,4.320777,15.265052,2.7684834,129.57143,741.0944,0.03900497,44.526077,5.386292,45.580956,-12.579887,3.4520774,0.55352056,4.3029447,1.3523098,1.6689301e-09,-0.008620013,-1.6272068e-08,0.011782768,525.4109,-18.572693,7.232514,-0.43268967,0,0,79.0,0.6232511,0.005122796,19000,19.17720937728882,0,0.0
19,268.33334,146.98148,399.0,63.0,6.0933022,2.8752687,9.42911,2.4116838,268.33334,764.2641,0.038213205,44.72873,6.1121087,46.124256,-15.038496,3.9013705,0.77430224,5.441208,1.7300338,-2.1100044e-08,-0.008704648,2.1219254e-08,0.004915592,1278.086,-115.8125,4.7118673,-4.0823145,0,0,79.0,0.61630493,0.006255425,20000,20.1032395362854,0,0.0
20,141.16667,98.65666,338.0,21.0,7.8353767,5.7623415,14.265645,1.138591,141.16667,821.33234,0.039111063,43.148144,11.594199,48.351227,-17.27073,1.8082886,0.46541032,2.7774644,-0.03759277,-2.849102e-08,-0.012319986,-1.5497207e-08,0.0071859327,605.0441,-43.10736,9.099481,-4.1079206,0,0,79.0,0.60653144,0.008802225,21000,21.340522289276123,0,0.0
21,152.5,34.99405,221.0,123.0,7.5951176,3.4134607,12.184566,3.6452496,152.5,871.2246,0.039601117,49.51868,0.3153591,49.617233,47.486404,2.6530898,0.93934745,4.79568,0.71766496,-2.6226044e-09,-0.0049632215,-3.272295e-08,-0.0003492362,523.34546,-2.355896,5.126426,-1.1963329,0,0,79.0,0.60722953,0.0052762767,22000,22.39562439918518,0,0.0
22,97.42857,49.421967,169.0,26.0,3.2738526,3.3316755,10.806235,0.25977287,97.42857,899.16,0.03909391,49.84985,0.07637369,49.877945,48.10006,3.0827816,0.2534864,3.4463289,1.9049203,2.4318695e-08,-0.014973298,-3.33786e-08,0.0018070107,845.10596,-5.0754395,4.108371,-1.8013616,0,0,52.0,0.5857976,0.01226463,23000,23.31068205833435,0,0.0
23,186.6,71.50272,275.0,103.0,2.9503033,2.354223,7.414145,0.613905,186.6,917.13513,0.038213965,50.34451,0.019012894,50.36289,50.245407,1.9777321,0.28402522,2.9002054,1.223265,-1.1444092e-08,-0.00959808,5.9604643e-10,0.0028547177,688.30676,-10.072693,1.8296775,-0.62707734,0,0,24.0,0.61682194,0.012874102,24000,24.12697196006775,0,0.0
24,159.8,60.024662,268.0,93.0,6.4227233,3.83342,12.616556,2.006861,159.8,958.47766,0.03833911,48.585545,8.554303,51.081326,-7.054829,0.88837785,0.4082803,1.7468708,-0.58291274,-9.536744e-10,-0.007997816,6.7919494e-08,0.0028556047,566.84607,-43.46039,7.1169696,-3.217974,0,0,79.0,0.6003778,0.004997692,25000,25.335335731506348,0,0.0
