Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	17.077253	7.3463106	61.0	9.0	0.37330115	0.23968703	1.6083194	0.021146609	17.077253	87.06151	0.021765377044677733	-0.0070834174	0.23072709	0.52087754	-0.5154841	0.012311911	0.58303094	1.3604743	-1.4051598	3.1471252e-08	-0.012601633	-5.4836273e-09	-0.0011674729	144.39519	-20.901062	0.4218629	-0.38080823	0.0	0.0	0.015184746	-2.6853666	-0.0952553	0.01580885	0.0014494683	0.003366359	1.2573326	0.0	3.0	0.0	0.0	0.67469954	0.0044711363	4000	4.358808994293213
1	19.975	9.231705	52.0	8.0	0.41457167	0.27501762	1.2843721	0.055978063	19.975	169.99046	0.021248807907104494	1.0838516	0.20760883	1.8347967	0.32944345	0.23087631	0.017028827	0.2721287	0.08710307	-6.699562e-08	-0.014566211	-1.5497208e-09	0.00015173524	170.89677	-67.7064	0.04676322	-0.0018027537	0.0	0.0	0.020710655	-60.99221	-0.079370625	0.021169253	-0.00021762241	0.00010326997	1.4549657	0.0	3.0	0.0	0.0	0.68857944	0.0044233636	8000	8.473873138427734
2	22.519773	12.353132	90.0	8.0	0.47605914	0.5188811	4.1711383	0.021603098	22.519773	254.46014	0.021205012003580728	5.026625	0.32489687	6.046268	3.0083196	0.23838587	0.048281252	0.407567	-0.045030937	-7.390976e-09	-0.016172577	-2.9802323e-09	0.0012029384	169.59389	-62.26172	0.23460452	-0.02356705	0.0	0.0	0.013071531	-15.449015	-0.06767123	0.026313238	-0.001980547	0.0002962282	1.6221355	0.0	3.0	0.0	0.0	0.6923647	0.004259708	12000	12.239117622375488
3	25.767742	15.441804	94.0	9.0	0.4997226	0.5968717	3.9608245	0.025132593	25.767742	331.96103	0.0207475643157959	10.125004	0.75403017	12.449175	4.913357	0.32951233	0.082907364	0.7924809	0.027454454	-1.2516975e-08	-0.013741671	-5.2452087e-09	0.0015222768	167.99359	-29.489594	0.30030277	-0.0066960156	0.0	0.0	0.011026898	-5.8815165	-0.058223084	0.018919637	-0.0021310593	0.00057539134	1.3754867	0.0	3.0	0.0	0.0	0.68839395	0.004225065	16000	13.475878953933716
4	35.04386	25.26713	168.0	10.0	4.8184977	43.58327	467.94922	0.061327204	35.04386	881.3242	0.0440662109375	13.71775	1.6376157	16.167774	-2.2376385	0.4036878	0.2143441	1.5695797	-0.3703229	-1.525879e-08	0.0063084494	-9.313226e-08	-0.07143022	331.44922	-54.238434	2084.897	-130.10925	0.14036441	0.0	0.024470562	-0.002744577	0.08042771	0.028032271	-0.042517938	0.5075584	0.0	0.14036441	0.0	0.0	0.0	0.6797097	0.0028888234	20000	17.449600219726562
5	28.942028	15.077466	109.0	10.0	2.5662735	22.619797	266.56018	0.021983586	28.942028	1235.5796	0.05148248291015625	17.769016	2.5806186	20.454973	2.402443	4.499345	2.944192	14.790982	-11.421257	-4.2915342e-09	-0.009546415	-9.799004e-08	-0.01828629	132.26833	-4.6035156	667.5175	-13.244629	0.39992264	0.0	0.024092937	0.008125296	0.019565783	0.035363458	-0.047973663	0.20420282	1.7219688	0.39992264	1.0	0.0	0.0	0.6814408	0.0031542017	24000	21.278135776519775
6	29.4	15.540723	82.0	10.0	0.6738429	1.074654	8.579889	0.020300737	29.4	1326.6207	0.04737931169782366	17.070688	3.6138606	20.51352	-5.2446566	3.0016992	3.2219632	15.855016	-8.979441	-2.6226044e-09	-0.017986203	6.6757204e-09	0.013894967	118.79938	-5.7279434	15.082147	-9.754084	0.0	0.0	0.010241419	-0.061857607	-0.045107383	0.03277015	-0.025256876	0.02831539	1.8102528	0.0	3.0	0.0	0.0	0.6766254	0.0043592164	28000	25.117295026779175
7	36.842594	20.407951	117.0	9.0	0.92054814	1.5006526	9.091662	0.049900014	36.842594	1426.0695	0.044564670562744144	16.831093	3.471952	20.565876	-4.5003314	0.67691797	2.9824765	12.9723835	-12.533351	1.7166137e-08	-0.019153818	-1.9669533e-09	0.007834396	186.46658	-13.591949	11.029174	-5.4268713	0.0	0.0	0.013756596	-0.08029739	-0.029299019	0.03819481	-0.01524229	0.009506726	1.9543493	0.0	3.0	0.0	0.0	0.66313845	0.00410385	32000	29.16364336013794
8	52.61842	27.05062	130.0	14.0	2.755938	4.724264	25.166578	0.08345583	52.61842	1635.5212	0.04543114556206597	19.298203	3.129056	22.012222	-8.146694	0.84399146	2.9585423	11.459267	-9.610975	-6.556511e-08	-0.0017638372	3.8146974e-09	-0.014545144	313.26776	-50.314117	17.867548	-5.002636	1.4061624	0.0	0.019878581	0.0040085916	0.014366415	0.027731653	-0.016447645	0.034448307	2.2268798	1.4061624	1.0	0.0	0.0	0.6496156	0.004059425	36000	32.88728213310242
9	47.238094	26.03643	143.0	12.0	2.3013334	3.7518375	20.867514	0.04744854	47.238094	1829.4353	0.04573588256835937	22.767366	2.7247283	24.847528	-6.817107	1.8437773	1.8444525	9.19016	-5.8983364	-1.3947487e-08	-0.005523519	-3.0994416e-09	-0.006754788	234.48834	-20.388062	11.161348	-1.8227158	1.137245	0.0	0.014427808	0.008289621	0.0063790344	0.029033232	-0.018640855	0.023791263	1.3192674	1.137245	1.0	0.0	0.0	0.6492875	0.004486414	40000	36.83662414550781
