Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.863636,7.0793905,32.0,10.0,0.4088793,0.2506116,1.1464757,0.09886132,17.863636,9.046904,0.022617258,-0.07659449,0.16096124,0.39343622,-0.38813686,0.06668312,0.13830909,0.3313521,-0.31045866,2.8610229e-08,-0.008807648,1.1920929e-09,0.00066603214,142.0694,-16.881485,0.09904952,-0.07157323,0.0,0.0,0.006850107,-0.061439164,-0.005100904,0.00782431,-0.0005956672,0.0003642151,0.8845513,0.0,3.0,0.0,0.0,0.6851215,0.0029626,400,0.9504213333129884,0,0.0
1,22.647058,8.897728,44.0,11.0,0.43472832,0.3834814,1.4913974,0.0364179,22.647058,16.97463,0.021218289,0.48058206,1.5376618,4.176057,-3.470633,0.2652874,0.07911696,0.55925876,-0.06716172,9.834766e-08,-0.012109485,-3.2782554e-09,-0.00047727436,198.05002,-58.982697,0.06522298,-0.0060145855,0.0,0.0,0.012000401,-0.04971148,-0.002882126,0.01413397,0.0005448004,0.00013911312,1.1888638,0.0,3.0,0.0,0.0,0.6917348,0.004631474,800,1.3923571109771729,0,0.0
2,24.9375,14.354741,65.0,9.0,0.42159408,0.2681536,0.9000923,0.065024614,24.9375,23.721611,0.019768009,3.3201995,0.46079373,4.931188,1.8338438,0.2213609,0.040246796,0.33421552,0.020887826,3.5762786e-09,-0.01571093,-2.3841857e-09,0.00057444157,253.64462,-100.85272,0.028676253,-0.0016271938,0.0,0.0,0.018043771,-0.057496555,-0.0031440968,0.024034778,-0.00093670964,0.00014645704,1.5503154,0.0,3.0,0.0,0.0,0.6899019,0.0042965864,1200,1.9398393630981443,0,0.0
3,23.785715,6.073109,37.0,13.0,0.3691526,0.2979814,1.0606372,0.0472772,23.785715,30.095964,0.018809978,8.675591,0.7876576,10.620508,5.9228516,0.24635957,0.035712615,0.35865152,0.105571546,-6.020069e-08,-0.010907706,-8.9406965e-10,0.0013386968,189.54102,-48.61914,0.07691073,-0.012513198,0.0,0.0,0.004901485,-0.09035479,-0.0055010915,0.010760993,-0.0013292613,0.0003015502,1.0373521,0.0,3.0,0.0,0.0,0.6819809,0.0036456592,1600,2.43095326423645,0,0.0
4,39.8,15.07846,76.0,23.0,1.4330368,2.2235243,7.9372835,0.11192574,39.8,44.485363,0.022242682,12.917332,1.9403719,16.23326,5.378083,0.21711056,0.18011236,0.6024691,-0.31485814,2.95043e-08,0.022608196,-1.6391277e-09,-0.009246786,200.42111,-44.51802,4.84366,-2.7050536,1.1340218,0.0,0.020176396,-0.060676455,0.023443136,0.06569646,-0.018813942,0.007776008,0.0,1.1340218,0.0,0.0,0.0,0.6781276,0.004267244,2000,2.910150051116944,0,0.0
5,26.2,12.749902,50.0,9.0,0.6140415,0.3175989,1.3363156,0.18810791,26.2,53.710888,0.022379536,16.390385,0.7279885,17.748423,13.825456,0.6986978,0.5581154,1.8084413,-1.0645581,1.3113022e-08,0.014623995,-5.3644182e-09,-0.0020186913,89.80465,-4.903282,0.29016328,-0.21543393,4.902698,0.0,0.020533102,-0.035541154,0.0043527293,0.04141889,-0.0029477123,0.00041602485,0.0,4.902698,0.0,0.0,0.0,0.6846515,0.003907113,2400,3.499643087387085,0,0.0
6,24.75,14.372282,70.0,13.0,0.43674797,0.4655665,1.8921254,0.063731596,24.75,60.92581,0.021759218,15.853372,1.0934271,17.690012,11.566686,0.6888725,0.35719982,1.7317166,-0.089659676,3.159046e-08,-0.011288215,-2.6822091e-09,0.0020557693,123.730865,-4.9715424,0.4040425,-0.25327486,0.89470714,0.0,0.009929642,0.0075731776,-0.0025556376,0.02050247,-0.005334281,0.0026912906,1.1450586,0.89470714,2.0,0.0,1.0,0.69174504,0.0024308534,2800,4.028970718383789,0,0.0
7,22.055555,11.0326395,58.0,11.0,0.35455653,0.26977465,1.2437121,0.051022545,22.055555,67.35402,0.02104813,14.568657,1.5990353,16.913076,6.4739976,0.104464315,0.1422733,0.49197784,-0.41606247,-5.9604643e-10,-0.021999646,-1.1920929e-09,-0.00084003096,78.71487,-15.164169,0.052278213,-0.020650115,0.0,0.0,0.041016296,-0.07738927,-0.0065944144,0.04763935,0.001815417,0.000497616,2.1826441,0.0,3.0,0.0,0.0,0.6874167,0.0045740837,3200,4.561496019363403,0,0.0
8,30.333334,18.700861,69.0,13.0,0.4552174,0.3987891,1.4438545,0.08257976,30.333334,73.07511,0.020298641,13.929514,2.1148715,16.334015,2.6086485,0.2893371,0.1795738,0.8299674,-0.18915603,1.4901161e-09,-0.022357812,-7.4505807e-10,0.0014158852,168.19481,-27.156708,0.08733019,-0.015552439,4.3890266,0.0,0.022621546,0.008907056,-0.0014763497,0.0844672,-0.011105677,0.001994256,1.593654,4.3890266,2.0,0.0,0.0,0.67512316,0.0042329533,3600,5.075827598571777,0,0.0
9,45.625,17.613472,86.0,29.0,1.0624256,1.679993,5.431534,0.06513574,45.625,81.76468,0.020441169,17.171022,1.848017,19.737263,7.1347647,0.32676455,0.25869188,1.1030002,-0.17784414,-2.2649765e-08,0.007782719,-1.40070915e-08,-0.0063342787,204.75648,-36.296402,1.4794943,-0.40542996,1.533613,0.0,0.025436817,-0.025740197,0.0123271365,0.031614948,-0.0051252176,0.0042517474,0.0,1.533613,0.0,0.0,0.0,0.6607573,0.004091159,4000,5.638066530227661,0,0.0
