Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.835443	7.134803	71.0	8.0	0.38095677	0.25350505	1.3286506	0.052342083	16.835443	90.75211	0.02268802833557129	0.008051299	0.2332479	0.5074064	-0.5279472	-0.018984942	0.5870998	1.4970921	-1.3455827	-3.1232833e-08	-0.017536486	7.2717667e-09	-0.0015753594	139.67972	-22.521118	0.44158724	-0.4010128	0	0	7.0	0.67423534	0.017982079	4000	4.254214286804199
1	21.299465	10.967923	74.0	8.0	0.37761843	0.33873796	2.998031	0.033752955	21.299465	161.76265	0.0202203311920166	1.2242776	0.23630792	2.1011515	-0.34174755	0.23450817	0.019169142	0.29407087	0.13569833	1.2898445e-07	-0.014079019	-1.5646219e-09	0.0009484314	210.7776	-78.75311	0.103973664	-0.0074313134	0	0	9.0	0.69159275	0.014535937	8000	7.804532766342163
2	25.031446	11.629729	76.0	9.0	0.39334598	0.3286031	2.0812373	0.035742726	25.031446	224.56123	0.018713436126708984	5.4661446	0.47739273	6.914092	3.9853268	0.24004309	0.07542174	0.6344869	-0.3541889	3.0994416e-09	-0.011371434	3.6656858e-09	0.00091854413	163.23558	-62.26136	0.07856874	-0.017257594	0	0	16.0	0.6829613	0.012233086	12000	11.330790281295776
3	33.66949	17.055769	87.0	12.0	0.48566407	0.6867585	6.2159877	0.028397024	33.66949	281.92484	0.01762030220031738	10.550595	0.54779863	12.34979	5.3744326	0.21480094	0.05994695	0.40101174	-0.09140028	-4.673004e-08	-0.01390852	-6.496906e-09	0.0033860651	215.96088	-55.241745	0.40663788	-0.03866464	0	0	79.0	0.66320544	0.0047265887	16000	15.38790774345398
4	41.051548	20.574917	126.0	12.0	0.69661003	1.1106489	8.482595	0.029675292	41.051548	349.73923	0.017486961364746093	15.178202	1.1067015	17.735374	8.344417	0.32799068	0.15227433	0.91714334	-0.35815173	-2.6941299e-08	-0.013678112	2.7418137e-09	0.0044608316	242.82681	-34.148315	0.9498499	-0.13620818	0	0	79.0	0.6520212	0.004757324	20000	19.236932039260864
5	50.544304	27.538143	139.0	10.0	1.3479538	2.4924493	18.953655	0.057508197	50.544304	456.437	0.019018208821614584	18.657877	0.28371805	19.26306	16.658749	0.5599445	0.18827483	1.5918058	-0.17531627	-6.115437e-08	-0.015075294	1.5377998e-08	0.010027756	337.33368	-45.352142	3.8073692	-0.52332425	0	0	79.0	0.6410796	0.004655667	24000	23.119682550430298
6	81.02041	53.95406	337.0	17.0	5.151724	14.268987	98.40586	0.12307049	81.02041	709.1723	0.025327582223074775	20.818886	3.5873647	23.548357	-13.034274	0.8478805	0.9145175	4.583286	-3.3721642	-8.404255e-08	-0.012312495	-8.940697e-09	0.039737284	800.7971	-134.97144	121.00966	-22.233177	0	0	79.0	0.633675	0.004241223	28000	24.075090885162354
7	85.36957	41.38964	193.0	10.0	22.972118	75.564545	512.13654	0.076381095	85.36957	1770.0244	0.05531326293945313	24.64057	5.407766	27.180779	-15.430703	3.5858119	2.7798212	10.647587	-5.453534	-6.186962e-08	-0.010890317	4.1520596e-07	0.1476516	548.5914	-64.16553	2732.318	-149.50488	0	0	79.0	0.62156236	0.0043379623	32000	27.94919514656067
8	133.2	47.426716	290.0	52.0	18.56999	33.13022	153.56464	0.43632808	133.2	2327.2812	0.0646467013888889	28.50878	3.0248737	29.61096	-11.537886	11.100922	5.3444858	18.895187	-12.8042345	2.1100044e-08	-0.009896031	2.4080277e-08	0.010798732	852.2676	-106.97235	397.24033	-45.28763	0	0	79.0	0.61995703	0.0031406526	36000	31.866408109664917
9	133.03448	66.54917	301.0	17.0	50.674423	91.48279	306.2803	0.15360191	133.03448	3800.3064	0.09500765991210937	31.320898	5.081477	32.54407	-22.680655	9.277097	0.7499806	11.1469555	4.9149904	-1.31726265e-08	-0.009461421	-7.722378e-07	0.071461685	915.41785	-93.80786	2993.2935	-289.68994	0	0	79.0	0.61752516	0.0029771924	40000	35.9427170753479
10	169.95653	51.067287	295.0	91.0	140.54268	153.54726	426.4679	2.3503807	169.95653	7039.8633	0.15999689275568182	33.830265	5.115768	35.099316	-21.401869	19.710718	0.35856935	20.399118	17.530256	-3.2782555e-08	-0.009006542	-7.7533724e-07	0.030549787	928.3459	-93.694275	8617.012	-632.36523	0	0	79.0	0.60799205	0.0038748002	44000	40.117924451828
11	223.35294	71.95091	365.0	124.0	193.02783	219.68005	666.43994	1.8740185	223.35294	10327.405	0.21515427652994792	36.467705	4.6318707	37.551773	-8.558151	27.51496	0.075828664	27.60229	26.993034	1.1026859e-09	-0.010946366	-2.3531913e-07	0.21731289	1257.955	-137.64526	12141.765	-332.8369	0	0	79.0	0.6095609	0.0046570213	48000	44.2525372505188
12	218.66667	89.583595	500.0	25.0	285.799	288.58963	969.4236	0.15653168	218.66667	15474.115	0.29757913912259615	39.732044	3.5095184	40.31247	-5.5786595	31.512527	0.043756317	31.559864	31.2308	-7.7486035e-09	-0.008809544	4.777908e-07	-0.014138101	1124.1313	-94.76965	24813.24	-608.7246	0	0	79.0	0.6038082	0.0032386947	52000	48.3370246887207
13	243.6875	105.19014	500.0	84.0	276.86087	259.68762	641.30597	0.6060701	243.6875	19905.496	0.3554552873883929	42.5212	0.05424851	42.563915	41.909733	35.787884	0.03355449	35.855713	35.610695	-3.838539e-08	-0.005103573	2.8944016e-06	0.12206045	1202.6696	-90.87805	18236.67	-362.92188	0	0	79.0	0.6038541	0.0033290244	56000	52.38383388519287
14	257.6	79.44961	409.0	86.0	655.2047	319.25995	1349.0558	7.2024813	257.6	29744.014	0.4957335611979167	43.98599	4.002235	44.69109	-7.657519	38.676086	0.399449	38.830307	33.74686	2.592802e-08	-0.0052346755	8.049011e-07	-0.40628263	1098.5072	-83.141785	61516.73	-1700.7422	0	0	79.0	0.59410644	0.0050965357	60000	53.42041730880737
15	249.5625	59.391674	353.0	169.0	293.9604	177.58698	567.6308	17.803345	249.5625	34447.42	0.538240966796875	46.23436	3.1037717	46.679123	0.43648502	43.557404	0.030473998	43.58875	43.25877	1.3113022e-08	-0.003957925	1.3694763e-06	-0.004703964	952.9685	-58.589966	13062.692	-192.98047	0	0	79.0	0.5955461	0.003541737	64000	57.500932693481445
16	266.66666	89.80175	429.0	118.0	504.23282	274.98364	1256.0376	8.356081	266.66666	42010.914	0.617807559742647	48.323296	0.015295529	48.335587	48.222008	45.23739	0.008927233	45.256104	45.209953	1.1920929e-08	-0.0024564357	1.9226075e-06	-0.17671317	1027.3094	-56.647644	36409.24	-570.5508	0	0	79.0	0.5958335	0.006826559	68000	61.936638593673706
