Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.460526	7.372496	61.0	8.0	0.3843235	0.32410935	3.5837262	0.025043769	17.460526	87.643005	0.021910751342773437	-0.0066314247	0.22646905	0.5154871	-0.52389735	0.01016251	0.56690735	1.3574955	-1.4505806	-7.200241e-08	-0.020544272	1.66893e-08	-0.0007271522	146.76997	-21.785133	0.48859668	-0.39628586	0	0	7.0	0.6750116	0.017259842	4000	10.486369371414185
1	21.299465	10.821653	84.0	8.0	0.45148823	0.3964689	3.9503627	0.020536304	21.299465	172.23373	0.021529216766357422	1.1067978	0.19245562	2.0838668	0.4005343	0.2604515	0.03405046	0.5127096	0.104526006	-7.8678134e-08	-0.01085631	2.3841857e-09	0.00074245344	210.49362	-77.30759	0.12491836	-0.009491675	0	0	9.0	0.6916623	0.014428521	8000	18.928849697113037
2	24.99375	10.75552	59.0	10.0	0.40895787	0.33499718	1.9357524	0.029700855	24.99375	237.70032	0.01980835978190104	5.1277637	0.4897536	6.794004	2.3608315	0.2670476	0.1050887	0.6755624	-0.38153926	4.673004e-08	-0.0126512265	-1.9967556e-09	0.0006294217	153.97826	-62.926193	0.07805883	-0.016818266	0	0	79.0	0.68276024	0.0054057282	12000	24.78831195831299
3	32.917355	18.830513	105.0	9.0	0.5917588	0.92793804	8.955262	0.018881364	32.917355	309.8346	0.019364662170410156	10.285749	0.5299725	12.747983	7.146039	0.2336917	0.032213993	0.410551	0.10916508	5.5909158e-08	-0.015722778	4.708767e-09	0.003715049	248.17453	-62.799713	0.83444756	-0.19421655	0	0	79.0	0.6726898	0.005066779	16000	32.69250154495239
4	39.95	24.541548	108.0	9.0	2.7949915	20.875673	210.25426	0.0652525	39.95	589.3825	0.02946912536621094	14.767362	2.120373	18.059649	-7.2327375	0.33248597	0.54859096	2.4956028	-2.9310656	-2.4914742e-08	-0.014282819	2.002716e-08	0.04218681	297.9942	-48.090073	448.95496	-52.31143	0	0	79.0	0.6598059	0.0047096666	20000	39.962059020996094
5	60.584614	29.954782	136.0	20.0	3.8901083	9.610641	66.65842	0.086332254	60.584614	842.63605	0.03510983530680339	19.02027	0.95323086	21.015846	10.7010145	2.34466	3.4935586	11.459132	-11.041985	7.1525574e-10	-0.013907566	6.7949294e-08	0.01580655	426.56644	-69.448944	76.565796	-21.360054	0	0	79.0	0.6440847	0.004474624	24000	47.49719595909119
6	77.5098	42.294193	220.0	12.0	83.5071	186.28181	727.0045	0.04804435	77.5098	5102.1836	0.18222084263392857	22.113308	3.336862	24.287073	-5.181626	2.9000196	1.4564152	7.544189	-3.5767732	-3.6120415e-08	-0.012849036	2.2611619e-06	0.3125109	604.3032	-91.08545	20681.656	-1354.1406	0	0	79.0	0.63332874	0.004780095	28000	53.86629343032837
7	108.30556	60.820236	234.0	13.0	113.219055	190.77486	621.8205	0.025945075	108.30556	9179.393	0.28685601806640626	26.313194	2.1738386	27.250717	-0.60225296	14.344805	0.80735534	15.823392	9.322083	-7.101893e-08	-0.012237394	1.4219285e-06	0.084606685	924.10236	-126.44025	16484.393	-780.0488	0	0	79.0	0.6149344	0.0032333022	32000	63.06321740150452
8	165.54167	48.706585	302.0	50.0	296.04807	280.6301	915.2485	0.483618	165.54167	16284.986	0.45236073133680554	29.37771	3.661548	30.52081	-9.119795	20.994688	0.17620124	21.24325	19.512396	-4.6253206e-08	-0.0059683635	4.188538e-06	0.08064103	1086.9482	-141.82458	35743.11	-1139.9258	0	0	79.0	0.61977553	0.0031533088	36000	73.45979595184326
9	207.73685	118.62007	500.0	19.0	228.67172	264.05023	798.40076	0.13027911	207.73685	20630.482	0.515762060546875	32.6975	3.291277	33.62489	0.19348377	26.109304	0.053917088	26.211979	25.722826	-1.8715859e-08	-0.008079956	-3.914833e-07	-0.03207793	1529.7686	-175.12451	19765.332	-283.11133	0	0	79.0	0.6064066	0.0039667147	40000	78.49555826187134
