Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.571428	7.141904	36.0	10.0	0.37590364	0.31112	1.4348276	0.052123662	18.571428	8.1894455	0.020473614	-0.05198307	0.17087755	0.38919014	-0.39214367	0.042989172	0.14294982	0.3244983	-0.29669777	-5.2113794e-08	-0.00821018	-8.940697e-09	-0.0016164117	149.1647	-17.32808	0.08705631	-0.04987563	0.84999996	-0.025725603	33.0	0.6858705	0.012783225	400	0.9617471694946289
1	17.952381	6.027526	30.0	8.0	0.43588758	0.21971571	0.95788115	0.11801037	17.952381	17.569286	0.021961607	0.055675104	1.6448766	4.3800178	-3.657706	0.19310293	0.05461292	0.32591033	-0.0049840407	-1.4112827e-08	-0.007969069	-2.30968e-09	7.430106e-05	129.1915	-44.276306	0.031448722	-0.0058937334	0.82427436	-0.021083593	9.0	0.6799568	0.016666	800	1.3662760257720947
2	25.0	14.2521925	54.0	9.0	0.75178224	0.9360838	3.7437925	0.12920721	25.0	29.59779	0.024664825	2.9623597	0.49040088	4.053399	1.4771801	0.22497673	0.087612875	0.35644755	-0.02297841	6.112011e-09	-0.0063668746	-1.1138618e-08	-0.0013899769	252.4641	-113.779465	0.93910605	-0.504875	0.80319077	-0.0204463	9.0	0.68058443	0.014020315	1200	1.7715435028076172
3	31.166666	19.195631	87.0	16.0	0.5089035	0.37123185	1.3192996	0.082070746	31.166666	35.835545	0.022397215	8.269149	1.629919	11.4392	3.7693331	0.5695559	0.4103048	2.0671499	-0.2761828	4.9758754e-08	-0.006636496	-8.9406965e-10	0.0015023595	269.99057	-81.17732	0.17967324	-0.11833895	0.78274447	-0.021054745	15.0	0.669844	0.012686002	1600	2.250685453414917
4	42.555557	15.826217	66.0	13.0	0.8349122	0.92311674	3.26347	0.091246165	42.555557	43.408356	0.021704178	13.007014	2.0871603	16.659275	4.737868	0.24186005	0.15120496	0.7183806	-0.1559676	3.4463966e-08	-0.006789402	-1.4975667e-08	-0.00051190815	196.86714	-47.247955	0.67061615	-0.2728652	0.7616897	-0.021583676	24.0	0.6457402	0.012420408	2000	2.827885866165161
5	54.57143	17.095173	81.0	35.0	1.1455523	1.1027379	3.462755	0.040789757	54.57143	51.52571	0.021469045	17.31971	1.6588303	19.336561	11.063856	0.3869117	0.3334457	1.128316	-0.9006373	1.962247e-08	-0.0072491113	-7.823109e-09	-0.0019649528	240.61243	-39.775223	0.69046557	-0.35908458	0.74010605	-0.026140451	79.0	0.6225393	0.0041417927	2400	3.582641839981079
6	44.125	9.319838	55.0	25.0	0.72207826	0.58743656	1.7653948	0.021760656	44.125	57.37846	0.020492308	19.932383	1.7336943	21.930738	11.557769	0.5351725	0.31757125	1.3690828	-0.0749134	-1.5129126e-08	-0.006428332	-7.934869e-09	0.0057876077	141.82146	-13.069733	0.30836284	-0.1441352	0.7139656	-0.035542786	79.0	0.6328645	0.004696161	2800	4.305291414260864
7	59.333332	20.989414	81.0	32.0	1.227029	1.0112075	3.0150957	0.15730308	59.333332	64.902306	0.02028197	22.209324	0.4788475	22.878342	20.63769	0.41300368	0.07985981	0.5356489	0.12490284	-2.2774236e-08	-0.005143626	-4.5076014e-09	-0.0008323332	277.53748	-23.770325	0.6108745	-0.23788124	0.6784228	-0.019665241	79.0	0.6381009	0.0046923463	3200	5.056581735610962
8	60.833332	32.554653	109.0	18.0	1.8358468	2.3857872	6.9778557	0.046767805	60.833332	75.931206	0.021092001	22.83904	3.8246493	24.59669	-5.1523967	0.692559	0.30357292	1.3575151	-0.38066298	2.071393e-08	-0.011726296	1.4156103e-08	-0.033923082	341.08353	-37.827362	3.0109496	-1.9294021	0.65875757	-0.013563633	14.0	0.6113772	0.014126854	3600	5.590346813201904
9	47.875	16.609015	73.0	25.0	0.5084635	0.3307814	1.2261243	0.16791646	47.875	80.01449	0.020003622	25.654055	1.5805719	26.73061	14.125968	1.6552331	0.7636418	3.3821788	-0.5450787	1.2258864e-08	-0.006808624	3.576279e-08	0.013025287	165.09898	-29.288849	2.5503113	-2.4526246	0.64519393	-0.03156227	79.0	0.6242761	0.004809296	4000	6.290140628814697
