Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,18.666666,5.8009305,29.0,10.0,0.34642088,0.16518576,0.8618578,0.087358266,18.666666,7.4076624,0.018519156,-0.10957245,0.15142761,0.33364964,-0.42556694,0.08162822,0.12859069,0.3253315,-0.31918612,-4.5895575e-08,-0.011561284,-1.7881393e-09,0.004748853,135.81488,-20.14624,0.0515213,-0.036233827,0,0,79.0,0.6857355,0.008567354,400,1.3333334922790527,0,0.0
1,20.157894,9.432659,36.0,9.0,0.27608535,0.21917635,1.0223138,0.05429591,20.157894,12.898058,0.016122572,1.3546234,1.6011525,4.8608804,-3.0740159,0.19419128,0.036588397,0.30511653,0.07238555,-1.1920929e-07,-0.014769247,-1.6391277e-09,-0.001005759,175.79585,-40.873566,0.021273632,-0.005840212,0,0,7.0,0.67324394,0.01924196,800,1.895825147628784,0,0.0
2,24.333334,10.163115,45.0,12.0,0.31627646,0.19591202,0.6939127,0.03254467,24.333334,18.114773,0.015095644,3.0062897,2.0986595,7.584345,-2.5752313,0.13896817,0.08077047,0.38165522,-0.011104443,2.6226044e-08,-0.007635028,7.4505807e-10,0.000102443104,205.82938,-94.90596,0.025273122,-0.0073254816,0,0,9.0,0.68150955,0.013286593,1200,2.401286125183105,0,0.0
3,40.666668,14.98147,62.0,16.0,0.5065874,0.31581524,0.9681635,0.099585086,40.666668,22.83094,0.014269338,8.265298,0.2552495,8.735958,7.412249,0.17333473,0.047533907,0.2815505,0.06829645,-6.973743e-08,-0.010173508,-3.5762786e-09,-0.0013396357,281.28592,-114.79372,0.03782651,-0.011237539,0,0,56.0,0.669363,0.012045424,1600,2.963479995727539,0,0.0
4,29.76923,22.00753,100.0,9.0,0.6039923,0.9908433,3.9249117,0.13364282,29.76923,30.908964,0.015454482,14.27536,0.7127618,15.21763,10.518383,0.16622114,0.13222282,0.41176268,-0.22769928,2.9802323e-09,-0.018206367,8.1956386e-10,0.005987077,252.93465,-23.979446,0.8243625,-0.4787225,0,0,11.0,0.66659045,0.014361831,2000,3.417973756790161,0,0.0
5,32.833332,15.517911,75.0,21.0,0.41159725,0.33023632,1.0071294,0.051017094,32.833332,35.921288,0.014967203,16.685453,1.7715228,18.69893,7.822031,0.51795506,0.5779083,2.3304496,-0.68015325,1.1920929e-09,-0.015787976,-2.9802322e-10,0.003618468,147.55832,-2.0075226,0.47174272,-0.41896743,0,0,79.0,0.629715,0.0047567124,2400,3.99483323097229,0,0.0
6,43.11111,23.9789,82.0,14.0,0.7449494,1.0128865,3.4216027,0.06634058,43.11111,42.820374,0.015292991,17.584549,0.9876951,19.158756,13.208981,0.27963084,0.15599814,0.97132504,-0.048426695,-1.7881394e-08,-0.01385444,1.4156103e-08,0.00477441,254.72893,-25.05455,0.7422719,-0.2569336,0,0,79.0,0.6259271,0.0037383945,2800,4.563043594360352,0,0.0
7,50.0,9.526279,71.0,40.0,0.5386082,0.31224188,1.0094787,0.06301791,50.0,47.129272,0.014727898,19.442377,1.011063,20.724733,15.4242,0.21628392,0.39825144,1.2197502,-0.82423097,1.9967556e-08,-0.0069736997,-9.0897085e-09,0.0002728225,145.9879,-29.955956,0.21691427,-0.16544306,0,0,79.0,0.62829375,0.0030698616,3200,5.134799242019653,0,0.0
8,65.5,21.461206,103.0,39.0,1.9610085,1.4412559,4.4288793,0.1356661,65.5,59.098145,0.016416151,16.765347,5.3980904,22.085783,-5.1709695,0.1787484,0.056789495,0.2825706,0.03462483,-3.5464765e-08,-0.012237939,-2.346933e-08,0.007970884,314.63046,-95.486984,1.9056766,-1.2381542,0,0,79.0,0.62161994,0.006270307,3600,5.73292350769043,0,0.0
9,67.4,32.364178,121.0,36.0,5.786453,11.032102,27.844435,0.01608761,67.4,88.4204,0.022105101,24.710562,1.4410228,25.976719,12.391536,1.0931021,0.33742023,1.7945668,0.2986768,4.4107438e-08,-0.020015582,-6.139278e-08,-0.009182604,386.8764,-53.369995,64.952415,-45.81875,0,0,79.0,0.61887175,0.008567623,4000,6.252959489822388,0,0.0
10,97.0,13.140269,112.0,80.0,8.502871,2.655721,12.206101,6.1091833,97.0,125.999596,0.028636271,19.227703,16.45839,28.466013,-27.841236,2.7482245,7.142079,13.528055,-12.33791,-1.1920929e-08,-0.012209613,1.16825106e-07,0.0993774,430.26572,-132.2002,51.183926,-40.794815,0,0,15.0,0.63008285,0.014964292,4400,6.831243991851807,0,0.0
11,78.25,53.950787,141.0,13.0,7.542414,7.135806,17.27905,0.40029776,78.25,156.34515,0.032571908,30.457817,0.20852615,30.740885,29.874704,4.4730077,0.98858064,6.683008,3.1279335,2.682209e-08,-0.014291868,1.2069941e-08,0.010953521,614.1997,-62.87793,9.750509,-2.649664,0,0,48.0,0.6526307,0.011848783,4800,7.279759883880615,0,0.0
12,107.666664,51.693542,156.0,36.0,3.1387742,2.8189983,6.9192004,0.15247247,107.666664,172.83507,0.033237513,32.91134,1.2588999,33.435345,26.634768,4.7395153,2.048698,7.82439,-1.3145899,-6.556511e-09,-0.014959591,-4.7683715e-09,0.02294454,602.83484,-83.32361,10.986366,-5.2349625,0,0,79.0,0.62705857,0.0082617905,5200,7.798436641693115,0,0.0
13,68.2,31.59367,112.0,25.0,2.9679463,2.7613277,7.1372075,0.16346386,68.2,188.49615,0.033660028,35.904842,0.26743898,36.13125,34.406612,3.982777,1.3116233,7.693944,1.0470526,1.1324882e-08,-0.018061794,3.8146972e-08,0.02511239,351.85782,-0.5142212,7.758628,-3.649787,0,0,79.0,0.62917405,0.006520301,5600,8.391390323638916,0,0.0
14,88.25,40.43745,146.0,46.0,18.945702,22.446701,55.867123,0.71845627,88.25,266.52356,0.044420592,29.559492,15.546956,36.145313,-22.871271,1.6576618,1.4289052,5.136595,-0.8234571,-1.1920929e-08,-0.0146657415,1.6212464e-07,0.09414551,543.9063,-161.14304,283.69153,-159.0073,0,0,79.0,0.6344711,0.005256662,6000,9.113208532333374,0,0.0
15,123.333336,71.72788,178.0,22.0,3.3454123,2.8217525,7.000958,0.13157643,123.333336,277.21738,0.043315217,36.36529,2.0647392,36.986584,10.370304,10.414625,1.2284356,13.037689,7.5270267,-2.9802323e-09,-0.016516495,-1.0311604e-07,0.039354146,721.9455,-76.04675,71.552864,-60.432323,0,0,79.0,0.6100546,0.004820177,6400,9.86525297164917,0,0.0
16,68.666664,32.52008,103.0,25.0,0.70551425,0.3605267,1.1616633,0.28017008,68.666664,281.32803,0.04137177,39.381695,0.1953525,39.56125,37.831116,4.198666,1.1155015,6.7244086,-0.48329926,1.4603138e-08,-0.01706089,3.7550926e-08,0.01134194,858.58954,-54.008667,9.648528,-7.3096037,0,0,79.0,0.5949255,0.004950158,6800,10.542296409606934,0,0.0
17,110.0,11.7756815,122.0,94.0,8.895301,5.3923287,12.854902,1.2713003,110.0,312.22964,0.04336523,39.938164,6.741462,41.89014,-19.678698,2.1359332,1.8507063,6.351602,-3.1946976,-4.0233137e-09,-0.01804193,4.172325e-09,0.0072266324,311.6412,-16.681366,18.434877,-7.4676485,0,0,79.0,0.6109743,0.008928115,7200,11.274834156036375,0,0.0
18,188.0,55.0,243.0,133.0,9.612028,0.10421419,9.716242,9.507813,188.0,331.53122,0.043622527,39.21312,12.147835,42.70979,-36.940323,3.369776,1.0885073,5.7765536,0.89873093,5.90086e-08,-0.018179372,-1.9744038e-09,-0.0054838276,745.2887,-105.17206,2.8842835,-0.4515233,0,0,79.0,0.6069156,0.0061479593,7600,11.961095809936523,0,0.0
19,105.0,0.0,105.0,105.0,27.713812,0.0,27.713812,27.713812,105.0,360.81845,0.045102306,45.000072,0.20316151,45.210594,43.899498,4.0809016,0.9538176,5.6912684,1.1503675,6.973743e-08,-0.012431588,1.66893e-08,-0.027702462,1272.0718,-174.47644,44.025856,-11.971043,0,0,79.0,0.6101061,0.005034399,8000,12.64504075050354,0,0.0
20,125.5,6.5,132.0,119.0,21.797937,17.595083,39.39302,4.2028527,125.5,406.48105,0.0483906,46.05349,6.814083,48.74845,12.664098,4.5300636,1.3583795,7.5504127,1.7001171,-3.8743018e-08,-0.022691797,-1.1920929e-08,0.02550833,456.28485,-37.60208,113.4207,-40.05591,0,0,79.0,0.61016715,0.0065632584,8400,13.40281629562378,0,0.0
21,227.0,0.0,227.0,227.0,14.364276,0.0,14.364276,14.364276,227.0,425.2805,0.048327327,47.514572,6.277533,50.153755,13.708416,7.261585,1.2040706,10.512752,3.8177285,4.4703485e-09,-0.015435115,-2.9206277e-08,0.020889284,672.8858,-121.11731,7.061857,-3.316434,0,0,10.0,0.6241253,0.013698301,8800,13.909346342086792,0,0.0
22,144.5,55.5,200.0,89.0,3.5981128,2.36446,5.962573,1.2336527,144.5,434.5037,0.04722866,52.603622,0.15978181,52.728348,51.759804,5.0914865,1.131137,6.7530518,0.9613373,-6.6310166e-09,-0.005800981,3.606081e-08,-0.00046871378,563.72095,-4.609497,11.376016,-8.276964,0,0,79.0,0.60058516,0.0054079606,9200,14.615835905075071,0,0.0
23,126.333336,32.29379,167.0,88.0,3.4053595,1.687314,4.8369894,1.0362542,126.333336,444.96353,0.046350367,53.267906,0.12814556,53.36589,52.643276,2.7561862,0.67103314,4.3227262,1.4328549,-1.0430813e-08,-0.014719451,3.5762786e-09,0.01879032,518.527,-39.082367,3.9383924,-2.2303329,0,0,79.0,0.5948595,0.007226137,9600,14.40530562400818,0,0.0
24,154.5,99.5,254.0,55.0,3.2990737,2.4122667,5.7113404,0.88680714,154.5,454.1424,0.04541424,50.758125,7.1810493,52.51498,4.770714,2.2725966,0.82785946,4.1039395,-0.68290746,3.2782555e-08,-0.015668053,1.37090685e-08,0.0035817234,632.04346,-27.788818,2.483035,-1.4876136,0,0,79.0,0.59539413,0.0065723546,10000,15.207308292388916,0,0.0
