Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.663717	7.3600345	43.0	8.0	0.0	0.0	0.0	0.0	17.663717	0.0	0.0	0.0067084273	0.22411025	0.51555943	-0.5143567	-0.019020466	0.5658913	1.4155796	-1.3567564	1.2516975e-08	-0.019340083	-2.0861626e-09	-0.0024428123	146.87794	-103.6526	0.32021144	-0.3180402	0	0	7.0	0.67539793	0.017284187	4000	3.688506841659546
1	20.37245	9.528103	62.0	9.0	0.0	0.0	0.0	0.0	20.37245	0.0	0.0	9.037426	0.45619348	10.020841	6.5355854	0.0021405714	0.008263956	0.047371678	-0.05537384	1.168251e-08	-0.011460328	2.6077033e-11	-3.997944e-06	72.360535	-26.59853	7.2874784e-05	-3.9578124e-05	0	0	9.0	0.69185525	0.01473631	8000	7.071850538253784
2	27.42069	15.094492	95.0	9.0	0.0	0.0	0.0	0.0	27.42069	0.0	0.0	12.362301	3.1851282	17.589294	1.2716169	-0.00063618633	0.005083481	0.026163276	-0.025956552	-2.6226044e-09	-0.019500906	-2.3283065e-11	1.8070723e-05	125.66448	-26.248772	2.6182119e-05	-1.3310902e-05	0	0	13.0	0.6825063	0.015503273	12000	10.49558138847351
3	32.900826	16.65171	104.0	9.0	0.0	0.0	0.0	0.0	32.900826	0.0	0.0	16.71827	4.325768	21.30759	-0.31256074	0.00039274246	0.003043969	0.022360127	-0.018265985	1.0490417e-08	-0.01864378	-1.2572855e-11	-3.3209614e-07	123.65847	-34.23739	9.4280895e-06	-3.8614135e-06	0	0	17.0	0.6595055	0.014149332	16000	13.941031455993652
4	47.81928	24.599024	137.0	16.0	0.0	0.0	0.0	0.0	47.81928	0.0	0.0	19.005833	5.59863	24.851349	-0.50154054	-0.00016916716	0.0022457049	0.022463338	-0.014238563	-4.529953e-09	-0.016216042	-1.7229468e-11	-3.3508604e-06	203.04935	-77.82766	5.1721277e-06	-2.302501e-06	0	0	79.0	0.6323608	0.008809885	20000	17.72075867652893
5	61.5	32.052204	172.0	13.0	0.0	0.0	0.0	0.0	61.5	0.0	0.0	21.846598	10.780939	34.052597	-2.3228366	0.00018960769	0.0026345097	0.025314206	-0.030640991	2.169609e-08	-0.021632414	4.1909514e-12	7.3560204e-06	250.53577	-81.364044	6.988934e-06	-1.4919037e-06	0	0	20.0	0.62163424	0.013607662	24000	19.110729217529297
6	106.89189	58.67629	344.0	22.0	441.48502	1246.6104	5018.4604	0.0	106.89189	16334.945	0.5833909040178571	29.807417	12.5332	40.82476	0.44308823	0.0004518628	0.015358036	0.14955507	-0.12195061	-7.390976e-09	-0.015484196	9.868621e-06	9.414826	531.3465	-209.6083	709103.1	-17337.0	0	0	11.0	0.6110182	0.014962152	28000	22.508978366851807
7	158.0	75.8393	429.0	28.0	3228.1672	4431.338	18368.336	0.0	158.0	97039.125	3.03247265625	40.68733	12.718462	51.2011	2.84588	29.507595	0.11052441	29.64421	28.847666	-2.2053719e-08	-0.013521826	-1.2504578e-05	5.843867	628.275	-259.58658	7540793.0	-57736.0	0	0	79.0	0.60672647	0.009027724	32000	26.288376808166504
8	255.4	57.851303	377.0	151.0	7121.492	2268.6697	10507.14	1851.3373	255.4	203864.8	5.662911024305555	48.451344	14.216883	59.974266	1.6531866	47.215397	0.00418089	47.22227	47.18701	-2.387166e-08	-0.0065243524	-2.2399903e-05	0.79620624	453.98257	-297.154	8723342.0	-61031.0	0	0	8.0	0.59646314	0.01440221	36000	29.696141719818115
9	198.4	143.4937	500.0	25.0	1815.6891	3594.505	13569.41	0.0	198.4	240178.58	6.004464453125	65.80075	11.537246	70.75553	5.3769455	60.319492	0.0016336878	60.322132	60.306087	-8.106232e-09	-0.00987206	3.6849976e-06	-0.7644369	672.53876	-40.321777	3181343.2	-7409.5	0	0	79.0	0.5912004	0.0030707885	40000	33.5517418384552
10	343.54544	141.37273	500.0	147.0	2965.87	5019.3774	13838.421	0.0	343.54544	272803.16	6.200071732954545	65.29699	11.079375	71.15146	14.042737	65.00263	0.00092739	65.00459	64.99885	2.7894973e-08	-0.007737077	-2.2338867e-05	0.5353918	590.8831	-113.742676	3534326.2	-5395.0	0	0	79.0	0.5778954	0.0028552813	44000	37.561562299728394
11	443.125	110.25248	500.0	157.0	9256.971	11545.1875	28499.16	0.0	443.125	346858.9	7.226227213541667	64.5312	17.326254	76.32678	10.586847	68.70927	0.0015182296	68.71106	68.70255	2.336502e-08	-0.0050590364	7.368469e-05	3.9659326	724.64465	-282.90656	13013508.0	-27146.0	0	0	25.0	0.57767165	0.012422405	48000	41.00128173828125
12	393.4	86.981834	500.0	248.0	11037.526	6682.502	22327.332	0.0	393.4	457234.2	8.792965144230768	72.61871	18.088892	82.06646	22.700972	76.528786	0.0029840136	76.53155	76.51328	6.556511e-09	-0.0045028436	2.1972657e-05	-14.621346	236.58998	-72.17108	15183602.0	-50836.0	0	0	7.0	0.5762382	0.015245403	52000	44.39788770675659
13	429.8889	132.22913	500.0	149.0	771.9895	2175.231	6924.437	0.0	429.8889	464182.1	8.288965959821429	81.709984	8.641214	85.78131	36.317604	86.59005	0.00025641485	86.59057	86.58874	1.0251999e-08	-0.0015797169	2.1190642e-06	0.066421345	598.94836	-119.64273	422994.94	-235.84375	0	0	79.0	0.5803694	0.0044788285	56000	48.195982217788696
14	476.25	52.117054	500.0	341.0	4.93343	8.809523	24.019278	0.0	476.25	464221.56	7.737026041666667	85.28821	4.174401	87.116554	55.276917	87.96897	0.00047515254	87.969734	87.96622	5.9604643e-10	-0.0016979562	9.918213e-07	0.01939088	588.7455	-98.92493	7346.351	-46.7583	0	0	79.0	0.5812462	0.0021052053	60000	49.9297661781311
15	500.0	0.0	500.0	500.0	3412.0083	6068.7275	16421.387	0.0	500.0	491517.62	7.679962890625	72.59761	16.89314	85.307076	14.533328	87.69371	0.00090376654	87.69474	87.68831	-3.8146974e-09	-0.0034252326	1.6643524e-05	0.48926115	467.20007	-98.47467	3259139.8	-2598.5	0	0	79.0	0.57261324	0.0053674164	64000	53.744444608688354
16	447.75	121.45447	500.0	129.0	0.0	0.0	0.0	0.0	447.75	491517.62	7.228200367647059	85.71581	6.248784	88.665634	58.318935	89.92075	0.00021508544	89.92119	89.919525	-1.4185906e-08	-0.0037805429	-1.4247894e-06	0.050193906	531.771	-69.4198	7791.028	-11.168457	0	0	79.0	0.5631494	0.0025377132	68000	57.56182599067688
17	500.0	0.0	500.0	500.0	266.40707	704.84686	2131.2566	0.0	500.0	493648.88	6.856234375	78.799355	12.421687	88.06209	24.20483	89.85723	0.00017311305	89.85758	89.85629	9.536744e-10	-0.0014233589	-2.2888183e-07	-0.21802431	439.634	-170.40076	51189.688	-14.8203125	0	0	79.0	0.561439	0.003074705	72000	61.39564037322998
18	493.375	17.528103	500.0	447.0	6409.759	10408.749	28681.555	0.0	493.375	544926.94	7.170091282894737	57.778908	19.165989	89.595924	24.361301	89.65225	0.00013502596	89.65259	89.651474	-3.9100648e-08	-0.0068207923	-8.044433e-05	1.0004659	943.7061	-550.57245	9388104.0	-11864.0	0	0	79.0	0.5472642	0.008826977	76000	65.25512146949768
19	422.33334	76.87508	500.0	264.0	14199.059	8225.908	23168.12	0.0	422.33334	672800.3	8.41000390625	64.75593	35.18663	92.25926	-17.228554	94.74264	0.0010908926	94.743614	94.73838	9.000301e-09	-0.004958862	9.530639e-05	2.2211413	644.02954	-451.47662	22298634.0	-70800.0	0	0	79.0	0.54333997	0.0066321893	80000	69.09763360023499
20	487.25	20.265427	500.0	444.0	8769.926	8955.232	21512.541	0.0	487.25	742959.75	8.844758928571428	80.15111	16.189123	91.39244	30.488888	106.531235	0.000505886	106.53173	106.528114	9.864569e-09	-0.0013993202	0.00011436462	-2.5898986	429.3386	-136.22134	11243125.0	-21575.0	0	0	79.0	0.54877955	0.0030410523	84000	73.0470142364502
21	481.625	40.93879	500.0	375.0	4797.6562	6037.405	15781.384	0.0	481.625	781341.0	8.878875	78.212105	12.651726	90.91643	28.275581	113.19569	5.916299e-05	113.19584	113.19536	-1.2159347e-08	-0.001410325	-4.0298462e-05	0.24092066	367.04587	-49.595917	4587860.5	-5783.5	0	0	79.0	0.5580442	0.0028958316	88000	76.84455370903015
22	478.5	41.14608	500.0	379.0	6000.384	8490.84	20572.918	0.0	478.5	829344.06	9.014609375	85.537735	12.834362	90.549995	31.80814	116.66809	0.0001954939	116.66832	116.66674	-2.3841857e-09	-0.0014413786	3.3607485e-05	3.472392	422.13092	-63.486145	7581587.5	-8521.5	0	0	79.0	0.56559604	0.0032038742	92000	78.53688788414001
23	488.125	22.98063	500.0	432.0	7994.4683	10150.94	26412.268	0.0	488.125	893299.8	9.305206380208332	76.46861	16.462809	88.39418	25.218185	120.68394	0.00012468068	120.68416	120.68324	-2.9802323e-09	-0.001902956	6.526184e-05	0.9404832	384.306	-81.65527	10917894.0	-15797.0	0	0	79.0	0.5594757	0.0018639727	96000	82.35672354698181
24	500.0	0.0	500.0	500.0	3014.54	3979.5364	9465.412	0.0	500.0	917416.1	9.17416125	81.093185	11.871228	90.30865	31.943329	126.14536	6.7716945e-05	126.14551	126.14494	5.722046e-09	-0.0047574593	1.3355255e-05	-0.46030107	412.72473	-47.470306	1916568.9	-2152.5	0	0	79.0	0.5683911	0.0030363766	100000	86.3295419216156
