Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.124464	7.97781	74.0	8.0	0.0	0.0	0.0	0.0	17.124464	0.0	0.0	0.012232073	0.22694011	0.5037762	-0.5126109	-0.030172158	0.57081467	1.4241471	-1.3617432	-4.684925e-08	-0.009732315	5.9604643e-10	-0.0015812617	155.64684	-103.73352	0.32693258	-0.32434025	0.99999994	-0.03247392	7.0	0.67501307	0.01740998	4000	3.7447712421417236
1	21.24468	11.150027	74.0	9.0	0.0	0.0	0.0	0.0	21.24468	0.0	0.0	8.963524	0.7909838	12.283513	5.766246	0.0019309573	0.008441587	0.062335942	-0.040604133	9.905223e-09	-0.006824642	5.960465e-11	2.9973879e-05	95.66515	-35.28899	7.4991316e-05	-3.854319e-05	0.967526	-0.032295585	9.0	0.69114625	0.015595398	8000	7.134066820144653
2	25.68387	12.300409	76.0	9.0	0.0	0.0	0.0	0.0	25.68387	0.0	0.0	12.884679	3.0789602	16.37566	1.2585937	0.00050914445	0.0051706797	0.03132638	-0.03137881	-1.1295218e-08	-0.011885656	-4.656613e-11	7.7651475e-06	76.78723	-13.804108	2.7071079e-05	-1.3244202e-05	0.93523043	-0.03224212	12.0	0.6817152	0.016015494	12000	10.58856749534607
3	33.542374	18.337996	107.0	10.0	0.0	0.0	0.0	0.0	33.542374	0.0	0.0	15.552054	4.4161644	20.940928	1.4314029	-2.7844459e-05	0.0035395292	0.025368908	-0.015857143	4.3613815e-09	-0.008516762	-4.9825758e-11	-1.3709958e-06	151.94057	-41.135155	1.2549257e-05	-7.36312e-06	0.9029883	-0.03212565	16.0	0.6582384	0.013611185	16000	14.08020567893982
4	43.086956	19.014097	105.0	14.0	0.0	0.0	0.0	0.0	43.086956	0.0	0.0	18.780384	6.3563175	26.598907	-0.2521457	9.533319e-05	0.002270135	0.026583437	-0.020435382	-1.7113061e-09	-0.009341457	1.9557774e-11	-4.631254e-06	127.63785	-39.25338	5.722285e-06	-1.4831271e-06	0.87086266	-0.03184831	20.0	0.6320113	0.0133134145	20000	17.558078289031982
5	54.575344	21.225414	121.0	19.0	0.0	0.0	0.0	0.0	54.575344	0.0	0.0	21.24245	9.494861	30.50546	0.21611188	-0.00013042486	0.0018512991	0.01576713	-0.021965249	-1.2896493e-09	-0.0117108775	1.4901162e-11	1.0925201e-05	122.95862	-29.352936	3.442334e-06	-6.491118e-07	0.83901435	-0.03206569	24.0	0.61120313	0.012802037	24000	21.054375171661377
6	86.5	47.315662	257.0	28.0	136.9843	648.9658	3660.4458	0.0	86.5	6301.278	0.22504563685825893	24.097933	11.4659605	36.47874	0.9399225	-0.0006240392	0.007431679	0.047044385	-0.07533055	-2.3110837e-07	-1.0700327	-5.1879886e-07	-2.4140353	511.42294	-256.0742	226355.08	-6449.6094	0.80694866	0.013391256	8.0	0.59415966	0.019227928	28000	22.803243160247803
7	66.5	30.792046	181.0	21.0	0.0	0.0	0.0	0.0	66.5	6301.278	0.19691493225097656	37.48268	13.800394	48.030136	1.4912945	19.588081	12.444136	27.496807	-26.853186	-1.862521e-07	-0.031679243	-3.9672852e-07	-0.09509475	218.9345	-99.75812	537.07935	-423.61334	0.8203399	0.013110578	21.0	0.59253716	0.01258699	32000	26.38048768043518
8	57.739132	20.446928	109.0	19.0	0.0	0.0	0.0	0.0	57.739132	6301.278	0.1750354953342014	31.325144	13.946499	46.09248	2.4797482	3.5063078	7.587689	21.632849	-21.93636	2.8658386e-08	-0.026768707	1.039505e-07	-0.08782588	84.23077	-31.398956	69.72489	-58.715855	0.8334505	0.010720372	63.0	0.5977843	0.012754811	36000	30.110063791275024
9	43.239132	18.293125	94.0	14.0	0.0	0.0	0.0	0.0	43.239132	6301.278	0.15753194580078125	26.840345	13.359773	43.22951	1.926387	-1.141697	3.190166	12.79788	-18.610353	-2.3617163e-08	-0.008007779	-5.939603e-08	0.00041821602	95.95353	-42.8209	11.502814	-5.6498623	0.84417087	0.0073426366	79.0	0.6123022	0.006792069	40000	34.02722525596619
