Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,16.940426000000002,6.448871,46.0,8.0,0.0,0.0,0.0,0.0,16.940426000000002,0.0,0.0,0.0031942914000000003,0.22993475,0.5153388,-0.5806668,-0.008262132,0.57476485,1.3612847,-1.4124111000000001,8.3901e-08,-0.010550601000000001,-4.351139e-09,-0.0012292656,128.93993,-93.31801999999999,0.33115712,-0.33001729999999996,0.59999996,-0.023054957,7.0,0.6744009,0.017233415,4000,3.7599830627441406,0,0.04855275443510738
1,22.060774,12.27951,88.0,9.0,0.0,0.0,0.0,0.0,22.060774,0.0,0.0,8.894713000000001,0.56985456,10.571174000000001,6.7579006999999995,0.0030636725,0.008658401,0.06252999,-0.057677273,-1.3645958999999999e-08,-0.008551496,-1.06170774e-10,-7.737227e-06,113.571526,-40.672509999999996,8.424091e-05,-5.0343744e-05,0.5769449999999999,-0.022741914,9.0,0.691505,0.014229041000000001,8000,7.1737234592437735,0,0.04855275443510738
2,25.056604,12.827960000000001,94.0,9.0,0.0,0.0,0.0,0.0,25.056604,0.0,0.0,13.055774000000001,3.3468837999999996,17.382496,0.45047125,-0.0007711422999999999,0.0051247035,0.030271983,-0.029343208,-2.086473e-08,-0.021986675,-5.5879355e-12,1.8327446e-05,87.14239,-13.0177765,2.6856869999999998e-05,-1.3696766e-05,0.5542031,-0.022296488,10.0,0.6821659000000001,0.014646023999999999,12000,10.597614288330078,0,0.04855275443510738
3,36.081818,18.246859,115.0,11.0,0.0,0.0,0.0,0.0,36.081818,0.0,0.0,15.482133,4.389429,21.343365,-1.0704056,0.00022024092,0.003208994,0.015570434,-0.024731997000000002,2.99629e-10,-0.01926548,-3.3527609999999996e-11,9.068141000000001e-06,156.62622,-39.852515999999994,1.036001e-05,-4.957681e-06,0.5319066,-0.0220294,13.0,0.66084474,0.015136268999999999,16000,14.037736654281616,0,0.04855275443510738
4,43.141304,19.617307999999998,107.0,11.0,0.0,0.0,0.0,0.0,43.141304,0.0,0.0,19.79103,5.965223,26.199848,-2.605219,2.9909551999999998e-05,0.002126829,0.014928316,-0.025349338,8.682311e-09,-0.019193474,-7.450581e-12,-3.803538e-06,140.9451,-47.071777000000004,4.53386e-06,-1.5785085000000001e-06,0.5098772,-0.02207309,20.0,0.6341686,0.013621282,20000,17.531676054000854,0,0.04855275443510738
5,57.7971,28.249190999999996,167.0,18.0,0.0,0.0,0.0,0.0,57.7971,0.0,0.0,22.196703,9.147072,30.575671999999997,-1.5454959,3.6000954000000004e-05,0.0014627724,0.013599371,-0.014168265,-2.0030467999999998e-08,-0.020654911,1.8626452e-12,3.5674776e-07,181.67291,-60.560393999999995,2.1435062000000004e-06,-3.6444340000000005e-07,0.4878041,-0.021605193999999998,23.0,0.6069954000000001,0.012741128000000001,24000,20.99220705032349,0,0.04855275443510738
6,73.62963,39.907436,237.0,21.0,0.35379959999999994,2.5757003,19.105179,0.0,73.62963,19.105179,0.0006823278154645647,25.686935000000002,13.090632000000001,38.904522,-0.05217561,-9.092431000000001e-05,0.0035679576000000003,0.033338875,-0.043514172999999996,-8.231327e-09,-0.018035365,1.7285346e-09,0.00020844226999999999,291.95566,-87.04549,4.3398695,-1.6409788,0.46619892,-0.020203292,18.0,0.5857896,0.013055655,28000,24.47285580635071,1,0.04855275443510738
7,114.2,63.838993,348.0,18.0,38.796043,58.59797,174.13815,0.0,114.2,1376.9667,0.04303020858764649,29.709406,15.253998999999999,46.456787,1.9060689999999998,0.8072981,2.5190563,9.372802,-8.441636,2.4728902e-08,-0.022175377000000003,3.0994414e-08,-0.032948263,564.2592,-275.90765,1835.9252,-698.41113,0.44599563,0.0019513965,8.0,0.5799441999999999,0.018048784,32000,25.247429609298703,12,0.04855275443510738
8,153.73077,68.70201,368.0,17.0,87.74074,95.71061,402.0395,0.0,153.73077,3658.2259999999997,0.10161739095052083,45.479186999999996,13.321735999999998,56.450630000000004,8.654739999999999,21.630423,14.020669,28.894651,-28.334934000000004,8.076461e-08,-0.013340586000000001,2.7942659999999996e-07,-0.041804403,496.94717,-125.76019,3336.1045,-853.553,0.44794703,0.009090483,6.0,0.589889,0.016366318,36000,28.642722606658936,15,0.04855275443510738
9,145.26923,90.73993,425.0,58.0,21.777414,37.614845,147.9114,0.0,145.26923,4224.439,0.10561097412109376,54.496159999999996,8.952970500000001,61.818493000000004,22.265495,32.498405,12.937583,41.50148,-28.160704,6.9800863e-09,-0.012952159,3.242493e-08,-0.05180517,573.8991,-122.670074,1109.549,-707.19385,0.4570375,0.010595977,18.0,0.58989733,0.0142730335,40000,32.10689568519592,8,0.04855275443510738
10,118.15151000000002,50.70779,265.0,25.0,60.029953000000006,116.40798999999998,585.15857,0.0,118.15151000000002,6205.4272,0.1410324374112216,47.14465,18.200596,65.411896,8.12877,9.056659,3.4541837999999996,19.71088,-1.7071279,-1.4094209e-07,-0.012108592,-4.59671e-07,-0.08058051,486.78225999999995,-192.90814,4934.264,-1603.0706,0.4676335,0.014137088999999999,13.0,0.58642435,0.014727772,44000,35.723620414733894,13,0.04855275443510738
11,100.23076999999999,39.55552,186.0,39.0,3.1804607000000003,9.579633,51.203873,0.0,100.23076999999999,6329.4653,0.13186386108398435,50.533688,11.551689,64.47816,12.975624,28.439390000000003,11.548511,45.535847,-25.327763,-3.1777959999999996e-08,-0.009340113,-9.1552735e-08,-0.011077578000000001,346.0832,-161.14941000000002,813.60504,-772.0874,0.48177058,0.014741212,26.0,0.59298396,0.012291986999999999,48000,39.583775997161865,3,0.04855275443510738
