Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.23276,7.072114,55.0,8.0,0.0,0.0,0.0,0.0,17.23276,0.0,0.0,0.0059030605000000005,0.22962764,0.5140888,-0.5394515999999999,-0.014338894,0.57595444,1.4910032,-1.3653431,-8.280213e-09,-0.011663162,-1.1920929e-09,-0.0027872253999999996,140.32951,-22.789429000000002,0.33197209999999994,-0.33157128,0.84999996,-0.020938336999999998,7.0,0.67454803,0.017710643,4000,3.742287635803223,0,0.005334914048606995
1,21.036842,10.727913000000001,63.0,8.0,0.0,0.0,0.0,0.0,21.036842,0.0,0.0,1.2199558000000001,0.14084879,1.6445102999999999,0.61032164,-0.0014051944,0.017229334,0.07195517400000001,-0.054232232000000005,-1.463975e-08,-0.0075079859999999995,-8.940697e-11,2.3936384e-05,204.71935,-77.7299,0.0002986955,-0.00021667781000000002,0.8290616,-0.021031797,9.0,0.69176185,0.014631277,8000,7.0954132080078125,0,0.005334914048606995
2,25.426752,13.212234,93.0,9.0,0.0,0.0,0.0,0.0,25.426752,0.0,0.0,5.366518,0.6192451,6.996786,3.4695654,-0.00018780012999999998,0.008445217,0.035861637,-0.031232099999999995,3.2833436e-09,-0.007925016,-2.9802324e-11,1.7847808e-05,195.80396000000002,-72.65855,7.136558e-05,-2.7238308e-05,0.80802983,-0.032648683,79.0,0.6823107,0.0057988567000000005,12000,10.810401678085327,0,0.005334914048606995
3,31.808000000000003,15.150812,97.0,11.0,0.0,0.0,0.0,0.0,31.808000000000003,0.0,0.0,10.710283,0.81779444,13.130251999999999,5.6403623,-3.9374798e-05,0.0064663067000000005,0.060202144000000006,-0.040511843,-2.0990148e-08,-0.0074041723,-9.313225999999999e-11,-1.8194224999999998e-05,175.99489,-37.71457,4.185778e-05,-1.5466809e-05,0.77538115,-0.020949423000000002,15.0,0.6732060999999999,0.013104108,16000,14.18438982963562,0,0.005334914048606995
4,44.177776,25.488811,141.0,13.0,0.01305662,0.123175904,1.1750958,0.0,44.177776,1.1750958,5.875478982925415e-05,14.937889000000002,0.6850506,16.953194,11.179142,0.0008552261,0.007427603499999999,0.06659148,-0.048778627000000005,3.198166e-08,-0.008550783000000001,4.2375178e-10,0.00020009448,343.0604,-68.02646,0.012547026999999999,-0.0019364497,0.7544316999999999,-0.03169316,79.0,0.65145165,0.004963812,20000,17.99736976623535,0,0.005334914048606995
5,57.36232,29.920654,137.0,19.0,3.7439253,22.016932,169.03607,0.0,57.36232,259.50595,0.010812747955322263,19.148647,1.8961959,21.608372,-1.0740256000000001,0.021704917999999997,0.057459652,0.37297958,-0.20908526,1.7897738000000002e-08,-0.04328034,4.0352343999999993e-08,-0.124555394,394.96082,-58.54425,359.5165,-61.220764,0.72273856,-0.01034826,10.0,0.6403364,0.018276207,24000,21.33371067047119,2,0.005334914048606995
6,53.33333199999999,25.921078,136.0,10.0,0.0,0.0,0.0,0.0,53.33333199999999,259.50595,0.009268069675990514,22.293371,2.8876908,24.209518,-12.879375999999999,2.7827094,3.1815925,12.051396,-11.012694999999999,4.4597264e-09,-0.003960995,1.4066696e-08,-0.0037239913,283.58493,-13.965667999999999,17.866001,-15.912867000000002,0.7123903,-0.0060216784,79.0,0.6328292,0.00470356,28000,25.00878119468689,0,0.005334914048606995
7,55.929577,28.9109,155.0,15.0,0.0,0.0,0.0,0.0,55.929577,259.50595,0.0081095609664917,23.521976000000002,3.0139565,25.438892000000003,-0.8840734,-0.26929790000000003,1.7213532,5.8137894,-6.5515094000000005,3.4269092e-09,-0.008413984000000001,-1.5854836000000003e-08,-0.004813892,309.49273999999997,-14.898499,3.0349047000000002,-2.1895862,0.7063686,-0.016038775,79.0,0.6208608,0.0057928185,32000,25.86547040939331,0,0.005334914048606995
8,60.39394,27.548788000000002,151.0,16.0,0.0,0.0,0.0,0.0,60.39394,259.50595,0.007208498636881509,25.659275,3.0039754000000003,26.740177000000003,-12.705062,0.060643677,0.898389,3.2794937999999996,-3.6214929,-2.7478553e-09,-0.006144189699999999,-5.6922436e-09,0.0022531305,304.17807,-7.9055176,0.8116446999999999,-0.40319774,0.69032985,-0.023692906,79.0,0.6251561,0.0035825047999999996,36000,29.57999587059021,0,0.005334914048606995
9,63.951614,29.948032,135.0,12.0,0.057905465,0.29361707,2.098233,0.0,63.951614,263.09607,0.006577401733398438,26.86325,3.6750197,27.638035,-22.122944,0.23341460000000003,0.83376956,3.4578567000000002,-3.2724732999999997,7.0096378e-09,-0.0058855819999999994,-3.5762787e-10,0.005771986999999999,327.45,-11.162415,0.85970616,-0.49598580000000003,0.66663694,-0.025286317000000003,79.0,0.6205339,0.006445632,40000,33.39871954917908,0,0.005334914048606995
