Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.606195,7.496887700000001,54.0,8.0,0.0,0.0,0.0,0.0,17.606195,0.0,0.0,0.008067411,0.22783181,0.511641,-0.5143186,-0.022502748,0.5722315,1.3534983,-1.4798414,7.891655e-08,-0.020089999,2.115965e-09,-0.0013921494,148.7738,-23.465239999999998,0.32901529999999996,-0.32717925,0,0,7.0,0.67504686,0.017408019,4000,3.645195722579956,0,0.12234494477485132
1,21.35829,10.6753235,84.0,8.0,0.0,0.0,0.0,0.0,21.35829,0.0,0.0,1.2277681,0.22099112,2.2767792,0.48594406,0.0024895832999999997,0.016539281,0.06746738,-0.053909927999999996,-9.894371e-09,-0.010400912,9.685755e-11,-2.4685445e-05,206.66872,-76.70311,0.0002798839,-0.00018649438000000002,0,0,9.0,0.69171786,0.013988415,8000,6.94465446472168,0,0.12234494477485132
2,26.357615999999997,12.66028,77.0,9.0,0.0,0.0,0.0,0.0,26.357615999999997,0.0,0.0,5.3904357,0.45363358,7.44245,3.7063447999999997,5.3482316e-05,0.008489693000000001,0.035150856,-0.03790564,4.351139e-09,-0.01239733,-1.899898e-10,7.856971e-06,189.85034,-73.54236999999999,7.2035924e-05,-2.6867925e-05,0,0,15.0,0.6833928000000001,0.012877472,12000,10.268756151199339,0,0.12234494477485132
3,32.471546000000004,15.762632,92.0,9.0,0.0,0.0,0.0,0.0,32.471546000000004,0.0,0.0,10.687292999999999,0.8902561999999999,13.911812,5.3792477,-6.249889e-05,0.006018796999999999,0.034757335,-0.027710216,1.2874603999999999e-08,-0.017506761000000003,-4.0978193e-11,-4.7360754e-06,189.50746,-43.46631,3.6221987e-05,-1.1486323e-05,0,0,79.0,0.66326565,0.0051455344,16000,13.96608853340149,0,0.12234494477485132
4,41.13402,25.715985999999997,179.0,11.0,0.0,0.0,0.0,0.0,41.13402,0.0,0.0,14.917501000000001,1.1936271999999999,17.690624,7.967802000000001,-0.00017574515,0.0056957933,0.030392297999999998,-0.032753903,-6.1631205e-08,-0.01573674,1.6763806e-11,-6.263684300000001e-07,339.62137,-52.99374399999999,3.2533982e-05,-1.31939705e-05,0,0,79.0,0.65447754,0.0049049794,20000,17.65722322463989,0,0.12234494477485132
5,57.405795999999995,33.317677,159.0,13.0,0.81544286,5.0576360000000005,38.80921,0.0,57.405795999999995,56.26556,0.002344398339589437,18.773582,2.2775269000000002,21.395742000000002,-1.5964863999999999,0.0004470718,0.0070515230000000005,0.07748907,-0.02687534,-4.1842461999999993e-08,-0.013978673,-3.886223e-08,0.010461179000000001,452.6194,-74.632935,17.97425,-4.0421124,0,0,79.0,0.64084256,0.004867187,24000,21.43489599227905,0,0.12234494477485132
6,94.21429,50.49825,261.0,21.0,3.4039989,11.756941000000001,55.022736,0.0,94.21429,199.2335,0.007115482330322265,21.801231,3.8387191,24.28719,-13.839873,0.23029947,2.3873154999999997,8.237864,-7.924011999999999,-3.9458275e-08,-0.010507194,1.9311904999999997e-08,0.012036587,820.448,-143.31378,67.84794000000001,-9.585148,0,0,79.0,0.63317984,0.00433891,28000,22.068583488464355,0,0.12234494477485132
7,106.75676000000001,48.160995,217.0,11.0,33.002390000000005,66.575745,249.56316,0.0,106.75676000000001,1420.3220000000001,0.04438506317138672,25.62282,4.975052400000001,27.741726,-15.833545,2.2502377,0.3077992,3.11089,0.7329604000000001,-4.9114227e-08,-0.013428678000000001,1.11103056e-07,0.14991364,740.5371,-97.18109,2023.2727,-328.1355,0,0,79.0,0.6202637,0.004241864000000001,32000,25.784176588058468,7,0.12234494477485132
8,178.45453999999998,76.548096,387.0,55.0,116.52102,142.32963999999998,440.37955,0.0,178.45453999999998,3983.7842,0.11066067165798613,29.468988,3.3446693,30.431877000000004,-11.371321,8.422006,6.4206953,17.849848,-13.231160999999998,-7.361174000000001e-08,-0.0070818006,-3.490448e-07,0.27387205,1338.5491,-170.95678999999998,7350.1753,-1124.5952,0,0,79.0,0.6203755,0.003717903,36000,29.405033111572266,9,0.12234494477485132
9,174.59091,93.83914,500.0,17.0,96.24763,152.57831000000002,447.3113,0.0,174.59091,6101.232,0.15253079833984376,33.359875,0.9481854999999999,33.695168,15.358089999999999,21.270970000000002,0.4610929,22.2166,18.176723000000003,4.2915345999999995e-08,-0.007721614599999999,2.040863e-07,0.16929807,1236.021,-122.34093999999999,6020.429,-140.85596,0,0,79.0,0.61031884,0.0019875662,40000,33.146790742874146,7,0.12234494477485132
