Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	16.851694	6.766007	50.0	8.0	0.04134552	0.040822007	0.32327804	0.001911203	16.851694	9.7842245	0.002446056127548218	-0.0053610513	0.23093382	0.54445934	-0.57135653	0.006436679	0.57941294	1.3591127	-1.3520713	5.531311e-08	-0.013588938	1.5497208e-09	-0.00050518883	133.38477	-19.934921	0.3408704	-0.3375772	0.0	0.0	0.018097194	-0.28980094	-0.027217114	0.018310638	0.0007262206	0.002470877	1.353168	0.0	3.0	0.0	0.0	0.6743488	0.004481197	4000	5.232638120651245
1	19.640394	10.688317	80.0	9.0	0.06543026	0.12321429	1.025882	0.0046647377	19.640394	23.071913	0.002883989095687866	1.0302762	0.31005013	1.7982767	0.16832976	0.040479627	0.015747799	0.110380195	-0.050461423	3.7670137e-08	-0.016462887	4.5448542e-10	0.00027656782	200.29404	-71.52811	0.018075624	-0.0016272236	0.0	0.0	0.019289467	-18.310877	-0.022126324	0.027047649	-0.00045531936	2.6722206e-05	1.644617	0.0	3.0	0.0	0.0	0.6884093	0.0045512985	8000	10.307231187820435
2	22.355932	10.181565	66.0	11.0	0.06716016	0.1243237	1.2949573	0.003592782	22.355932	35.29109	0.0029409240086873375	5.0142803	0.35910362	6.3770313	3.10257	0.07587001	0.014023818	0.1312048	0.024298672	-2.3126603e-08	-0.016517937	7.8231095e-11	0.0003988494	135.45195	-53.154556	0.016549084	-0.0004533995	0.0	0.0	0.013057417	-12.289933	-0.019361297	0.027574498	-0.0006651548	3.0476573e-05	1.660557	0.0	3.0	0.0	0.0	0.69256294	0.00463342	12000	12.681949853897095
3	26.117647	14.811205	86.0	9.0	0.11071407	0.36654472	4.164127	0.0013151249	26.117647	52.234585	0.0032646615505218506	9.84305	0.7056388	12.826469	4.508621	0.07069209	0.024365414	0.23013146	-0.09292842	-1.3113022e-09	-0.018348502	-2.682209e-10	0.0009762402	154.81432	-30.931068	0.13571396	-0.012224637	0.0	0.0	0.007687063	-1.7602524	-0.014905091	0.034533013	-0.0018355087	0.00012549723	1.858306	0.0	3.0	0.0	0.0	0.6879581	0.0041511315	16000	17.757295846939087
4	33.30252	20.564535	126.0	9.0	0.23315535	0.77198046	6.274301	0.0018292239	33.30252	80.00746	0.004000373077392578	13.667154	1.136974	16.572067	3.3280766	0.13942868	0.13204409	0.824704	-0.84041846	3.409386e-08	-0.016694846	-1.3113022e-09	0.001501766	234.7015	-34.014603	0.5600808	-0.03510201	0.0	0.0	0.009813592	-0.17068517	-0.008012746	0.029061493	-0.0026152416	0.00035533684	1.7047431	0.0	3.0	0.0	0.0	0.6794949	0.004189911	20000	22.5622456073761
5	42.12766	26.250124	134.0	10.0	9.745246	58.785004	451.2452	0.0029324666	42.12766	996.11426	0.0415047607421875	16.898386	2.230835	20.120848	-1.0143787	0.27620986	0.13383625	0.7885122	-0.3345897	1.2516975e-08	0.011056086	1.2254715e-07	-0.05591817	309.80975	-44.365753	3505.9663	-298.3291	0.17489363	0.0	0.02168126	-0.13731612	0.21945786	0.033866607	-0.0631168	0.32692793	0.0	0.17489363	0.0	0.0	0.0	0.66586334	0.0023852256	24000	27.367974996566772
6	32.186993	17.172651	104.0	9.0	0.1839514	0.6264315	5.202663	0.002115828	32.186993	1018.7786	0.03638495091029576	20.401373	2.264528	22.320042	3.984279	5.378368	2.5044708	13.299402	-7.6363645	-2.2649764e-09	-0.011801218	-1.3494491e-07	0.009633568	155.28166	-9.66478	32.98539	-21.721954	0.5570566	0.0	0.003655636	0.008153996	-0.009819141	0.028015498	-0.035669304	0.05222933	0.6695703	0.5570566	2.0	0.0	0.0	0.6672511	0.0041937013	28000	32.54969835281372
7	37.01852	20.873508	115.0	11.0	0.8257943	3.3898869	23.574814	0.0031696805	37.01852	1107.9644	0.034623886108398436	18.873829	4.1179214	22.430557	-2.2577085	1.4054997	3.5318778	10.11676	-12.881043	7.7486035e-09	-0.003434295	6.008148e-08	-0.008965721	174.95418	-12.080185	34.339664	-10.021097	1.0050188	0.0	0.012344054	0.008052032	0.008800846	0.033589322	-0.029064618	0.03976189	1.2381582	1.0050188	1.0	0.0	0.0	0.6541106	0.003454884	32000	37.484506130218506
8	39.455444	16.987198	93.0	11.0	0.13459712	0.2925802	2.3998792	0.0009884139	39.455444	1121.5618	0.031154493543836804	18.947561	4.914409	23.464638	-7.286867	2.2464046	1.6502087	8.105328	-6.275078	5.1259996e-09	-0.016293123	6.6757204e-09	0.0077404864	126.51387	-9.050278	7.4080324	-4.7373867	0.0	0.0	0.007288163	-0.00046867275	-0.009261153	0.027301	-0.012804822	0.008192915	1.6523014	0.0	3.0	0.0	0.0	0.64660573	0.0044541555	36000	42.06564545631409
9	46.162792	26.386158	173.0	13.0	0.5694838	2.0893896	15.650829	0.0026232454	46.162792	1170.5715	0.029264288330078124	19.648752	5.721388	24.307613	-10.775958	0.87614846	2.076074	9.136118	-8.475142	2.7418137e-08	-0.01121876	7.629395e-09	-0.001436929	253.57059	-19.797333	7.163892	-1.6803641	0.7476626	0.0	0.016302293	0.009903264	0.001505191	0.02666584	-0.015579468	0.023420535	1.2830251	0.7476626	1.0	0.0	0.0	0.6365825	0.0033820814	40000	44.651938676834106
