Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.732218	6.3551984	48.0	8.0	0.04129708	0.035474576	0.28425	0.0047751446	16.732218	9.87057	0.002467642545700073	0.012880554	0.23121133	0.5096377	-0.5107668	-0.03254302	0.58122855	1.4018393	-1.3510833	3.6249293e-08	-0.006546242	3.5762787e-10	-4.2463063e-05	126.29214	-21.384743	0.34360957	-0.3421293	0.84999996	-0.020932019	7.0	0.6741254	0.016579866	4000	5.096848249435425
1	21.315508	9.448534	57.0	9.0	0.055681646	0.07571848	0.83717847	0.005017231	21.315508	20.2904	0.0025362999439239504	1.2332522	0.2944869	1.9785342	-0.0007711295	0.03385938	0.021988882	0.10528606	-0.05351859	1.9104004e-08	-0.005951674	-1.2665988e-10	0.00036025923	182.46559	-73.95945	0.006713134	-0.0014469726	0.82906795	-0.021205544	10.0	0.691248	0.014561905	8000	9.937415599822998
2	27.369864	14.794951	82.0	9.0	0.11906249	0.50910056	5.676838	0.0033158215	27.369864	37.67386	0.003139488220214844	5.3930826	0.32014406	6.8601947	3.8818781	0.05013437	0.02442504	0.18776037	-0.09937036	8.5891445e-09	-0.0065020677	2.399087e-09	0.0010804457	234.12675	-91.12854	0.2575537	-0.05781865	0.8078624	-0.021897972	16.0	0.68272483	0.012347204	12000	11.740581035614014
3	34.885963	19.204695	110.0	12.0	0.18470766	0.7299212	7.5404263	0.0042801336	34.885963	58.7375	0.0036710937023162844	11.173516	0.83115506	14.990004	6.7543626	0.12910056	0.26923102	2.02197	-0.92638516	-2.3033863e-08	-0.0058880565	7.4505807e-10	0.00077724474	250.4225	-57.928085	0.48867813	-0.014983356	0.7859644	-0.030843794	79.0	0.6625321	0.0044379155	16000	16.904319047927856
4	41.195877	23.792332	158.0	12.0	0.6833824	4.499336	44.567886	0.0041365772	41.195877	125.026085	0.006251304244995117	15.740666	1.5823243	18.869085	6.3531384	0.26233655	0.3400127	1.9345169	-1.2439333	-4.0363286e-09	-0.0076869447	1.0430813e-08	-0.007936544	282.51102	-38.589035	15.943664	-3.5847301	0.75512064	-0.02007097	22.0	0.6539159	0.012374631	20000	21.602691888809204
5	49.873417	23.697659	142.0	9.0	0.4483156	1.2375385	8.789099	0.004069153	49.873417	160.60788	0.006691994984944661	18.909363	2.0802684	21.375698	1.2216154	0.5851609	1.5752337	8.233873	-5.753724	7.66874e-09	-0.00595792	8.046627e-09	-0.0040252768	287.69153	-30.509674	4.41169	-3.119731	0.73504966	-0.017289579	79.0	0.63212377	0.0064887996	24000	26.620158195495605
6	53.213333	26.909872	114.0	16.0	1.416964	3.417503	17.268732	0.0060223863	53.213333	266.88315	0.009531541006905692	21.355534	2.7219331	23.21408	-2.964235	0.28931716	0.55122066	1.5085375	-2.0690892	3.740931e-09	-0.005365894	2.7388335e-08	0.0034403063	308.79367	-22.973816	8.474581	-3.510738	0.7177601	-0.033230126	79.0	0.6189723	0.005181844	28000	31.68268132209778
7	64.5	35.130974	216.0	15.0	2.0861976	3.6305707	17.65612	0.0045122416	64.5	396.22818	0.012382130622863769	23.516844	2.24237	24.89483	-2.0773692	1.2550696	1.5447237	5.7461557	-3.5345793	1.4831609e-08	-0.0058962377	1.6689301e-09	-0.008499949	425.884	-38.061768	6.3137765	-0.9042287	0.68452996	-0.017701805	79.0	0.6161011	0.006130083	32000	36.76858162879944
8	81.104164	30.326172	149.0	30.0	1.3937103	1.8890911	10.786857	0.010534028	81.104164	463.2032	0.01286675516764323	26.365446	2.1013157	27.215904	-10.005013	1.6886587	0.7174078	4.2097855	-0.75114036	7.1490935e-10	-0.0033810998	-2.861023e-09	0.0064055244	434.6241	-41.31253	1.9926976	-0.67670345	0.66682816	-0.027857363	79.0	0.61866105	0.0025929427	36000	39.24405479431152
9	78.13725	29.63505	181.0	25.0	2.268984	2.165541	7.811262	0.01150283	78.13725	578.9283	0.014473207092285157	28.349989	4.7003884	29.658146	-22.849842	0.9418237	0.3411187	2.0224032	-0.1349581	-1.1989997e-08	-0.0034790738	7.748604e-10	0.0050591086	358.62643	-14.055817	2.1473186	-0.416574	0.6389708	-0.02368033	79.0	0.61429834	0.0023731017	40000	44.37546992301941
10	104.31579	55.668713	334.0	22.0	4.024535	3.6880648	17.971628	0.047754772	104.31579	731.87305	0.01663347833806818	30.122118	4.537102	31.08288	-27.364008	1.5542103	0.25585088	2.2748652	0.591837	2.9639512e-08	-0.0024829889	-1.4305115e-09	-0.0033967057	682.9563	-63.71765	5.521684	-0.6387024	0.61529046	-0.004281938	79.0	0.6039187	0.0034628413	44000	49.52651619911194
