Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.094017,7.0534987000000005,48.0,8.0,0.040704668,0.035148516,0.20404516,0.003117602,17.094017,9.524892,0.00238122296333313,0.005566749300000001,0.23010342,0.52873844,-0.5208491,-0.011186887,0.5765908000000001,1.3550346000000002,-1.41323,-2.2649764e-09,-0.015093781,4.7683715e-09,-0.00048315980000000004,137.53898999999998,-21.864548000000003,0.33685407,-0.33544147,0,0,7.0,0.67448133,0.017150417,4000,5.444437503814697,0,0.13344051446945338
1,21.202126999999997,10.930223,87.0,9.0,0.051248875,0.043216795,0.26326859999999996,0.0031959093,21.202126999999997,19.162046,0.0023952558040618893,1.1487585,0.20305339,1.8837049,-0.105390094,0.03391638,0.01657108,0.095125444,-0.036769163,-4.4107438e-08,-0.015204342,9.387732e-10,0.0001461534,214.3702,-77.78246999999999,0.0017610679000000001,-0.00018475240000000002,0,0,9.0,0.692036,0.015575968999999999,8000,7.655941963195801,0,0.13344051446945338
2,25.52564,11.737212,62.0,9.0,0.06477518,0.094799064,0.7107646,0.0032573233,25.52564,29.271340999999996,0.0024392784436543784,5.3169427,0.40604395,7.155352000000001,3.5612392,0.04193159,0.0095227165,0.07324961599999999,0.0018613825,-5.3048133e-08,-0.0111486865,4.3585895999999995e-10,0.00042209963,169.39446999999998,-66.535965,0.007623644000000001,-0.00028225733,0,0,16.0,0.6827873000000001,0.012419143999999998,12000,12.464181661605835,0,0.13344051446945338
3,34.198277000000004,17.230797,111.0,12.0,0.11153547,0.23600893,1.7460624,0.0014338329,34.198277000000004,42.211791999999996,0.002638236999511718,10.545016,0.45085895,11.821272,7.7042402999999995,0.05649212,0.0071717872999999994,0.079877175,0.0014614913,3.242493e-08,-0.013804698,1.3411043999999999e-10,0.00100017,228.73497000000003,-57.830902,0.04448667,-0.008411758,0,0,79.0,0.66326904,0.0048999605,16000,17.561172008514404,0,0.13344051446945338
4,40.469387,20.318989000000002,108.0,11.0,0.4319862,1.9351846000000001,14.350895000000001,0.0038041645000000002,40.469387,84.59272,0.004229636001586914,15.071266,1.1852396,18.10383,5.501223599999999,0.08490079,0.10845452,0.7445409000000001,-0.5768781999999999,6.3300135e-08,-0.01404903,-3.6507843999999997e-10,0.005531669,234.05544,-36.76146,3.195182,-0.2441721,0,0,79.0,0.6545128,0.0046742070000000005,20000,22.68414759635925,0,0.13344051446945338
5,55.676056,31.392908000000002,165.0,13.0,1.2686051,2.7717774,20.459322,0.0043755076,55.676056,174.70108000000002,0.007279211680094402,18.24609,2.1413328999999997,20.949061999999998,1.0950303,0.5280547,0.19262575,1.3369925,-0.10718287,4.863739e-08,-0.015641943999999998,2.4139881e-09,0.009483145,419.20462000000003,-70.02908000000001,4.392203299999999,-0.5445299,0,0,79.0,0.6438401,0.0060971417,24000,27.786646842956547,0,0.13344051446945338
6,69.91228000000001,38.563812,161.0,14.0,17.54721,58.40971999999999,284.85367,0.0016596995000000001,69.91228000000001,1174.8953,0.0419605451311384,21.866476000000002,4.2090354,24.118362,-16.429237,1.1980349,0.60718817,3.4823769999999996,-0.78949845,-2.5272368999999998e-08,-0.013345016000000001,-8.101463299999999e-07,0.09882437,520.39856,-74.34536999999999,2100.5215,-255.77441000000002,0,0,79.0,0.63376015,0.0047377045,28000,32.764612197875984,3,0.13344051446945338
7,107.43243400000001,37.197456,165.0,21.0,84.35846,180.67606999999998,721.0136,0.044148627999999995,107.43243400000001,4296.1714,0.13425535583496093,26.048502,1.8168595,26.860547999999998,0.73174953,4.7912683,7.678327599999999,17.034637,-16.326006,6.437302e-08,-0.008847993,1.8839835999999999e-06,0.41869202,682.0474,-93.73871,15212.641000000001,-1789.4717,0,0,79.0,0.6213164000000001,0.006002611999999999,32000,37.813115358352654,8,0.13344051446945338
8,133.2,47.73147,239.0,52.0,83.77601999999999,185.23253,787.37134,0.024669401,133.2,6809.453,0.18915147569444446,27.795603000000003,4.9104657,29.9128,-18.87921,15.456914000000001,1.3968553999999997,18.157806,8.572099,5.984306000000001e-08,-0.011265148999999999,9.3746183e-07,0.21033286,846.0616,-117.13257,12494.912,-469.9961,0,0,79.0,0.62681884,0.006147289,36000,40.22991013526917,6,0.13344051446945338
9,115.21875,53.158802,256.0,20.0,102.62746,239.94113,869.0208,0.011413438,115.21875,10111.271,0.252781787109375,31.919773,4.169136,33.007114,-18.426517,22.273937,0.46046615,23.213137,18.84344,-4.211068e-08,-0.011289773000000001,-2.6798246999999996e-07,0.2677112,827.0384,-67.76703,20678.514,-341.06055,0,0,79.0,0.6187968,0.0028858236,40000,45.298853397369385,5,0.13344051446945338
