Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	17.237068	8.455248	74.0	8.0	0.0039322185	0.0033245187	0.037628543	0.00014893727	17.237068	0.9128857	0.00022822143137454987	0.0047255764	0.23100272	0.5424279	-0.5333038	-0.010874389	0.57989514	1.3997465	-1.3645523	9.274483e-08	-0.013728347	-4.768372e-10	0.00015000654	165.29509	-23.39392	0.33637664	-0.33605552	0.0	0.0	0.018872771	-0.29117236	-0.028779127	0.018883627	-0.00017278767	0.002750047	1.3741771	0.0	3.0	0.0	0.0	0.6745221	0.0044021388	4000	2.800208330154419
1	19.52451	9.874924	58.0	8.0	0.004288228	0.0046488456	0.049081706	0.00036485543	19.52451	1.7901173	0.00022376465797424317	1.1685826	0.19371188	1.9378543	0.0062263813	0.0023186936	0.016948445	0.080849215	-0.06640897	8.2492825e-08	-0.015388144	-1.0151416e-10	-2.7927632e-05	179.7709	-68.32668	0.00032652175	-0.00020380128	0.0	0.0	0.012374148	-4367.6436	-0.025389206	0.023490338	4.0504474e-05	1.4758766e-07	1.5326558	0.0	3.0	0.0	0.0	0.688364	0.0045828074	8000	7.726618051528931
2	23.232557	12.322861	76.0	8.0	0.00471396	0.004506607	0.03849726	0.00048922875	23.232557	2.6009858	0.0002167488137880961	5.1629677	0.2482214	6.083881	3.4595397	0.0030511967	0.010081072	0.059103437	-0.06119871	1.4901161e-08	-0.015554157	-2.2351742e-11	1.3187232e-05	168.36963	-63.45481	0.00011634867	-4.179713e-05	0.0	0.0	0.01872011	-5427.8267	-0.021318618	0.024305122	-2.162508e-05	8.373198e-08	1.55901	0.0	3.0	0.0	0.0	0.6923048	0.004474493	12000	12.657085657119751
3	25.729033	14.545727	119.0	9.0	0.005605522	0.019231705	0.24063624	0.0002148421	25.729033	3.4708676	0.00021692922711372375	10.298251	1.0800557	15.337988	5.943999	0.002801049	0.007612845	0.05383941	-0.06640901	-2.0980835e-08	-0.015595731	1.0058284e-10	3.5140467e-05	149.76625	-24.112144	0.00063220074	-0.00022819953	0.0	0.0	0.00980454	-1799.293	-0.019215433	0.02494623	-5.5742337e-05	2.0520882e-07	1.5794375	0.0	3.0	0.0	0.0	0.688271	0.0044069397	16000	17.589428424835205
4	33.049587	18.43678	81.0	9.0	0.007188541	0.012948751	0.115560256	0.00031599368	33.049587	4.340685	0.0002170342445373535	13.301084	2.3123353	17.650803	-5.576362	0.005112364	0.017875798	0.07349322	-0.08022834	5.6028364e-09	-0.017382722	-9.313226e-11	3.3578843e-05	190.6651	-31.7361	0.00053921435	-0.00039214152	0.0	0.0	0.025839789	-401.19144	-0.014911274	0.031749662	-5.7229845e-05	5.5420065e-07	1.7818435	0.0	3.0	0.0	0.0	0.6791564	0.0042260718	20000	23.037407398223877
5	38.411766	27.627905	199.0	11.0	0.07913827	0.6761169	6.859504	0.0006466083	38.411766	12.472392	0.0005196830034255982	16.889149	2.112551	20.423689	3.9462893	0.0044120597	0.011296986	0.030072398	-0.09540176	2.014637e-08	-0.016283026	-1.585111e-09	0.00024687065	339.53418	-40.68579	0.49888468	-0.18509623	0.0	0.0	0.026633356	-0.41743985	-0.010956584	0.027251676	-0.00041672	0.00028085057	1.6508082	0.0	3.0	0.0	0.0	0.6634425	0.0040589496	24000	28.22744655609131
6	49.5875	32.95326	188.0	11.0	0.13385612	0.738149	5.747126	0.00022826728	49.5875	23.183607	0.0008279859679085868	19.721327	3.7788405	22.903254	-7.1497273	0.017003447	0.43673545	1.5010351	-2.5368366	5.00679e-09	-0.01790736	1.0728836e-09	0.0006427178	405.53406	-51.944733	0.9138043	-0.6075549	0.0	0.0	0.032268915	-0.022682356	-0.0073837936	0.033036888	-0.0011318671	0.0016681909	1.8176053	0.0	3.0	0.0	0.0	0.6486997	0.003796657	28000	33.004908084869385
7	68.68965	45.15002	208.0	11.0	1.1121863	3.1107783	13.383998	0.0005991068	68.68965	87.694664	0.0027404582500457765	23.881159	1.9358423	25.342403	-1.953681	0.054080497	0.5907016	1.796701	-1.8154577	2.7894973e-08	0.015221592	3.9190056e-09	-0.004715861	587.4885	-68.07788	6.288769	-1.5851755	2.1281416	0.0	0.009605172	-0.025973909	0.008912351	0.032038677	-0.007037964	0.0022079893	0.0	2.1281416	0.0	0.0	0.0	0.6368392	0.0032613927	32000	35.1273934841156
8	58.441177	36.665173	181.0	12.0	0.42881227	1.4610065	6.985302	0.0002332663	58.441177	116.85644	0.003246012157864041	27.62941	0.9887683	28.431898	13.207703	1.0836036	0.1534598	1.5946239	0.3556211	-3.0994416e-09	-0.011030364	2.2768974e-08	0.0011488831	386.91403	-24.026276	1.6132642	-0.78992486	1.5363731	0.0	0.00830414	0.009605406	-0.0012181092	0.021001482	-0.006909832	0.0037602966	0.9297998	1.5363731	2.0	0.0	0.0	0.64863354	0.003611639	36000	39.98107600212097
9	62.25	31.350838	147.0	11.0	0.15068367	0.7367455	5.61053	0.0003584061	62.25	126.50333	0.0031625831604003905	28.110558	3.5343747	29.636042	-5.334495	0.45013118	0.63329285	3.0108833	-1.9904199	1.6212464e-08	-0.019116372	-3.218651e-09	0.0046734735	316.40234	-5.021393	0.67289406	-0.36070296	0.0	0.0	0.0140010035	0.0011555774	-0.005611507	0.03807161	-0.009257385	0.0035603244	1.9511948	0.0	2.0	0.0	0.0	0.6382352	0.0039857817	40000	44.699565172195435
