Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,17.237068,8.455248,74.0,8.0,0.0039322185,0.0033245187,0.037628543,0.00014893726999999998,17.237068,0.9128857,0.0002282214313745499,0.0047255764000000006,0.23100272,0.5424279000000001,-0.5333038,-0.010874389,0.57989514,1.3997465,-1.3645523000000002,9.274483e-08,-0.013728347,-4.768372e-10,0.00015000653999999998,165.29509,-23.39392,0.33637664,-0.33605552,0.0,0.0,0.018872771,-0.29117236,-0.028779127,0.018883627,-0.00017278767,0.0027500470000000003,1.3741771,0.0,3.0,0.0,0.0,0.6745220999999999,0.0044021388,4000,2.800208330154419,0,0.06186726659167604
1,19.52451,9.874924,58.0,8.0,0.004288228,0.0046488456,0.049081705999999996,0.00036485543,19.52451,1.7901173,0.0002237646579742432,1.1685826000000001,0.19371188,1.9378543000000001,0.0062263813,0.0023186936,0.016948445,0.080849215,-0.06640897,8.2492825e-08,-0.015388144,-1.0151416e-10,-2.7927631999999998e-05,179.7709,-68.32668000000001,0.00032652175,-0.00020380128,0.0,0.0,0.012374148,-4367.6436,-0.025389206,0.023490338,4.0504474e-05,1.4758766e-07,1.5326558000000001,0.0,3.0,0.0,0.0,0.6883640000000001,0.0045828074,8000,7.7266180515289316,0,0.06186726659167604
2,23.232557,12.322861,76.0,8.0,0.00471396,0.004506607,0.03849726,0.00048922875,23.232557,2.6009857999999997,0.0002167488137880961,5.1629677,0.24822139999999998,6.083881,3.4595397000000006,0.0030511966999999997,0.010081072,0.059103437,-0.06119871,1.4901161e-08,-0.015554156999999999,-2.2351742e-11,1.3187231999999999e-05,168.36963,-63.454809999999995,0.00011634867,-4.1797129999999995e-05,0.0,0.0,0.01872011,-5427.8267,-0.021318617999999998,0.024305122000000002,-2.162508e-05,8.373198e-08,1.55901,0.0,3.0,0.0,0.0,0.6923048,0.0044744929999999995,12000,12.657085657119751,0,0.06186726659167604
3,25.729032999999998,14.545727,119.0,9.0,0.005605522,0.019231705,0.24063624,0.00021484209999999998,25.729032999999998,3.4708676,0.00021692922711372372,10.298250999999999,1.0800557,15.337988000000001,5.943999,0.0028010490000000003,0.007612845,0.05383941,-0.06640901,-2.0980835e-08,-0.015595731000000002,1.0058284e-10,3.5140466999999996e-05,149.76625,-24.112144,0.00063220074,-0.00022819952999999997,0.0,0.0,0.00980454,-1799.293,-0.019215433,0.02494623,-5.5742337e-05,2.0520882e-07,1.5794375,0.0,3.0,0.0,0.0,0.688271,0.0044069397,16000,17.589428424835205,0,0.06186726659167604
4,33.049587,18.43678,81.0,9.0,0.007188541,0.012948751000000001,0.115560256,0.00031599368,33.049587,4.340685,0.00021703424453735348,13.301084,2.3123353,17.650803,-5.5763620000000005,0.005112364,0.017875798000000002,0.07349322,-0.08022834,5.6028364e-09,-0.017382722,-9.313225999999999e-11,3.3578843e-05,190.6651,-31.7361,0.00053921435,-0.00039214152,0.0,0.0,0.025839789,-401.19144,-0.014911273999999999,0.031749662000000005,-5.7229844999999995e-05,5.542006500000001e-07,1.7818435000000001,0.0,3.0,0.0,0.0,0.6791564,0.0042260718,20000,23.037407398223877,0,0.06186726659167604
5,38.411766,27.627905,199.0,11.0,0.07913827,0.6761169,6.859503999999999,0.0006466083,38.411766,12.472392,0.0005196830034255982,16.889149,2.112551,20.423689000000003,3.9462892999999997,0.0044120597,0.011296986,0.030072397999999997,-0.09540176,2.014637e-08,-0.016283026000000003,-1.5851110000000002e-09,0.00024687065,339.53418,-40.685790000000004,0.49888468,-0.18509623,0.0,0.0,0.026633356,-0.41743985,-0.010956583999999998,0.027251676000000002,-0.00041672,0.00028085057,1.6508082,0.0,3.0,0.0,0.0,0.6634425,0.0040589496,24000,28.22744655609131,1,0.06186726659167604
6,49.5875,32.95326,188.0,11.0,0.13385612,0.7381489999999999,5.747126000000001,0.00022826727999999998,49.5875,23.183607000000002,0.0008279859679085868,19.721327,3.7788405,22.903254,-7.1497273,0.017003446999999998,0.43673545,1.5010351,-2.5368366,5.00679e-09,-0.01790736,1.0728836e-09,0.0006427178,405.53406,-51.944733,0.9138043,-0.6075549,0.0,0.0,0.032268915,-0.022682356,-0.0073837936,0.033036888,-0.0011318671,0.0016681909,1.8176053,0.0,3.0,0.0,0.0,0.6486997,0.003796657,28000,33.004908084869385,2,0.06186726659167604
7,68.68965,45.15002,208.0,11.0,1.1121863,3.1107782999999998,13.383998000000002,0.0005991068,68.68965,87.694664,0.0027404582500457765,23.881159,1.9358422999999998,25.342403,-1.9536810000000002,0.054080497000000005,0.5907015999999999,1.7967009999999999,-1.8154577,2.7894972999999997e-08,0.015221591999999999,3.9190056e-09,-0.004715861,587.4885,-68.07788000000001,6.288769,-1.5851754999999998,2.1281416,0.0,0.009605172,-0.025973909,0.008912350999999999,0.032038677,-0.007037964,0.0022079892999999997,0.0,2.1281416,0.0,0.0,0.0,0.6368391999999999,0.0032613927000000003,32000,35.1273934841156,10,0.06186726659167604
8,58.441177,36.665172999999996,181.0,12.0,0.42881227,1.4610065,6.985302000000001,0.0002332663,58.441177,116.85643999999999,0.0032460121578640412,27.629409999999996,0.9887683,28.431897999999997,13.207703,1.0836036,0.1534598,1.5946239,0.35562109999999997,-3.0994416e-09,-0.011030363999999999,2.2768974e-08,0.0011488830999999999,386.91402999999997,-24.026276,1.6132642,-0.78992486,1.5363731000000003,0.0,0.00830414,0.009605406,-0.0012181092,0.021001482000000002,-0.006909831999999999,0.0037602965999999995,0.9297998,1.5363731000000003,2.0,0.0,0.0,0.64863354,0.0036116390000000003,36000,39.981076002120965,5,0.06186726659167604
9,62.25,31.350838,147.0,11.0,0.15068367,0.7367454999999999,5.610530000000001,0.0003584061,62.25,126.50333,0.0031625831604003905,28.110558,3.5343747000000003,29.636042,-5.3344949999999995,0.45013118,0.63329285,3.0108832999999997,-1.9904199,1.6212464e-08,-0.019116372,-3.2186509999999997e-09,0.0046734735,316.40234,-5.021393,0.67289406,-0.36070296,0.0,0.0,0.014001003500000001,0.0011555774,-0.005611507,0.03807161,-0.009257385,0.0035603244,1.9511948000000001,0.0,2.0,0.0,0.0,0.6382352,0.0039857817,40000,44.699565172195435,2,0.06186726659167604
10,95.414635,64.39814,346.0,14.0,1.4351052,2.6859221,10.103713,0.0009476720599999999,95.414635,185.35867,0.004212697115811436,28.598886,3.87336,30.281399,-20.936336999999998,0.14455679,0.19490233,0.9185559000000001,-0.35834745,-7.1525574e-10,0.008465888000000001,1.2442469e-09,-0.0033810774,793.42584,-101.21857,3.4690864,-0.9203066999999999,3.013631,0.0,0.013728347,-0.07723185,0.009800438,0.02078778,-0.0027880005,0.0011010724,0.0,3.013631,0.0,0.0,0.0,0.62814885,0.0040100835999999996,44000,49.52872848510742,11,0.06186726659167604
11,74.98076999999999,43.857937,183.0,15.0,0.23609495,0.8153215,5.198702,0.00026211454,74.98076999999999,197.69632,0.004118673324584961,32.93346,2.1651444,33.612526,-5.6627445,1.0624434,0.15853508,1.5509142,0.25599542,-6.9141386e-09,-0.013343401999999999,3.0100345e-08,0.0035030510999999997,460.2859,-11.757750999999999,1.0797156,-0.75330937,2.0681116999999998,0.0,0.001675523,0.004480082,-0.0035196366,0.022241682000000002,-0.006793726999999999,0.0022442075,0.61155033,2.0681116999999998,2.0,0.0,0.0,0.635634,0.003803835,48000,54.34668731689453,3,0.06186726659167604
12,100.79486999999999,56.998059999999995,248.0,9.0,1.4744983,2.8805560000000003,11.1511345,0.00019632830000000003,100.79486999999999,255.21732000000003,0.004908025301419772,32.42524,7.043539999999999,34.705627,-30.485540000000004,0.19486879999999998,0.15096287,1.156053,-0.36500190000000005,4.3988226e-08,0.012195915,9.3877315e-09,-0.0047828,635.61896,-53.925231999999994,3.6727629999999998,-1.0804892,2.1305962000000003,0.0,0.0069352104,-0.032431617,0.009668134,0.021911712000000003,-0.0057438496,0.0022029048,0.0,2.1305962000000003,0.0,0.0,0.0,0.62081915,0.004133172,52000,58.91002774238586,9,0.06186726659167604
13,88.82222,40.204082,198.0,23.0,0.17233323,0.48589253,2.9132066,0.0004945929000000001,88.82222,262.9727,0.004695940835135325,36.239329999999995,3.2631466000000002,36.83453,-15.753694,0.9152248,0.3192207,2.1866727000000004,-0.11454956,1.9073486e-08,-0.016972393,2.0861626e-09,0.0033147214,433.84105999999997,-1.6778258999999998,0.740049,-0.6567367,0.0,0.0,0.0033722995,-0.0008477637300000001,-0.003689018,0.030443694,-0.0058276840000000005,0.0012545308999999999,1.7448120999999999,0.0,3.0,0.0,0.0,0.6334753000000001,0.0044699223,56000,63.57395076751709,3,0.06186726659167604
