Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.772322	6.807096	40.0	8.0	0.0038395408	0.0027864631	0.018165864	0.0005743115	17.772322	0.86049324	0.00021512331068515778	-0.0014612889	0.22295693	0.5276725	-0.5117329	0.008331245	0.5617652	1.5065315	-1.4648905	-1.244545e-07	-0.017005181	1.7881393e-09	0.00091184495	140.427	-21.393097	0.3181787	-0.3141167	0	0	7.0	0.6754867	0.016894666	4000	2.684417963027954
1	22.256983	12.945563	86.0	9.0	0.004592418	0.0076243714	0.09954896	0.00030758115	22.256983	1.6948844	0.00021186055243015289	1.1040847	0.2901712	2.8315456	-0.36181176	0.008162138	0.015633091	0.07811965	-0.049400963	-1.7762185e-08	-0.011010551	2.9802324e-11	8.9467736e-05	263.5245	-89.22099	0.0003229761	-0.0001634744	0	0	9.0	0.69141024	0.01470506	8000	7.737526893615723
2	26.751678	13.919666	84.0	9.0	0.0042291507	0.0031123625	0.015372671	0.0002213977	26.751678	2.326274	0.00019385615984598796	5.4207363	0.64954275	8.337079	2.194818	0.0036358156	0.008488438	0.03274827	-0.04542842	3.4689904e-08	-0.011286315	1.09896064e-10	3.271052e-05	213.35896	-78.553986	7.787155e-05	-3.378498e-05	0	0	16.0	0.6828627	0.012427834	12000	12.162429809570312
3	34.0	16.23018	82.0	10.0	0.005449218	0.009495267	0.09688293	0.00012210973	34.0	2.964499	0.0001852811872959137	10.896958	1.120022	15.610009	0.726742	0.0025446282	0.0061813514	0.04459746	-0.024904436	-8.9883805e-08	-0.012995578	-5.7742e-11	1.8119015e-05	198.2446	-46.15045	9.589557e-05	-1.3438032e-05	0	0	79.0	0.6613116	0.0046341186	16000	17.538796424865723
4	45.988373	27.382942	147.0	10.0	0.030017374	0.18598466	1.7329913	0.00016760927	45.988373	5.546726	0.00027733631134033203	14.545921	2.256637	18.92007	-4.763277	0.0028482317	0.011372247	0.13588436	-0.06531874	-1.6868114e-08	-0.014245055	-3.0733646e-10	0.00020317522	390.20618	-80.708496	0.02836565	-0.0074862503	0	0	79.0	0.65398175	0.0044081737	20000	22.928945064544678
5	56.4	28.718039	163.0	15.0	0.019978235	0.046560273	0.33656138	0.0006547741	56.4	6.9467683	0.00028944867849349976	19.464785	1.0536255	21.271667	3.907816	0.043208163	0.08832559	0.51373404	-0.5555064	-8.34465e-09	-0.012791203	-6.631017e-10	0.00041781092	373.1365	-43.699097	0.011058466	-0.009811546	0	0	79.0	0.64048535	0.0040328675	24000	28.37051773071289
6	77.43137	41.42854	197.0	14.0	0.19489184	0.5154891	2.9834552	0.0010616642	77.43137	16.89763	0.0006034868104117258	22.323484	2.1753736	23.869232	-1.6156474	0.01765947	0.015498634	0.11219979	-0.037689127	2.7894973e-08	-0.009956287	3.1739473e-09	0.0010910253	596.3521	-86.02179	0.15396109	-0.03168536	0	0	79.0	0.63085365	0.003912371	28000	33.5448055267334
7	99.128204	49.84138	209.0	19.0	0.5468098	1.2651172	5.8178062	0.0013795672	99.128204	38.245316	0.0011951661109924317	24.253626	5.8601513	26.851755	-21.116613	0.12903927	0.11318002	0.61099917	-0.3842486	4.36306e-08	-0.011157141	-8.910894e-09	0.0032567552	768.52686	-110.59076	0.748968	-0.22708136	0	0	79.0	0.6198269	0.0040414818	32000	36.335853099823
8	168.78261	73.23396	407.0	83.0	1.2826539	1.6757592	5.07491	0.021135453	168.78261	67.77523	0.00188264528910319	28.160545	4.8041906	29.88266	-20.455826	0.28640527	0.31651017	1.3250642	-0.54435426	-6.937981e-08	-0.007627931	1.7210842e-09	0.0039128987	1272.039	-181.13025	0.8879854	-0.18413752	0	0	79.0	0.6201794	0.0039176545	36000	41.63651394844055
9	160.91667	38.838253	252.0	89.0	2.558377	2.516706	8.822049	0.021351641	160.91667	129.2983	0.00323245735168457	30.863297	6.2494817	33.26971	-16.54983	0.60290104	0.16707446	1.1988807	0.1876814	-2.8133393e-08	-0.007661102	7.7486035e-09	0.0061876234	892.366	-101.612	1.988111	-0.51126266	0	0	79.0	0.6155087	0.006848741	40000	46.6293888092041
10	124.9375	47.614296	238.0	36.0	2.429904	2.8965325	9.980194	0.0030379607	124.9375	207.05566	0.004705810546875	35.471893	1.4711025	35.67657	2.5066838	1.2566375	0.26369685	1.9732009	0.49129778	-8.2850455e-09	-0.00908271	8.434057e-09	0.004864012	636.22125	-25.325745	2.518187	-0.57604086	0	0	79.0	0.6144233	0.0052574165	44000	52.10194706916809
11	172.47826	75.04194	344.0	24.0	2.080322	2.2008486	7.7974553	0.0025692817	172.47826	254.90392	0.0053104982376098635	36.508743	3.2089906	36.941216	-13.1065	1.1635463	0.7735869	3.532055	-0.1767321	5.5372716e-08	-0.007998247	-7.778406e-09	0.0023353891	1020.0182	-75.53204	1.2756121	-0.40206426	0	0	79.0	0.61041397	0.0046653394	48000	56.97251844406128
12	271.2143	95.37908	487.0	151.0	3.1210673	1.539529	5.6414967	0.1073399	271.2143	300.14502	0.0057720196063701925	38.30546	3.0105011	38.94294	3.5881948	0.99874854	0.3998971	2.299566	0.35297707	-2.9802323e-09	-0.00622471	5.39422e-09	-0.0012374314	1461.4738	-155.02075	0.50585103	-0.07085529	0	0	79.0	0.60350835	0.005077508	52000	61.88080453872681
13	279.7143	99.29497	500.0	128.0	4.341525	2.9688065	8.604806	0.005375164	279.7143	360.94165	0.006445386614118304	40.900875	3.2735035	41.706352	-1.7810211	1.1164824	0.5065288	2.5137928	0.33824122	6.878376e-08	-0.005677931	1.001358e-08	0.002217671	1348.5968	-124.41626	1.241353	-0.2799679	0	0	79.0	0.6054155	0.0023336047	56000	64.42100238800049
14	341.63635	126.359	500.0	95.0	5.7197127	3.6446996	10.855241	0.11684969	341.63635	424.01614	0.007066935729980468	43.593033	3.1242728	44.096996	4.3447227	1.4161032	0.8252129	2.8668616	0.2727365	5.9247018e-08	-0.0030220756	1.1205673e-08	0.00043707681	1523.6774	-141.94812	1.3927708	-0.17351711	0	0	79.0	0.60135937	0.00477248	60000	69.56401515007019
15	228.76471	59.68499	363.0	150.0	5.2711167	2.667916	11.7524395	0.26283154	228.76471	513.6299	0.008025466918945312	46.137936	3.0822127	46.5371	5.3437133	1.4624068	0.83490187	3.819744	0.24705203	2.3066997e-08	-0.0074147773	-2.0116568e-09	0.00354017	875.41174	-42.270325	1.6111989	-0.39676285	0	0	79.0	0.6009348	0.005296132	64000	74.86299777030945
16	377.8	113.50049	500.0	196.0	3.7871857	3.0484445	9.067023	0.36705863	377.8	551.7047	0.008113304586971508	47.85893	0.12771538	47.915646	47.02978	1.8834436	0.83096564	3.5092723	0.34170467	1.6689301e-09	-0.003058987	3.412366e-08	0.0015794808	1384.9138	-108.52466	2.0319395	-1.3266673	0	0	79.0	0.59561205	0.0049683223	68000	80.00404667854309
17	344.81818	129.19388	500.0	163.0	6.7846513	5.5703826	19.593914	0.046488676	344.81818	631.24005	0.008767222934299046	49.948235	0.01770643	49.962864	49.836388	1.1350449	1.0540285	3.3139691	-0.305488	-3.2544136e-08	-0.0050212448	-1.6987324e-08	0.0009605181	1216.656	-82.0791	2.8369043	-0.6410701	0	0	79.0	0.5880701	0.0046384665	72000	84.78803324699402
18	370.2	123.57734	500.0	150.0	5.26419	3.9048145	11.572692	0.20972647	370.2	683.9325	0.00899911177785773	51.68998	0.33770105	51.7818	48.323013	1.5303159	1.13615	4.168758	0.114657834	2.4080277e-08	-0.0052063973	-1.2397766e-08	0.006487037	1206.6663	-84.05115	1.7237637	-0.38238263	0	0	79.0	0.58753604	0.0040624943	76000	89.58510088920593
19	213.38889	84.870575	457.0	109.0	6.0411096	3.507019	18.672405	3.1543782	213.38889	792.7695	0.009909618377685546	53.528442	0.13832456	53.553978	50.19212	1.7420404	1.2106287	3.9768224	-0.48802912	1.34706495e-08	-0.0043909885	1.31726265e-08	0.0010731263	735.0669	-21.808167	1.8172011	-0.55721676	0	0	79.0	0.58988035	0.0029086738	80000	92.02266955375671
20	209.47368	109.27915	494.0	33.0	2.922057	2.7117748	9.2122135	0.00096691155	209.47368	848.2915	0.01009870837983631	54.265602	0.021114973	54.27661	54.06712	2.1278257	1.0464633	3.9434867	0.21373242	-1.0490417e-08	-0.008116451	-1.013279e-08	0.0044973246	780.8476	-8.11792	2.48871	-1.270751	0	0	79.0	0.60036796	0.004748996	84000	97.53312373161316
21	292.75	124.135086	500.0	125.0	4.0975924	3.5838609	10.24083	0.14974436	292.75	910.03015	0.010341251720081676	54.774616	0.7128621	54.856808	41.38053	1.0625622	0.6415363	2.6774	-0.38668072	7.629395e-09	-0.0057760025	-2.8014182e-09	-0.00058212166	973.3513	-42.517944	1.7947357	-0.426587	0	0	79.0	0.5876005	0.0071387216	88000	102.95873355865479
22	361.54544	138.92598	500.0	171.0	4.312083	4.7542653	17.792988	0.006788372	361.54544	957.46606	0.010407239831012228	54.649845	7.941287	56.15071	-39.795254	0.83992594	0.70852226	3.5165598	-0.063065425	-3.385544e-08	-0.0055567888	-9.268522e-09	-0.0013107872	971.75494	-69.879395	2.0593905	-0.74673045	0	0	79.0	0.5807887	0.0047842367	92000	108.12632822990417
23	447.25	116.53621	500.0	141.0	1.4179833	1.6287116	5.107186	0.03002963	447.25	969.1111	0.01009490712483724	56.954693	4.8494225	57.728138	-13.120911	0.7694978	0.7357315	4.085371	-0.6663382	2.2411346e-08	-0.005067823	-5.90086e-09	0.00083348126	1053.883	-95.70166	0.60911375	-0.46296343	0	0	79.0	0.567653	0.004671801	96000	113.58456540107727
24	270.7143	93.19981	421.0	112.0	4.8117366	4.176779	17.365189	0.12304662	270.7143	1036.6907	0.01036690673828125	54.70369	12.122554	59.586075	-10.630409	0.53598547	0.6548761	2.4791408	-0.20363607	-1.5497208e-09	-0.008578932	-3.194809e-08	0.0003062439	554.90125	-53.81186	3.0117536	-1.0996271	0	0	79.0	0.5774237	0.005399487	100000	119.0154926776886
