Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	17.094017	7.7100034	53.0	8.0	0.047879584	0.08607863	1.1409258	0.0041443137	17.094017	11.203823	0.0028009557723999022	0.0038223942	0.22987811	0.5140429	-0.5291255	-0.008262247	0.58330286	1.356397	-1.4100349	1.4305115e-09	-0.013810565	4.887581e-09	-0.00091953547	149.1137	-22.589447	0.34767488	-0.33780196	0	0	7.0	0.6746502	0.017288165	4000	5.431848526000977
1	21.8306	11.590874	89.0	8.0	0.05787863	0.09314025	0.84302515	0.003385785	21.8306	21.804379	0.0027255473136901854	1.1530092	0.25647148	2.1008823	-0.522112	0.04409473	0.041302785	0.17682433	-0.13756034	-1.4781952e-08	-0.013406895	8.046627e-10	-0.00013231099	229.89178	-82.762726	0.012750423	-0.0036645997	0	0	9.0	0.69191957	0.01503914	8000	7.7497029304504395
2	27.958042	16.194567	124.0	9.0	0.07557974	0.18199302	1.9966532	0.0017764489	27.958042	32.612747	0.0027177289326985677	5.3996525	0.23407923	6.2697873	4.1495495	0.059401467	0.018351907	0.16013286	-0.035222776	1.07288365e-08	-0.012672031	9.834766e-10	0.0006368934	274.6178	-94.40326	0.03980826	-0.0051289313	0	0	15.0	0.6825573	0.013027074	12000	12.339736223220825
3	33.325	17.14602	92.0	12.0	0.13715297	0.33260193	2.6651163	0.00051849266	33.325	49.07193	0.003066995620727539	11.052377	0.8622226	13.606576	4.8421564	0.073930636	0.059059177	0.33875617	-0.26654038	1.859665e-08	-0.013044678	7.9721213e-10	0.0016517476	210.705	-44.968567	0.111487485	-0.027993448	0	0	79.0	0.66137916	0.0049606888	16000	17.686052322387695
4	45.632183	27.91206	175.0	10.0	0.33252108	0.7271679	3.6921961	0.0049277004	45.632183	78.04074	0.0039020370483398435	15.112474	1.0156364	17.15161	9.115893	0.12511025	0.11871532	0.6100732	-0.45868403	3.6239623e-08	-0.012895233	-1.192093e-10	0.0026414834	386.59113	-68.54303	0.4066578	-0.070014	0	0	79.0	0.65455407	0.0046573915	20000	23.074584007263184
5	54.246574	30.656641	191.0	12.0	0.65775234	1.186541	7.363282	0.0034342336	54.246574	126.07293	0.005253038724263509	19.570862	1.0166796	21.26895	11.6736765	0.34526655	0.03046612	0.44052044	0.24970777	4.7683717e-08	-0.0155050885	4.0084123e-09	0.0049348436	387.4296	-46.774353	0.8302053	-0.10509592	0	0	79.0	0.6398075	0.004819516	24000	28.371315002441406
6	77.5098	44.35789	240.0	14.0	2.7283723	4.874811	26.404495	0.0026957637	77.5098	265.29718	0.009474899291992188	21.246607	4.734901	23.97	-17.7921	0.5206053	0.31811813	1.6127331	-0.8728548	3.4570693e-09	-0.013547597	-4.220009e-08	0.013805221	642.5405	-100.17554	12.94516	-3.736949	0	0	79.0	0.63404965	0.0043309852	28000	33.45168328285217
7	99.4	41.237606	218.0	24.0	43.380592	111.59127	463.8156	0.0126061225	99.4	2000.5491	0.06251715850830078	25.85268	3.4303224	26.991447	-16.142447	1.3601484	1.3046445	5.5933743	-3.1474898	-2.336502e-08	-0.012340999	2.2292137e-07	0.31830344	644.5147	-75.8006	6082.631	-663.0469	0	0	79.0	0.62312806	0.004176135	32000	36.06008267402649
8	137.65517	51.901283	298.0	75.0	46.171825	102.66789	448.24582	2.5246224	137.65517	3339.5376	0.09276493326822917	27.927198	4.5282865	29.62501	-19.213228	9.04233	5.8169746	17.035435	-14.216911	5.4895878e-08	-0.010671261	-3.4189225e-07	0.07282261	914.3106	-118.26276	3900.799	-434.76904	0	0	79.0	0.62434316	0.00419132	36000	41.04574704170227
9	120.25	62.3057	287.0	14.0	191.82104	306.6072	1097.5709	0.005032155	120.25	9501.747	0.2375436767578125	30.487654	6.3572903	32.64973	-18.576984	15.8590765	0.3471713	16.30524	14.145165	-1.9133092e-08	-0.008905721	1.1992455e-06	0.63277835	815.51886	-85.60138	40955.895	-1697.1914	0	0	79.0	0.6162125	0.0036053364	40000	45.92379689216614
10	162.83333	52.166134	261.0	11.0	272.97095	380.9785	1159.3564	0.062072888	162.83333	16054.803	0.36488188032670454	33.63323	5.387288	35.00344	-21.095938	24.374825	0.09358038	24.480192	23.663794	-2.1457673e-08	-0.01130649	-5.4807665e-06	0.3125966	897.27985	-89.13434	50514.13	-905.0078	0	0	79.0	0.609691	0.0046435315	44000	51.14036226272583
11	225.47058	70.96985	348.0	61.0	526.5278	478.25528	1221.3702	1.2163653	225.47058	25015.32	0.5211525065104167	36.266655	4.374877	37.36175	-13.260856	28.548994	0.03252578	28.585394	28.35815	6.4134596e-08	-0.008672473	4.415512e-07	0.29105118	1274.9735	-142.07251	81392.41	-1331.1016	0	0	79.0	0.60995495	0.004490655	48000	56.45665192604065
12	296.76923	105.77927	494.0	174.0	448.39978	404.12207	1158.5568	2.0974317	296.76923	30852.121	0.5933100210336538	38.860256	4.780482	40.16066	-13.517874	32.568188	0.02400572	32.597363	32.393566	2.7298928e-08	-0.007163713	2.1123885e-06	-0.20180547	1500.4285	-167.82275	43125.688	-465.0078	0	0	79.0	0.6043262	0.0022539159	52000	61.57156205177307
