Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	16.427984	5.9792128	44.0	9.0	0.039696567	0.049783967	0.6788068	0.0033256097	16.427984	9.6503525	0.002412588119506836	-0.014564827	0.23369749	0.5259509	-0.5107093	0.036380146	0.586452	1.3514283	-1.3615588	-4.572321e-08	-0.007120973	4.8279762e-09	-0.0018017225	119.312195	-17.95314	0.3439801	-0.3391494	0.84999996	-0.020945609	7.0	0.67393345	0.017815562	4000	5.393355131149292
1	21.33155	10.95041	89.0	8.0	0.05378309	0.12221492	1.4590336	0.004674439	21.33155	19.730824	0.002466352939605713	0.97504336	0.4692275	2.0373397	-0.7892793	0.036066577	0.030319981	0.16982126	-0.08698491	-5.6682623e-08	-0.0076830564	1.0505319e-09	0.00047441883	216.48697	-79.01378	0.018635819	-0.0013952311	0.82905436	-0.021270394	10.0	0.6916394	0.015437825	8000	7.7609241008758545
2	26.289474	13.40249	69.0	11.0	0.071924135	0.09810418	0.69256544	0.0029150352	26.289474	30.664907	0.0025554089546203614	4.945549	0.6338926	6.703783	2.3441901	0.05094106	0.01384253	0.11760296	-0.018786525	-6.954843e-08	-0.007353234	1.937151e-10	0.00033385734	210.2118	-82.491196	0.008640775	-0.001238788	0.80778396	-0.03295964	79.0	0.6816621	0.0056078853	12000	12.937994956970215
3	31.36508	18.464724	123.0	11.0	0.10958265	0.26625764	2.590098	0.0019082663	31.36508	44.484085	0.0027802553176879885	10.566336	0.6256314	12.115989	7.644075	0.06321508	0.017477417	0.12614764	-0.02507326	-6.1225913e-09	-0.008860351	-1.1008233e-09	0.0005464063	238.14127	-52.22278	0.065385684	-0.006127298	0.7748243	-0.033120573	79.0	0.6714154	0.0051409863	16000	18.079159259796143
4	43.380436	24.70559	148.0	9.0	0.58372873	2.1751604	19.282137	0.0016291556	43.380436	98.19535	0.004909767532348633	14.968394	1.4112005	17.453272	9.095319	0.11653696	0.10776981	0.6521979	-0.40055773	9.570837e-09	-0.009163303	1.3411044e-10	-0.00077514973	316.48462	-57.05487	3.6918948	-0.6173055	0.74170375	-0.030918539	79.0	0.6581303	0.0061209756	20000	23.202410459518433
5	58.544117	27.471607	164.0	15.0	0.93004656	1.37169	5.732402	0.004456112	58.544117	161.44226	0.006726760864257813	18.647871	2.2715418	21.245754	2.100731	0.60498804	0.5939064	2.8481545	-1.8822556	8.349088e-09	-0.006950846	1.3113022e-09	0.0026913662	371.52426	-61.581177	1.4736491	-0.5796014	0.7107852	-0.02921927	79.0	0.6453976	0.0048769447	24000	28.322279930114746
6	64.370964	34.668583	179.0	11.0	2.1561189	3.47597	15.809057	0.0029004063	64.370964	295.12372	0.010540132795061384	22.077902	3.62571	24.028307	-11.97695	0.69581556	0.26108012	1.47563	0.06375915	4.301232e-09	-0.0051372806	-1.2814999e-09	0.005745832	429.5745	-47.080597	6.758597	-1.8411069	0.68156594	-0.02702421	79.0	0.6328182	0.0030756716	28000	33.3587863445282
7	88.22222	44.231155	223.0	12.0	3.497935	5.6424885	34.8002	0.005899951	88.22222	452.61835	0.014144323348999023	25.199202	1.9517785	26.328033	1.9609063	1.9396721	0.7415396	4.003165	-1.3524678	-1.6484982e-08	-0.004426931	1.3113022e-09	0.00017783964	620.8706	-76.92609	13.540451	-1.0136948	0.65454173	-0.015492678	79.0	0.6234286	0.0024287726	32000	35.981282472610474
8	103.89474	34.32721	190.0	21.0	4.1878014	3.2447846	13.58108	0.008277403	103.89474	611.79224	0.01699422878689236	27.486246	5.1026406	29.17472	-21.552128	2.4054947	0.2413187	3.23999	1.4862938	5.0906806e-08	-0.0009098666	-1.8775463e-09	0.0074384287	546.97363	-58.774994	3.6293833	-0.3875687	0.63904905	-0.011105657	79.0	0.6173355	0.0031640125	36000	40.971970558166504
9	102.6579	41.73745	216.0	25.0	6.8936043	15.879155	97.66296	0.047966164	102.6579	874.1034	0.02185258483886719	30.532448	4.385546	31.612387	-26.521729	2.3540173	0.40615174	3.536318	0.9176299	1.6065316e-08	-0.011523332	6.139278e-08	-0.045388564	560.30066	-38.31604	98.3702	-8.541229	0.6279434	0.0033068657	8.0	0.6180303	0.019332856	40000	45.499438524246216
10	98.95	28.705355	193.0	54.0	3.5748413	3.0240433	14.885259	0.33050588	98.95	1017.1209	0.023116384332830257	32.22662	4.135909	33.542522	-17.825172	4.6722026	2.3996165	10.549505	-3.083218	-1.4347137e-08	-0.0024325526	-3.4809112e-08	-0.010241253	389.4449	-24.505066	15.884995	-12.327745	0.63125026	0.016604304	79.0	0.597282	0.0022152576	44000	50.89682674407959
11	95.414635	24.106447	170.0	38.0	2.7505302	1.6126143	8.098061	0.31850895	95.414635	1129.953	0.023540687561035157	33.450176	5.035063	34.874256	-18.49486	2.0525987	0.15178871	2.6214447	1.4587106	-1.3540225e-08	-0.0017245909	1.0728836e-09	-0.0031104372	344.4081	-9.21225	1.1698586	-0.1880824	0.64785457	0.008655369	79.0	0.59485644	0.007826439	48000	56.43004894256592
12	85.67391	28.867052	152.0	31.0	1.7107497	1.2559334	5.9123	0.037375383	85.67391	1208.8215	0.023246567946213943	34.444714	5.2580185	35.749462	-23.02894	1.5649954	0.11799744	1.987524	1.1586472	-4.735427e-09	-0.002496455	1.5288592e-08	0.0049205846	339.6049	-1.0621948	0.7961519	-0.22882795	0.65650994	-0.0041593313	79.0	0.58966535	0.0036556597	52000	61.936559438705444
