Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,StopIter,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,19.928,9.255636,72.0,8.0,0.0138258375,0.21816798,3.4564593,0.0,19.928,3.4564593,0.0006912919,0.0017890742,0.18277182,0.47742093,-0.46211603,-0.005881407,0.14944828,0.35205737,-0.42327845,-1.17111206e-07,-0.013643265,-3.6239625e-09,-0.00019424038,197.08975,-23.671127,0.103962354,-0.04643775,0,0,8.0,0.6855455,0.015099257,5000,4.563477039337158,0,0.0
1,23.742857,12.257964,73.0,10.0,0.0102900695,0.14843622,2.1562026,0.0,23.742857,5.617374,0.0005617374,1.0477762,0.3000655,3.0160537,-0.7549864,0.034118794,0.15683174,1.1396645,-0.95626426,1.2054443e-07,-0.011761747,-3.0994415e-10,-7.175686e-05,258.75714,-85.02176,0.038892966,-0.01155751,0,0,12.0,0.690975,0.013067111,10000,8.75681209564209,0,0.0
2,30.472393,18.102406,110.0,9.0,0.010184254,0.099146806,1.1774037,0.0,30.472393,7.2774057,0.0004851604,5.042443,0.9044821,8.974261,-1.4651645,0.029051565,0.07765837,0.51212734,-0.4953254,-4.119873e-08,-0.016369708,8.940697e-11,0.00035471143,334.22906,-116.80426,0.014437231,-0.004242208,0,0,79.0,0.678558,0.005587889,15000,13.455016613006592,0,0.0
3,36.20438,20.216038,130.0,13.0,0.046821874,0.29646045,3.095763,0.0,36.20438,13.691999,0.0006846,10.305164,2.2125165,14.876305,-3.118252,0.009861121,0.02633312,0.1304493,-0.10445951,-3.6334992e-08,-0.016131401,-3.0994415e-10,0.00041587307,296.4505,-72.76221,0.09106049,-0.0042424127,0,0,79.0,0.6644252,0.0056211916,20000,18.102956533432007,0,0.0
4,47.132076,27.973057,126.0,10.0,0.23328961,1.0247521,7.056982,0.0,47.132076,38.4207,0.001536828,15.192515,0.8947741,17.033743,8.739091,0.07229097,0.032836393,0.23846832,-0.07778582,1.9073487e-09,-0.012960166,-4.2915342e-09,0.001253291,390.329,-65.49127,0.79002,-0.03959918,0,0,79.0,0.6519448,0.0044599962,25000,22.715939044952396,0,0.0
5,68.333336,43.328526,212.0,17.0,0.848838,1.9995615,10.478798,0.0,68.333336,99.53706,0.003317902,18.604202,1.7080739,20.501762,3.9806707,0.26170695,0.05581872,0.41158623,0.09774459,-2.8514862e-08,-0.009476529,3.0577183e-09,0.0017483196,694.2987,-106.12433,2.0741286,-0.18498433,0,0,79.0,0.6354598,0.0031187856,30000,27.343586444854736,0,0.0
6,86.08772,43.100163,244.0,11.0,0.85111946,1.6413952,7.5892386,0.0,86.08772,148.05084,0.0042300243,22.418772,1.3369216,23.539553,10.284988,0.6829253,0.0841102,0.933491,0.342056,2.7751923e-08,-0.005674707,1.0466576e-08,0.0002495679,678.7617,-87.70215,1.1085415,-0.025799155,0,0,79.0,0.6265476,0.0024163392,35000,31.95832395553589,0,0.0
7,99.88,40.748318,217.0,25.0,0.6237407,0.9617428,4.2273293,0.0,99.88,179.23798,0.0044809496,24.796902,2.9422493,26.212204,-2.5847664,0.6081166,0.09114241,0.87510747,0.300318,-6.1035155e-09,-0.008895394,8.749962e-09,0.001620393,658.54126,-74.37622,0.4259334,-0.06350213,0,0,79.0,0.61247766,0.002522687,40000,36.64378190040589,0,0.0
8,118.38095,39.917744,225.0,61.0,1.1476532,1.3019062,4.6099787,0.0,118.38095,227.43964,0.005054214,27.209896,4.017365,28.552174,-12.36149,0.3776624,0.036894534,0.5153566,0.2510677,4.196167e-09,-0.0064111752,3.1471252e-09,0.0018418903,721.708,-73.89331,0.6364823,-0.06316882,0,0,79.0,0.6086565,0.0017682137,45000,41.19151544570923,0,0.0
9,136.5,62.824047,368.0,61.0,1.653337,1.6885037,6.715616,0.0,136.5,286.96017,0.0057392037,29.55648,4.4991474,30.810062,-14.208932,0.6074181,0.06429938,0.82176286,0.27699885,4.7492982e-08,-0.0034206724,-1.4305115e-10,0.0028524753,928.1294,-90.246704,0.9968949,-0.12972105,0,0,79.0,0.60205,0.002563256,50000,45.835848808288574,0,0.0
10,141.85715,51.75113,289.0,63.0,2.7576816,2.3969643,10.043716,0.00069259346,141.85715,383.47922,0.0069723492,31.569868,5.4539933,33.213398,-15.01683,0.8473293,0.18965754,1.4938967,0.3856315,1.0490417e-08,-0.0013522947,-4.673004e-09,-0.0029621415,791.2429,-69.08264,2.1322613,-0.3514068,0,0,79.0,0.5975914,0.0049866308,55000,50.54561996459961,0,0.0
11,132.67567,57.275555,307.0,33.0,1.5334412,1.329979,5.0673914,0.0,132.67567,440.71906,0.0073453174,34.726524,3.3110194,35.279984,-12.081515,1.2630603,0.24108744,1.9701092,0.570623,6.866455e-09,-0.0045615425,-3.695488e-09,0.0039696037,738.8812,-40.411438,0.8223924,-0.27475882,0,0,79.0,0.59072137,0.003245866,60000,55.09492516517639,0,0.0
12,146.70589,51.541264,280.0,82.0,2.6047602,1.7479678,5.857905,0.0,146.70589,529.28107,0.008142786,35.806778,4.6584806,36.863594,-15.947391,0.7875675,0.24324608,1.4549346,0.3645994,-2.7179718e-08,-0.0018283275,2.2411346e-09,0.0012532646,724.1174,-43.200684,1.2155799,-0.23601305,0,0,79.0,0.5869144,0.0021632984,65000,59.68242692947388,0,0.0
13,154.0625,59.711777,388.0,29.0,2.3767097,2.0761278,7.3634663,0.0,154.0625,605.3366,0.008647665,37.959496,3.284997,38.469185,-18.034048,1.2218927,0.2609796,1.9604567,0.51867086,4.3201446e-08,-0.0024845323,-5.912781e-09,-0.00030536545,757.1372,-40.752502,1.2033856,-0.051398396,0,0,79.0,0.5982986,0.0054972405,70000,64.27445101737976,0,0.0
14,170.41379,57.36004,340.0,86.0,2.1076005,1.457565,5.059823,0.115372755,170.41379,666.4568,0.0088860905,37.705276,8.112851,40.03141,-24.779148,1.0955086,0.27258363,1.9514784,0.5103017,2.8610229e-08,-0.0021813319,-1.0251999e-09,0.00093869714,747.7092,-59.413452,0.5844845,-0.051854134,0,0,79.0,0.5934742,0.0035680882,75000,68.86287212371826,0,0.0
15,208.16667,80.531395,411.0,72.0,3.542291,3.0150678,10.36554,0.0,208.16667,751.4714,0.009393392,39.3228,8.003431,41.8434,-19.485619,0.92650187,0.35230705,1.9235682,0.29367518,-1.6069412e-08,-0.0040353267,1.11818315e-08,0.0024843742,973.8213,-88.1767,2.0100381,-0.29986763,0,0,79.0,0.5971463,0.004649395,80000,73.47901678085327,0,0.0
16,270.83334,110.87843,476.0,67.0,2.1957743,1.5215135,5.081742,0.0,270.83334,796.0785,0.009365629,43.49167,3.3803878,44.041756,-10.189458,1.1635927,0.36469376,2.6785023,0.56312406,3.1089783e-08,-0.0039866003,6.198883e-10,0.0010877679,1240.9148,-108.302,0.7677456,-0.21261406,0,0,79.0,0.59190977,0.0050084116,85000,78.05215692520142,0,0.0
17,323.73334,122.83727,500.0,179.0,2.6100576,2.5808084,8.792211,0.0,323.73334,835.2298,0.009280331,44.507328,7.0511603,46.43102,-19.782701,0.8140398,0.47859812,2.0708957,-0.09520055,8.029938e-08,-0.004514702,1.8119812e-09,-0.0018899974,1261.2976,-134.41797,0.7886792,-0.10972756,0,0,79.0,0.57650465,0.0053873747,90000,82.57236552238464,0,0.0
18,404.41666,104.23568,500.0,198.0,1.9032936,1.7673836,5.681417,0.0,404.41666,858.0694,0.009032309,48.53042,3.1088614,48.965466,-15.693518,0.50018305,0.38346246,2.2483656,-0.27440393,1.5735626e-09,-0.0026900014,7.1525574e-10,-0.0007608396,1385.3293,-132.73035,0.35381153,-0.046305537,0,0,79.0,0.574317,0.0024882138,95000,87.11839151382446,0,0.0
19,371.92307,135.88596,500.0,149.0,0.9512154,2.336333,8.822979,0.0,371.92307,870.43604,0.008704361,51.331966,0.07694325,51.36653,50.220066,0.35754916,0.23876268,1.858716,-0.10217792,1.5449524e-08,-0.0033312868,1.424551e-09,0.00046143951,1223.0712,-90.81213,0.322562,-0.08643843,0,0,79.0,0.58724767,0.0023008338,100000,91.76400518417358,0,0.0
