Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
0,19.23077,8.678921,56.0,8.0,0.0,0.0,0.0,0.0,19.23077,0.0,0.0,0.004734875,0.18545954,0.48927596,-0.4905645,-0.0065719155,0.15148701,0.41836017,-0.3926669,5.6266785e-08,-0.009889117,-7.1525574e-10,-7.628441e-06,181.50928,-23.429077,0.022991505,-0.022942599,0.0,0.0,0.009752653,-2.0985076,-0.025999999,0.009752728,4.9063983e-06,0.00032060585,0.987559,0.0,3.0,0.0,0.0,0.68541145,0.004306603,5000,4.699570894241333,0,0.0
1,22.345291,11.994471,94.0,9.0,0.0,0.0,0.0,0.0,22.345291,0.0,0.0,1.0938717,0.23688368,1.472668,0.20015763,0.00034307485,0.0064973286,0.058758687,-0.052201115,-4.825592e-08,-0.015241666,4.172325e-11,-2.9755088e-06,243.01888,-81.41559,4.232366e-05,-2.0008723e-05,0.0,0.0,0.022153918,-8937.523,-0.02237608,0.022642413,5.231248e-06,5.6020927e-08,1.5047396,0.0,3.0,0.0,0.0,0.69226545,0.004635125,10000,8.986999034881592,0,0.0
2,23.990385,12.940689,80.0,9.0,0.042146865,0.5979679,8.64455,0.0,23.990385,8.766548,0.0005844365,5.0142984,0.33129695,5.7892575,3.3115895,-0.00027076868,0.004415168,0.026209343,-0.042628564,-4.4631957e-08,-0.016704338,-4.374981e-09,0.0007510274,188.03215,-66.62885,0.5380513,-0.11596328,0.0,0.0,0.023834592,-0.8957646,-0.01908486,0.027611293,-0.00123236,0.00040212643,1.6616646,0.0,3.0,0.0,0.0,0.69015974,0.0043888967,15000,13.23611617088318,0,0.0
3,30.078789,17.063158,108.0,9.0,0.0062089046,0.067901924,0.8661912,0.0,30.078789,9.791017,0.0004895508,9.864381,0.72744036,11.585623,5.6567297,0.056553908,0.31808162,1.810685,-1.5495691,3.1280518e-08,-0.016056255,4.768372e-10,0.00057571277,213.9145,-47.764175,0.091227785,-0.08620003,0.0,0.0,0.022178572,-1.0997835,-0.016416589,0.025589619,-0.00091013877,0.0002428441,1.5996755,0.0,3.0,0.0,0.0,0.6818898,0.004353254,20000,17.528393983840942,0,0.0
4,38.898438,25.67338,145.0,10.0,0.7485448,5.0495067,52.67041,0.0,38.898438,105.60474,0.0042241896,13.958438,1.2533362,16.086956,7.0174217,0.022733709,0.09698131,0.5696156,-0.38935047,3.7765503e-08,-0.013523587,3.5130977e-08,-0.0065546995,339.25983,-57.980347,23.894293,-5.915264,1.2226851,0.0,0.035554968,0.007706724,0.0063895835,0.039188683,-0.008043031,0.017802821,2.1479058,1.2226851,1.0,0.0,0.0,0.66916955,0.004060036,25000,21.81009793281555,0,0.0
5,39.944,20.992685,100.0,10.0,0.14899896,1.0477691,10.767496,0.0,39.944,124.22959,0.0041409866,17.927877,1.516055,20.005276,7.408178,0.7540695,1.5789741,8.145156,-6.648714,5.340576e-09,-0.015232293,-2.1743775e-08,0.003158619,205.1549,-13.969086,3.334253,-2.3003983,0.0,0.0,0.019660892,-0.0022778083,-0.008787327,0.02320905,-0.0047238697,0.006289162,1.5234517,0.0,3.0,0.0,0.0,0.654986,0.0039517013,30000,26.09393072128296,0,0.0
6,59.13253,33.030388,161.0,11.0,0.55249256,2.228275,16.176153,0.0,59.13253,170.08646,0.0048596133,19.20828,2.7467978,21.564222,-4.174788,0.28628266,0.7044431,3.3417108,-3.2714632,1.6975402e-08,-0.011081123,-8.010864e-09,-0.0011207206,444.99255,-68.364075,3.9955406,-0.8598466,2.1505446,0.0,0.01715716,0.009766192,0.00088771037,0.028094972,-0.0060716593,0.0033704229,1.3254399,2.1505446,1.0,0.0,0.0,0.6447481,0.0032149928,35000,30.2456488609314,0,0.0
7,58.72619,30.748344,146.0,11.0,0.9113938,2.8673077,17.205395,0.0,58.72619,246.64355,0.006166089,23.155853,2.2653828,24.461052,-1.5210028,0.38644078,0.3873776,1.5080179,-0.62501454,1.0490417e-08,-0.00090511504,-7.1048736e-09,-0.0074519673,342.23822,-23.875458,5.1049294,-0.40469074,2.0561166,0.0,0.015816256,0.006159037,0.0070052873,0.033530373,-0.01504408,0.012776497,1.6024904,2.0561166,1.0,0.0,0.0,0.6307229,0.0036301808,40000,34.51887392997742,0,0.0
8,71.1,33.99796,183.0,16.0,0.45351934,1.3050776,7.480521,0.0,71.1,278.38986,0.0061864415,24.650738,4.1233354,26.210655,-16.559248,0.86280507,0.14725867,1.3094264,0.3634288,2.8800965e-08,-0.004818499,-1.1348725e-08,0.00063336705,407.90015,-31.881958,1.1104811,-0.32202154,1.6009713,0.0,0.0012622578,0.009910453,-0.0006537364,0.014253533,-0.007874172,0.004772633,0.35688415,1.6009713,2.0,0.0,0.0,0.6253471,0.0023847145,45000,38.85432720184326,0,0.0
9,73.19118,29.380493,188.0,22.0,0.37046674,0.847309,4.141346,0.0,73.19118,303.58182,0.0060716365,26.736506,3.882101,28.193394,-15.541527,0.34494594,0.23540352,0.97837687,-0.383518,-4.043579e-08,-0.007511707,8.2850454e-10,0.0014368527,338.89438,-17.046265,0.31371036,-0.003963381,1.1666492,0.0,0.003747778,0.0068006497,-0.0017697933,0.0099089835,-0.0024559782,0.0009790014,0.74235517,1.1666492,2.0,0.0,1.0,0.61978596,0.0026587402,50000,42.79930114746094,0,0.0
