Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	18.448149	8.3796	68.0	8.0	0.0017460489	0.028637333	0.47143322	0.0	18.448149	0.47143322	9.4286646e-05	0.011895177	0.18115273	0.50577164	-0.46230668	-0.009517146	0.15061261	0.35916942	-0.34910575	3.7384034e-08	-0.015144565	-2.8371812e-09	-0.000388689	170.72763	-22.93306	0.024519732	-0.023088451	0	0	8.0	0.6852827	0.015375211	5000	4.258352756500244
1	23.682465	12.041344	74.0	8.0	0.0	0.0	0.0	0.0	23.682465	0.47143322	4.7143323e-05	1.1352139	0.27524287	1.9879686	-0.01429794	0.005025615	0.019832473	0.10674864	-0.1676997	3.8909914e-08	-0.012968523	-3.2782554e-11	-2.81192e-05	251.33305	-86.79613	0.0004185686	-0.00040096664	0	0	11.0	0.6913167	0.01324003	10000	8.30457353591919
2	29.382353	15.49348	78.0	9.0	0.022865906	0.29725674	3.887204	0.0	29.382353	4.3586373	0.00029057582	5.1937823	0.14688776	5.552642	4.241388	0.00011975191	0.003251091	0.03170665	-0.022358438	-4.53949e-08	-0.013513302	-2.8908254e-10	0.00044965945	263.7396	-97.90161	0.1059939	-0.017645128	0	0	79.0	0.67776066	0.0051845917	15000	12.97441577911377
3	34.69014	23.383266	161.0	11.0	0.061846975	0.56812876	6.390607	0.0	34.69014	13.140907	0.00065704534	10.739977	0.38657564	11.830016	6.536773	0.021906111	0.16833428	1.0410308	-0.98607594	-3.7002565e-08	-0.015843758	-5.4836274e-10	0.0005649486	351.2739	-74.84918	0.3221157	-0.011072218	0	0	79.0	0.66253585	0.0052373	20000	17.3943932056427
4	51.677082	29.572824	142.0	13.0	0.9415706	3.4247065	23.887594	0.0	51.677082	103.531654	0.004141266	15.265855	1.081614	17.725758	6.8844495	0.08079598	0.16130774	0.6807579	-0.65398073	5.836487e-08	-0.01504777	-3.259182e-08	0.009746266	440.35214	-83.55011	9.135032	-1.3159456	0	0	79.0	0.65216994	0.004383487	25000	21.847798109054565
5	76.61539	40.19862	218.0	16.0	2.42066	5.3918595	28.642895	0.0	76.61539	260.87454	0.0086958185	19.239847	1.0235766	20.668491	6.9661546	0.99613965	0.57418656	2.7764354	-0.65065694	3.2043456e-08	-0.012169202	1.4352798e-08	0.018374734	669.7274	-106.86865	15.432938	-2.819477	0	0	79.0	0.63595206	0.0047276467	30000	26.265278816223145
6	90.87273	43.13027	196.0	14.0	3.7519145	7.956299	40.27031	0.0	90.87273	467.2295	0.013349414	22.94026	1.6091732	23.992252	0.55096525	1.728293	0.7925706	4.386876	-1.3941238	5.0735473e-08	-0.010419286	3.8814544e-08	0.016439121	699.1917	-85.207886	28.251507	-4.825901	0	0	79.0	0.627958	0.0031526512	35000	30.83113741874695
7	96.68627	40.54796	200.0	16.0	9.672074	15.885702	66.109764	0.0	96.68627	960.5056	0.02401264	25.252441	3.9599085	26.561144	-18.033812	2.4704788	1.3521329	6.591613	-2.1672275	1.1825562e-08	-0.010438883	-1.04904174e-07	0.03489989	625.36084	-60.516235	110.744	-16.143944	0	0	79.0	0.61593634	0.0033777207	40000	35.34625864028931
8	138.36111	51.247845	253.0	47.0	15.928406	18.270727	66.97804	0.0	138.36111	1533.9285	0.0340873	27.19539	4.368075	28.666668	-12.770995	6.2407265	1.0161341	8.941637	2.751114	3.7288665e-08	-0.008698061	-7.5149536e-08	0.025438387	965.5347	-111.856445	113.216324	-8.736649	0	0	79.0	0.6090651	0.002611591	45000	39.62437176704407
9	161.93333	44.641487	280.0	70.0	24.354332	17.439405	62.198795	0.0	161.93333	2264.5605	0.04529121	29.745203	4.732418	31.340649	-8.330611	8.47175	0.81473905	10.279794	4.1104784	-4.4870376e-08	-0.005686676	-4.005432e-08	0.030014073	997.4798	-113.0755	106.07665	-8.846428	0	0	79.0	0.6075456	0.003451262	50000	44.10947346687317
