Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	19.679842	9.459101	66.0	9.0	9.392622e-05	0.0012427743	0.019319389	0.0	19.679842	0.023763333	4.7526664e-06	0.0034202163	0.18223293	0.46815714	-0.49831277	-0.0054427693	0.14849162	0.36742955	-0.36066675	-7.316488e-08	-0.007867909	-1.7166137e-09	-0.00054335746	199.21812	-24.294373	0.022078907	-0.022026682	0.84999996	-0.02111572	8.0	0.6854394	0.0149750365	5000	3.898738145828247
1	23.046297	11.009998	67.0	9.0	0.0	0.0	0.0	0.0	23.046297	0.023763333	2.3763332e-06	1.1045088	0.15546207	1.4540612	0.5459153	0.00058949424	0.005652681	0.03795074	-0.041408468	-1.4089995e-08	-0.0061918497	-2.3841857e-11	3.1319945e-05	227.57318	-79.28436	3.2504846e-05	-1.3964804e-05	0.82888424	-0.021530151	12.0	0.6912446	0.013498961	10000	7.920277118682861
2	27.152174	14.036005	84.0	9.0	0.0	0.0	0.0	0.0	27.152174	0.023763333	1.5842222e-06	5.0307426	0.46935877	6.8462014	2.6994708	-0.000109307846	0.0030857157	0.019242404	-0.020647962	4.094983e-08	-0.0077737737	7.0780517e-12	1.14811355e-05	228.97514	-83.5271	9.544782e-06	-3.2558082e-06	0.8073541	-0.033002317	79.0	0.67739844	0.005120426	15000	12.428526878356934
3	35.439716	20.288126	125.0	11.0	0.33520022	1.7995044	16.88674	0.0	35.439716	47.287	0.00236435	10.200279	0.8334506	12.175132	6.990752	-1.0969045e-05	0.0037692522	0.024908116	-0.023630574	-4.1271e-08	-0.0075087673	-5.8948992e-09	0.0015998617	292.7662	-73.947754	3.2580316	-0.5803561	0.7743518	-0.033000708	79.0	0.663157	0.0047278213	20000	16.95828104019165
4	46.626167	29.302969	138.0	12.0	0.12952305	0.5398507	3.5951598	0.0	46.626167	61.145966	0.0024458386	14.970035	0.8478423	16.810902	8.117605	0.4584278	0.57155657	2.5040214	-1.9901551	2.315795e-09	-0.007931144	-1.7642975e-09	0.0017119625	420.02325	-73.76715	0.65011173	-0.4096902	0.74135107	-0.031251013	79.0	0.65066797	0.0041047987	25000	21.431148529052734
5	72.05797	40.3567	199.0	13.0	2.4332168	5.7018514	28.600996	0.0	72.05797	229.03807	0.0076346025	19.016615	1.2667316	20.719261	3.5697072	0.18171324	0.06750855	0.42447683	-0.19570471	-6.53905e-09	-0.0074238717	9.5009804e-09	-0.0142602995	646.14923	-104.48871	19.561771	-3.7174606	0.71010005	-0.006214261	79.0	0.6392704	0.007332663	30000	25.911397457122803
6	76.69231	32.919914	166.0	15.0	1.3521271	3.2974474	18.594175	0.0	76.69231	316.92615	0.009055032	22.59688	1.8091621	23.938324	6.213813	2.017715	0.44228274	3.1201484	0.75758016	-3.4868307e-08	-0.0033964221	-6.7710877e-09	-0.004181384	470.1402	-56.655914	5.836954	-1.1959586	0.7038858	-0.00951618	79.0	0.6305308	0.0036747481	35000	30.363019227981567
7	84.32204	35.813755	214.0	12.0	0.91658545	2.2507832	10.577911	0.0	84.32204	371.00476	0.009275119	24.586235	3.7374747	26.140133	-12.604879	0.99200857	0.49508613	2.5710073	-0.8049976	2.6601487e-08	-0.0034266417	-1.3923645e-08	-0.0007828136	488.6737	-45.40912	2.4515195	-0.2025342	0.6943696	-0.016299605	79.0	0.61340535	0.0027832584	40000	34.86178421974182
8	90.38182	26.752394	168.0	13.0	0.723106	1.3272763	6.8149834	0.0	90.38182	410.7754	0.009128342	26.582659	4.5462503	28.129442	-18.429003	0.68895245	0.21613394	1.3266815	-0.06395909	1.653314e-08	-0.0028197514	-7.1525574e-10	0.0032445267	411.6969	-30.713013	0.8249613	-0.113719106	0.67807	-0.022882164	79.0	0.6104033	0.0020371329	45000	39.792643547058105
9	102.916664	30.799644	200.0	33.0	0.5964163	0.85772586	2.775992	0.0	102.916664	439.4032	0.008788064	27.979113	5.4119897	29.793703	-21.441284	0.45796928	0.024476534	0.5040872	0.20232193	1.3548482e-08	-0.0034512242	-2.5987625e-09	0.0019005103	491.7683	-41.937225	0.30467382	-0.009676933	0.65518785	-0.022166967	79.0	0.60487014	0.002882008	50000	44.22441053390503
10	123.275	37.599857	227.0	75.0	1.5377837	2.0252633	10.610315	0.0	123.275	500.91473	0.00910754	29.155554	7.3426166	31.688095	-26.276314	0.37100887	0.045767963	0.51161176	0.16597648	4.2331223e-08	-0.0017277447	7.96318e-09	0.0014842233	627.5094	-66.0318	1.6023271	-0.28568733	0.6330209	-0.018117964	79.0	0.6052722	0.0016541723	55000	48.80814576148987
11	111.97727	27.496683	211.0	65.0	2.1959536	2.5807896	11.192374	0.0	111.97727	597.5362	0.009958937	31.420975	7.3663564	33.95597	-24.834265	0.8356365	0.3029433	1.8126694	-0.16246118	-2.97901e-08	-0.002437862	-2.2411346e-09	0.0023386877	438.40836	-31.843048	2.5076182	-0.17892528	0.6149029	-0.01950705	79.0	0.59199387	0.0029302496	60000	53.293577909469604
12	128.8158	39.492077	278.0	79.0	2.5719216	3.0055108	16.020737	0.0	128.8158	695.26935	0.010696451	33.766815	5.8539224	35.528786	-18.55572	1.1861575	0.24439529	2.0101087	0.31474885	2.1270953e-08	-0.0029645683	-2.9087066e-09	-0.002416355	576.12054	-43.227905	3.4532368	-0.40704322	0.59539586	-0.009804249	79.0	0.5901272	0.0038100444	65000	57.649324893951416
13	152.96875	50.35219	269.0	84.0	2.6452422	2.4182267	11.049598	0.059283823	152.96875	779.91736	0.011141676	35.25127	7.12907	37.331177	-21.025318	1.3477725	0.36179796	2.7389283	0.025759723	-1.2074256e-08	-0.0010196416	-6.9618227e-09	-0.0001499795	730.4132	-67.12952	1.9932818	-0.06090796	0.5855916	-0.007990956	79.0	0.58271086	0.0033283718	70000	61.969292640686035
14	117.7619	26.033686	202.0	66.0	2.8620534	2.393911	9.332491	0.0	117.7619	900.1235	0.012001647	38.648743	4.3807955	39.52877	-13.562127	1.3051407	0.17815703	1.8863552	0.58863646	2.4638824e-09	-0.0007137283	-1.5258789e-09	-0.0037780341	420.3331	-7.501404	2.1797042	-0.20065892	0.57760066	0.0004902482	79.0	0.5759875	0.0017191437	75000	66.47995710372925
15	129.89473	28.4307	196.0	83.0	2.232046	1.6138083	7.467875	0.0	129.89473	984.95605	0.01231195	37.998558	7.384195	40.273903	-12.857396	1.4559548	0.5116505	2.960394	-0.14837492	-5.787689e-09	-0.003291297	-4.911423e-09	0.00015921527	442.53525	-16.552948	1.3048248	-0.29115748	0.5780909	-0.007875621	79.0	0.5689144	0.00662155	80000	70.92719292640686
16	138.77777	30.897781	251.0	88.0	2.5646143	1.9321977	7.1873913	0.0	138.77777	1077.2831	0.012673918	38.756935	8.077892	41.334427	-11.4383335	1.1805962	0.0801613	1.4124947	0.7193355	1.2822122e-08	-0.002453703	2.193451e-09	0.0012252782	472.215	-20.920502	1.4542826	-0.017926455	0.5702153	-0.01038152	79.0	0.57109547	0.005824022	85000	75.38936972618103
17	152.09375	41.801136	297.0	96.0	2.8045862	2.523874	11.400038	0.0	152.09375	1167.0299	0.012966999	39.854645	7.9154882	42.58204	-6.608484	1.2947152	0.04974143	1.4143605	0.83515763	-2.4709963e-09	-0.000819097	-2.4557114e-09	-0.0005006781	539.53735	-36.062653	2.1404452	-0.07754564	0.55983377	-0.004898846	79.0	0.572925	0.0059781685	90000	79.84983587265015
18	134.24324	38.412697	234.0	71.0	2.414608	1.735323	6.9983053	0.0	134.24324	1256.37	0.013224947	39.636307	10.503602	44.232838	-8.540717	1.264678	0.30050924	2.2201755	0.21233469	-1.6939309e-08	-0.002496844	3.5762786e-09	0.005264847	390.68994	-18.93689	1.2769232	-0.105983734	0.5549349	-0.013715327	79.0	0.5648664	0.0028955638	95000	84.30604386329651
19	163.36667	47.146214	292.0	89.0	2.6199272	2.428962	10.111589	0.0	163.36667	1334.9685	0.013349685	40.454094	10.577498	45.419884	-1.5302715	1.2832477	0.043561995	1.3422911	0.9424703	-1.7678092e-08	-0.002850335	-4.351139e-09	-0.00020775553	495.54425	-40.603638	1.9144526	-0.08382285	0.5412196	-0.004483044	79.0	0.5673548	0.006882309	100000	88.88839411735535
