step,loss/entropy_loss
2000,-0.8950341641902926
4000,-0.8687844653924305
6000,-0.8716600100199379
8000,-0.8564010898272197
10000,-0.8594464878241223
12000,-0.8607986271381378
14000,-0.8535928636789322
16000,-0.8511296759049097
18000,-0.8312870631615319
20000,-0.8264375418424607
22000,-0.8122366964817047
24000,-0.7949974526961643
26000,-0.8134835133949915
28000,-0.8084269742170971
30000,-0.798199858268102
32000,-0.7960865298906963
34000,-0.8060770630836487
36000,-0.8075787514448166
38000,-0.8087841073671977
40000,-0.8142019599676132
42000,-0.8034335305293402
44000,-0.811969738205274
46000,-0.8045328994592029
48000,-0.7801873544851938
50000,-0.7811206559340158
52000,-0.7588513384262721
54000,-0.7621403127908707
56000,-0.7446037371953328
58000,-0.7568790336449941
60000,-0.7539058387279511
62000,-0.7489177962144217
64000,-0.7564485619465511
66000,-0.7495648493369421
68000,-0.7525919437408447
70000,-0.7677938650051752
72000,-0.762846107284228
74000,-0.7651548822720844
76000,-0.7713749557733536
78000,-0.7659469008445741
80000,-0.7652922272682189
82000,-0.7507558534542719
84000,-0.782313385605812
86000,-0.799290806055069
88000,-0.7886848558982213
90000,-0.7934453378121058
92000,-0.7572073370218277
94000,-0.7379850407441457
96000,-0.7313642630974451
98000,-0.7459192256132761
100000,-0.7481241166591645
2000,-0.8933958113193514
4000,-0.8829211801290512
6000,-0.859701473514239
8000,-0.8514808336893717
10000,-0.852441132068634
12000,-0.8532840450604755
14000,-0.8457524220148723
16000,-0.8371516704559326
18000,-0.8353415141503016
20000,-0.825258755683899
22000,-0.8043897966543835
24000,-0.7863153994083405
26000,-0.7773022443056107
28000,-0.7671279340982438
30000,-0.7583664387464524
32000,-0.743672078847885
34000,-0.7454112976789475
36000,-0.7409139176209768
38000,-0.7410710155963898
40000,-0.7364299853642782
42000,-0.7286389708518983
44000,-0.7228503525257111
46000,-0.7119751761356989
48000,-0.7093084981044132
50000,-0.699480817715327
52000,-0.6800219486157099
54000,-0.6789173235495884
56000,-0.668438337246577
58000,-0.6620891650517782
60000,-0.6509372174739838
62000,-0.6455661614735921
64000,-0.6437470485766729
66000,-0.6454287379980087
68000,-0.6366821398337683
70000,-0.6401196728150051
72000,-0.6585414260625839
74000,-0.6493285924196243
76000,-0.6382492055495581
78000,-0.6312878012657165
80000,-0.6516185392936071
82000,-0.6525711784760158
84000,-0.6563687334458034
86000,-0.653479262193044
88000,-0.6412411371866862
90000,-0.614435452222824
92000,-0.5987463593482971
94000,-0.5936790823936462
96000,-0.5847948849201202
98000,-0.5855863640705745
100000,-0.5644687811533611
