step,stat/ep_length
2000,28.8
4000,62.3
6000,73.3
8000,129.3
10000,203.7
12000,234.6
14000,373.1
16000,561.5
18000,651.4
20000,893.3
22000,959.4
24000,959.4
26000,959.4
28000,1000.0
30000,1000.0
32000,1000.0
34000,1000.0
36000,1000.0
38000,961.5
40000,961.5
42000,961.5
44000,961.5
46000,926.2
48000,926.2
50000,926.2
52000,926.2
54000,1000.0
56000,1000.0
58000,1000.0
60000,1000.0
62000,1000.0
64000,1000.0
66000,1000.0
68000,1000.0
70000,1000.0
72000,1000.0
74000,1000.0
76000,1000.0
78000,1000.0
80000,1000.0
82000,1000.0
84000,1000.0
86000,1000.0
88000,1000.0
90000,1000.0
92000,1000.0
94000,1000.0
96000,1000.0
98000,1000.0
100000,1000.0
2000,29.9
4000,64.3
6000,89.4
8000,71.9
10000,133.9
12000,204.1
14000,278.8
16000,537.7
18000,537.7
20000,761.6
22000,683.6
24000,697.6
26000,697.6
28000,858.4
30000,858.4
32000,979.6
34000,1000.0
36000,1000.0
38000,1000.0
40000,1000.0
42000,984.4
44000,984.4
46000,984.4
48000,984.4
50000,984.4
52000,1000.0
54000,1000.0
56000,1000.0
58000,1000.0
60000,1000.0
62000,1000.0
64000,1000.0
66000,1000.0
68000,1000.0
70000,1000.0
72000,1000.0
74000,1000.0
76000,1000.0
78000,1000.0
80000,1000.0
82000,1000.0
84000,1000.0
86000,1000.0
88000,1000.0
90000,1000.0
92000,1000.0
94000,1000.0
96000,1000.0
98000,1000.0
100000,1000.0
