step,stat/ep_reward
2000,1.0
4000,1.0
6000,1.0
8000,1.0
10000,1.0
12000,1.0
14000,1.0
16000,1.0
18000,1.0
20000,1.0
22000,1.0
24000,1.0
26000,1.0
28000,1.0
30000,1.0
32000,1.0
34000,1.0
36000,1.0
38000,1.0
40000,1.0
42000,1.0
44000,1.0
46000,1.0
48000,1.0
50000,1.0
52000,1.0
54000,1.0
56000,1.0
58000,1.0
60000,1.0
62000,1.0
64000,1.0
66000,1.0
68000,1.0
70000,1.0
72000,1.0
74000,1.0
76000,1.0
78000,1.0
80000,1.0
82000,1.0
84000,1.0
86000,1.0
88000,1.0
90000,1.0
92000,1.0
94000,1.0
96000,1.0
98000,1.0
100000,1.0
2000,1.0
4000,1.0
6000,1.0
8000,1.0
10000,1.0
12000,1.0
14000,1.0
16000,1.0
18000,1.0
20000,1.0
22000,1.0
24000,1.0
26000,1.0
28000,1.0
30000,1.0
32000,1.0
34000,1.0
36000,1.0
38000,1.0
40000,1.0
42000,1.0
44000,1.0
46000,1.0
48000,1.0
50000,1.0
52000,1.0
54000,1.0
56000,1.0
58000,1.0
60000,1.0
62000,1.0
64000,1.0
66000,1.0
68000,1.0
70000,1.0
72000,1.0
74000,1.0
76000,1.0
78000,1.0
80000,1.0
82000,1.0
84000,1.0
86000,1.0
88000,1.0
90000,1.0
92000,1.0
94000,1.0
96000,1.0
98000,1.0
100000,1.0
