step,time/progress
2000,0.02
4000,0.04
6000,0.06
8000,0.08
10000,0.1
12000,0.12
14000,0.14
16000,0.16
18000,0.18
20000,0.2
22000,0.22
24000,0.24
26000,0.26
28000,0.28
30000,0.3
32000,0.32
34000,0.34
36000,0.36
38000,0.38
40000,0.4
42000,0.42
44000,0.44
46000,0.46
48000,0.48
50000,0.5
52000,0.52
54000,0.54
56000,0.56
58000,0.58
60000,0.6
62000,0.62
64000,0.64
66000,0.66
68000,0.68
70000,0.7
72000,0.72
74000,0.74
76000,0.76
78000,0.78
80000,0.8
82000,0.82
84000,0.84
86000,0.86
88000,0.88
90000,0.9
92000,0.92
94000,0.94
96000,0.96
98000,0.98
100000,1.0
2000,0.02
4000,0.04
6000,0.06
8000,0.08
10000,0.1
12000,0.12
14000,0.14
16000,0.16
18000,0.18
20000,0.2
22000,0.22
24000,0.24
26000,0.26
28000,0.28
30000,0.3
32000,0.32
34000,0.34
36000,0.36
38000,0.38
40000,0.4
42000,0.42
44000,0.44
46000,0.46
48000,0.48
50000,0.5
52000,0.52
54000,0.54
56000,0.56
58000,0.58
60000,0.6
62000,0.62
64000,0.64
66000,0.66
68000,0.68
70000,0.7
72000,0.72
74000,0.74
76000,0.76
78000,0.78
80000,0.8
82000,0.82
84000,0.84
86000,0.86
88000,0.88
90000,0.9
92000,0.92
94000,0.94
96000,0.96
98000,0.98
100000,1.0
