step,time/step
2000,2000
4000,4000
6000,6000
8000,8000
10000,10000
12000,12000
14000,14000
16000,16000
18000,18000
20000,20000
22000,22000
24000,24000
26000,26000
28000,28000
30000,30000
32000,32000
34000,34000
36000,36000
38000,38000
40000,40000
42000,42000
44000,44000
46000,46000
48000,48000
50000,50000
52000,52000
54000,54000
56000,56000
58000,58000
60000,60000
62000,62000
64000,64000
66000,66000
68000,68000
70000,70000
72000,72000
74000,74000
76000,76000
78000,78000
80000,80000
82000,82000
84000,84000
86000,86000
88000,88000
90000,90000
92000,92000
94000,94000
96000,96000
98000,98000
100000,100000
2000,2000
4000,4000
6000,6000
8000,8000
10000,10000
12000,12000
14000,14000
16000,16000
18000,18000
20000,20000
22000,22000
24000,24000
26000,26000
28000,28000
30000,30000
32000,32000
34000,34000
36000,36000
38000,38000
40000,40000
42000,42000
44000,44000
46000,46000
48000,48000
50000,50000
52000,52000
54000,54000
56000,56000
58000,58000
60000,60000
62000,62000
64000,64000
66000,66000
68000,68000
70000,70000
72000,72000
74000,74000
76000,76000
78000,78000
80000,80000
82000,82000
84000,84000
86000,86000
88000,88000
90000,90000
92000,92000
94000,94000
96000,96000
98000,98000
100000,100000
